Wavelength,Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
83.23954+,28000000.0,0.0,120135.22,4d105s,2S,1/2,4d95s(3D)5p,2D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3540&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3540&amp;type=
83.82652+,1200000000.0,0.0,119293.99,4d105s,2S,1/2,4d95s(3D)5p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3540&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3540&amp;type=
83.99401+,1270000000.0,0.0,119056.11,4d105s,2S,1/2,4d95s(3D)5p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3540&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3540&amp;type=
88.89648+,17000000.0,0.0,112490.39,4d105s,2S,1/2,4d107p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3540&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3540&amp;type=
132.64950+,70000000.0,44136.08,119522.72,4d105p,2P°,1/2,4d107d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6537&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=6537&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3540&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3540&amp;type=
137.0925+,76000000.0,46618.55,119561.99,4d105p,2P°,3/2,4d107d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6537&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=6537&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3540&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3540&amp;type=
151.4279+,159000000.0,44136.08,110174.1,4d105p,2P°,1/2,4d106d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6537&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=6537&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3540&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3540&amp;type=
157.1609+,169000000.0,46618.55,110247.6,4d105p,2P°,3/2,4d106d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6537&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=6537&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3540&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3540&amp;type=
157.3427+,27000000.0,46618.55,110174.1,4d105p,2P°,3/2,4d106d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6537&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=6537&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3540&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3540&amp;type=
166.860+,21000000.0,69258.91,129189.5,4d95s2,2D,5/2,4d95s(1D)5p,2F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3096&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3096&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3540&amp;comment_code=&amp;element=Cd&amp;spectr_charge=2&amp;ref=3540&amp;type=
