Wavelength,Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
106.3831,47700000.0,0.0,93999.88,3s23p4,3P,2.0,3s3p5,3P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1220&amp;comment_code=LS&amp;element=Cl&amp;spectr_charge=2&amp;ref=1220&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1617&amp;comment_code=&amp;element=Cl&amp;spectr_charge=2&amp;ref=1617&amp;type=
106.7944,113000000.0,696.0,94333.84,3s23p4,3P,1.0,3s3p5,3P°,0.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1220&amp;comment_code=LS&amp;element=Cl&amp;spectr_charge=2&amp;ref=1220&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1617&amp;comment_code=&amp;element=Cl&amp;spectr_charge=2&amp;ref=1617&amp;type=
107.1036,84000000.0,0.0,93367.56,3s23p4,3P,2.0,3s3p5,3P°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1220&amp;comment_code=LS&amp;element=Cl&amp;spectr_charge=2&amp;ref=1220&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1617&amp;comment_code=&amp;element=Cl&amp;spectr_charge=2&amp;ref=1617&amp;type=
107.1767,28000000.0,696.0,93999.88,3s23p4,3P,1.0,3s3p5,3P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1220&amp;comment_code=LS&amp;element=Cl&amp;spectr_charge=2&amp;ref=1220&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1617&amp;comment_code=&amp;element=Cl&amp;spectr_charge=2&amp;ref=1617&amp;type=
107.5229,36900000.0,996.47,93999.88,3s23p4,3P,0.0,3s3p5,3P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1220&amp;comment_code=LS&amp;element=Cl&amp;spectr_charge=2&amp;ref=1220&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1617&amp;comment_code=&amp;element=Cl&amp;spectr_charge=2&amp;ref=1617&amp;type=
107.9080,27400000.0,696.0,93367.56,3s23p4,3P,1.0,3s3p5,3P°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1220&amp;comment_code=LS&amp;element=Cl&amp;spectr_charge=2&amp;ref=1220&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1617&amp;comment_code=&amp;element=Cl&amp;spectr_charge=2&amp;ref=1617&amp;type=
242.7775,25000000.0,128622.99,169800.47,3s23p3(4S°)4p,5P,1.0,3s23p3(4S°)5d,5D°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1617&amp;comment_code=&amp;element=Cl&amp;spectr_charge=2&amp;ref=1617&amp;type=
243.0140,48000000.0,128663.57,169800.98,3s23p3(4S°)4p,5P,2.0,3s23p3(4S°)5d,5D°,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,
243.0170,42000000.0,128663.57,169800.47,3s23p3(4S°)4p,5P,2.0,3s23p3(4S°)5d,5D°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,
243.4071,72000000.0,128730.82,169801.79,3s23p3(4S°)4p,5P,3.0,3s23p3(4S°)5d,5D°,4.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1617&amp;comment_code=&amp;element=Cl&amp;spectr_charge=2&amp;ref=1617&amp;type=
243.4119,24000000.0,128730.82,169800.98,3s23p3(4S°)4p,5P,3.0,3s23p3(4S°)5d,5D°,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,
254.3997,33000000.0,131756.12,171052.55,3s23p3(4S°)4p,3P,1.0,3s23p3(4S°)5d,3D°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,
254.4809,2200000.0,131768.66,171052.55,3s23p3(4S°)4p,3P,2.0,3s23p3(4S°)5d,3D°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,
254.4857,43000000.0,131769.41,171052.55,3s23p3(4S°)4p,3P,0.0,3s23p3(4S°)5d,3D°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,
254.6957,58000000.0,131756.12,171006.87,3s23p3(4S°)4p,3P,1.0,3s23p3(4S°)5d,3D°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1617&amp;comment_code=&amp;element=Cl&amp;spectr_charge=2&amp;ref=1617&amp;type=
254.7771,19000000.0,131768.66,171006.87,3s23p3(4S°)4p,3P,2.0,3s23p3(4S°)5d,3D°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,
254.9881,76000000.0,131768.66,170974.41,3s23p3(4S°)4p,3P,2.0,3s23p3(4S°)5d,3D°,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1617&amp;comment_code=&amp;element=Cl&amp;spectr_charge=2&amp;ref=1617&amp;type=
290.6217,86000000.0,145470.16,179869.07,3s23p3(2D°)4p,1P,1.0,3s23p3(2D°)4d,1P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,
302.2913,60000000.0,145470.16,178541.2,3s23p3(2D°)4p,1P,1.0,3s23p3(2D°)4d,1D°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,
317.4933,510000.0,146331.76,177819.38,3s23p3(2D°)4p,3D,1.0,3s23p3(2D°)4d,3P°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,
317.5315,7600000.0,146335.55,177819.38,3s23p3(2D°)4p,3D,2.0,3s23p3(2D°)4d,3P°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,
318.1250,13000000.0,146331.76,177756.86,3s23p3(2D°)4p,3D,1.0,3s23p3(2D°)4d,3P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,
318.1633,39000000.0,146335.55,177756.86,3s23p3(2D°)4p,3D,2.0,3s23p3(2D°)4d,3P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,
318.7420,52000000.0,146331.76,177696.03,3s23p3(2D°)4p,3D,1.0,3s23p3(2D°)4d,3P°,0.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,
318.8999,19000000.0,146470.64,177819.38,3s23p3(2D°)4p,3D,3.0,3s23p3(2D°)4d,3P°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,
323.1774,12000000.0,147607.37,178541.2,3s23p3(2D°)4p,1F,3.0,3s23p3(2D°)4d,1D°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,
330.6424,58000000.0,131756.12,161991.57,3s23p3(4S°)4p,3P,1.0,3s23p3(4S°)4d,3D°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,
330.7796,3900000.0,131768.66,161991.57,3s23p3(4S°)4p,3P,2.0,3s23p3(4S°)4d,3D°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,
330.7878,78000000.0,131769.41,161991.57,3s23p3(4S°)4p,3P,0.0,3s23p3(4S°)4d,3D°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,
331.5434,110000000.0,131756.12,161909.41,3s23p3(4S°)4p,3P,1.0,3s23p3(4S°)4d,3D°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1617&amp;comment_code=&amp;element=Cl&amp;spectr_charge=2&amp;ref=1617&amp;type=
331.6813,36000000.0,131768.66,161909.41,3s23p3(4S°)4p,3P,2.0,3s23p3(4S°)4d,3D°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,
332.9099,150000000.0,131768.66,161798.18,3s23p3(4S°)4p,3P,2.0,3s23p3(4S°)4d,3D°,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=1617&amp;comment_code=&amp;element=Cl&amp;spectr_charge=2&amp;ref=1617&amp;type=
350.5408,17000000.0,146335.55,174854.74,3s23p3(2D°)4p,3D,2.0,3s23p3(2D°)4d,3D°,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,
350.8891,24000000.0,146331.76,174822.64,3s23p3(2D°)4p,3D,1.0,3s23p3(2D°)4d,3D°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,
350.9358,110000000.0,146335.55,174822.64,3s23p3(2D°)4p,3D,2.0,3s23p3(2D°)4d,3D°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,
351.3157,120000000.0,146331.76,174788.05,3s23p3(2D°)4p,3D,1.0,3s23p3(2D°)4d,3D°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,
351.3625,39000000.0,146335.55,174788.05,3s23p3(2D°)4p,3D,2.0,3s23p3(2D°)4d,3D°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,
352.2092,140000000.0,146470.64,174854.74,3s23p3(2D°)4p,3D,3.0,3s23p3(2D°)4d,3D°,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,
352.6080,24000000.0,146470.64,174822.64,3s23p3(2D°)4p,3D,3.0,3s23p3(2D°)4d,3D°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,
356.7955,120000000.0,149800.12,177819.38,3s23p3(2D°)4p,3P,2.0,3s23p3(2D°)4d,3P°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,
357.5934,66000000.0,149800.12,177756.86,3s23p3(2D°)4p,3P,2.0,3s23p3(2D°)4d,3P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,
358.6032,0.018000000000000002,0.0,27878.02,3s23p4,3P,2.0,3s23p4,1S,0.0,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=761&amp;comment_code=&amp;element=Cl&amp;spectr_charge=2&amp;ref=761&amp;type=E2,
358.7682,39000000.0,149954.18,177819.38,3s23p3(2D°)4p,3P,1.0,3s23p3(2D°)4d,3P°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1619&amp;comment_code=CA&amp;element=Cl&amp;spectr_charge=2&amp;ref=1619&amp;type=,
