Wavelength,Unc.(nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
102.074462,3e-06,28000000.0,0.0,97967.697,3d8,a 3F,4,3d7(4F)5p,3F°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6999&amp;comment_code=&amp;element=Co&amp;spectr_charge=2&amp;ref=6999&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4687&amp;comment_code=c119&amp;element=Co&amp;spectr_charge=2&amp;ref=4687&amp;type=
103.154325,4e-06,4000000.0,0.0,96942.13,3d8,a 3F,4,3d7(4F)5p,5G°,5,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6999&amp;comment_code=&amp;element=Co&amp;spectr_charge=2&amp;ref=6999&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4687&amp;comment_code=c119&amp;element=Co&amp;spectr_charge=2&amp;ref=4687&amp;type=
103.218018,7.000000000000001e-06,1300000.0,0.0,96882.31,3d8,a 3F,4,3d7(4F)5p,5G°,4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6999&amp;comment_code=&amp;element=Co&amp;spectr_charge=2&amp;ref=6999&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4687&amp;comment_code=c119&amp;element=Co&amp;spectr_charge=2&amp;ref=4687&amp;type=
103.422838,3e-06,46000000.0,1597.197,98287.64,3d8,a 3F,2,3d7(4F)5p,3F°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6999&amp;comment_code=&amp;element=Co&amp;spectr_charge=2&amp;ref=6999&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4687&amp;comment_code=c119&amp;element=Co&amp;spectr_charge=2&amp;ref=4687&amp;type=
103.432546,5e-06,1500000.0,1597.197,98278.565,3d8,a 3F,2,3d7(4F)5p,3G°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6999&amp;comment_code=&amp;element=Co&amp;spectr_charge=2&amp;ref=6999&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4687&amp;comment_code=c119&amp;element=Co&amp;spectr_charge=2&amp;ref=4687&amp;type=
103.577458,6e-06,21000000.0,950.324,97496.428,3d8,a 3F,3,3d7(4F)5p,3D°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6999&amp;comment_code=&amp;element=Co&amp;spectr_charge=2&amp;ref=6999&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4687&amp;comment_code=c119&amp;element=Co&amp;spectr_charge=2&amp;ref=4687&amp;type=
104.044718,3e-06,4000000.0,950.324,97062.844,3d8,a 3F,3,3d7(4F)5p,3F°,4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6999&amp;comment_code=&amp;element=Co&amp;spectr_charge=2&amp;ref=6999&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4687&amp;comment_code=c119&amp;element=Co&amp;spectr_charge=2&amp;ref=4687&amp;type=
104.192086,5e-06,5000000.0,0.0,95976.579,3d8,a 3F,4,3d7(4F)5p,5F°,4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6999&amp;comment_code=&amp;element=Co&amp;spectr_charge=2&amp;ref=6999&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4687&amp;comment_code=c119&amp;element=Co&amp;spectr_charge=2&amp;ref=4687&amp;type=
107.148402,6e-06,3100000.0,4950.062,98278.565,3d7(4F)4s,a 5F,2,3d7(4F)5p,3G°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6999&amp;comment_code=&amp;element=Co&amp;spectr_charge=2&amp;ref=6999&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4687&amp;comment_code=c119&amp;element=Co&amp;spectr_charge=2&amp;ref=4687&amp;type=
107.627401,5e-06,8000000.0,4028.988,96942.13,3d7(4F)4s,a 5F,4,3d7(4F)5p,5G°,5,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6999&amp;comment_code=&amp;element=Co&amp;spectr_charge=2&amp;ref=6999&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4687&amp;comment_code=c119&amp;element=Co&amp;spectr_charge=2&amp;ref=4687&amp;type=
