Wavelength,Unc.(nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
201.116902,6e-06,833000.0,0.0,49706.2607,3d5,a 6S,5/2,3d4(5D)4p,z 4P°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7574&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=7574&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=18847&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=18847&amp;type=
201.361843,6e-06,157000.0,0.0,49645.8058,3d5,a 6S,5/2,3d4(5D)4p,z 6D°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7574&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=7574&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=18847&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=18847&amp;type=
201.692190,6e-06,282000.0,0.0,49564.5038,3d5,a 6S,5/2,3d4(5D)4p,z 6D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7574&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=7574&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=18847&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=18847&amp;type=
202.561870,6e-06,2110000.0,0.0,49351.7336,3d5,a 6S,5/2,3d4(5D)4p,z 6D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7574&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=7574&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=18847&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=18847&amp;type=
203.991765,6e-06,3520000.0,0.0,49005.8471,3d5,a 6S,5/2,3d4(5D)4p,z 4P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7574&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=7574&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=18847&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=18847&amp;type=
205.559868,6e-06,122000000.0,0.0,48632.059,3d5,a 6S,5/2,3d4(5D)4p,z 6P°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7574&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=7574&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=18847&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=18847&amp;type=
206.157673,6e-06,119000000.0,0.0,48491.0569,3d5,a 6S,5/2,3d4(5D)4p,z 6P°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7574&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=7574&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=18847&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=18847&amp;type=
206.550391,6e-06,120000000.0,0.0,48398.8721,3d5,a 6S,5/2,3d4(5D)4p,z 6P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7574&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=7574&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=18847&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=18847&amp;type=
265.358063,7.000000000000001e-06,35000000.0,12032.5447,49706.2607,3d4(5D)4s,a 6D,3/2,3d4(5D)4p,z 4P°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3683&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=3683&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=18847&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=18847&amp;type=
265.858838,7.000000000000001e-06,58000000.0,11961.7464,49564.5038,3d4(5D)4s,a 6D,1/2,3d4(5D)4p,z 6D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3683&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=3683&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=18847&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=18847&amp;type=
266.601360,7.000000000000001e-06,59000000.0,12147.7713,49645.8058,3d4(5D)4s,a 6D,5/2,3d4(5D)4p,z 6D°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3683&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=3683&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=18847&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=18847&amp;type=
266.870880,7.000000000000001e-06,140000000.0,12032.5447,49492.7111,3d4(5D)4s,a 6D,3/2,3d4(5D)4p,z 6D°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3683&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=3683&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=18847&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=18847&amp;type=
267.180686,7.000000000000001e-06,100000000.0,12147.7713,49564.5038,3d4(5D)4s,a 6D,5/2,3d4(5D)4p,z 6D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3683&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=3683&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=18847&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=18847&amp;type=
267.282784,7.000000000000001e-06,55000000.0,12303.82,49706.2607,3d4(5D)4s,a 6D,7/2,3d4(5D)4p,z 4P°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3683&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=3683&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=18847&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=18847&amp;type=
274.009522,7.000000000000001e-06,11000000.0,12147.7713,48632.059,3d4(5D)4s,a 6D,5/2,3d4(5D)4p,z 6P°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3683&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=3683&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=18847&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=18847&amp;type=
274.497631,1e-05,85000000.0,30307.3672,66726.7823,3d4(a 3P)4s,b 4P,3/2,3d4(a 3P)4p,y 4P°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3683&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=3683&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=18847&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=18847&amp;type=
278.761747,1e-05,150000000.0,30864.4328,66726.7823,3d4(a 3P)4s,b 4P,5/2,3d4(a 3P)4p,y 4P°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3683&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=3683&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=18847&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=18847&amp;type=
282.236775,1.1e-05,230000000.0,30391.8311,65812.6491,3d4(3H)4s,a 4H,13/2,3d4(3H)4p,z 4I°,15/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2695&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=2695&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=18847&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=18847&amp;type=
283.563154,7.000000000000001e-06,200000000.0,12496.4565,47751.6003,3d4(5D)4s,a 6D,9/2,3d4(5D)4p,z 6F°,11/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2695&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=2695&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=18847&amp;comment_code=&amp;element=Cr&amp;spectr_charge=2&amp;ref=18847&amp;type=
