Wavelength,Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
60.5669,4300000000.0,0.0,165106.66,2s22p4,3P,2.0,2s2p5,3P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=668&amp;comment_code=LS&amp;element=F&amp;spectr_charge=2&amp;ref=668&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=369&amp;comment_code=&amp;element=F&amp;spectr_charge=2&amp;ref=369&amp;type=
60.6288,10000000000.0,341.0,165279.19,2s22p4,3P,1.0,2s2p5,3P°,0.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=668&amp;comment_code=LS&amp;element=F&amp;spectr_charge=2&amp;ref=668&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=369&amp;comment_code=&amp;element=F&amp;spectr_charge=2&amp;ref=369&amp;type=
60.6804,7800000000.0,0.0,164797.88,2s22p4,3P,2.0,2s2p5,3P°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=668&amp;comment_code=LS&amp;element=F&amp;spectr_charge=2&amp;ref=668&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=369&amp;comment_code=&amp;element=F&amp;spectr_charge=2&amp;ref=369&amp;type=
60.6923,2600000000.0,341.0,165106.66,2s22p4,3P,1.0,2s2p5,3P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=668&amp;comment_code=LS&amp;element=F&amp;spectr_charge=2&amp;ref=668&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=369&amp;comment_code=&amp;element=F&amp;spectr_charge=2&amp;ref=369&amp;type=
60.7472,3300000000.0,489.9,165106.66,2s22p4,3P,0.0,2s2p5,3P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=668&amp;comment_code=LS&amp;element=F&amp;spectr_charge=2&amp;ref=668&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=369&amp;comment_code=&amp;element=F&amp;spectr_charge=2&amp;ref=369&amp;type=
60.8062,2500000000.0,341.0,164797.88,2s22p4,3P,1.0,2s2p5,3P°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=668&amp;comment_code=LS&amp;element=F&amp;spectr_charge=2&amp;ref=668&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=369&amp;comment_code=&amp;element=F&amp;spectr_charge=2&amp;ref=369&amp;type=
222.558,0.0016,0.0,44918.1,2s22p4,3P,2.0,2s22p4,1S,0.0,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=333&amp;comment_code=&amp;element=F&amp;spectr_charge=2&amp;ref=333&amp;type=E2,
224.261,0.49,341.0,44918.1,2s22p4,3P,1.0,2s22p4,1S,0.0,M1,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=333&amp;comment_code=&amp;element=F&amp;spectr_charge=2&amp;ref=333&amp;type=M1,
320.2761,140000000.0,215069.59,246283.63,2s22p3(2D°)3s,1D°,2.0,2s22p3(2D°)3p,1D,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1115&amp;comment_code=CA&amp;element=F&amp;spectr_charge=2&amp;ref=1115&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=369&amp;comment_code=&amp;element=F&amp;spectr_charge=2&amp;ref=369&amp;type=
350.1390,286000000.0,202449.35,231001.27,2s22p3(4S°)3p,5P,1.0,2s22p3(4S°)3d,5D°,0.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1115&amp;comment_code=CA&amp;element=F&amp;spectr_charge=2&amp;ref=1115&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=369&amp;comment_code=&amp;element=F&amp;spectr_charge=2&amp;ref=369&amp;type=
