Wavelength,Unc.  (nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
82.952835+,0.0004,22000000.0,0.0,120550.431,3d104s2,1S,0,4s5p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8042&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=8042&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12180&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=12180&amp;type=
141.43986+,0.0002,1970000000.0,0.0,70701.427,3d104s2,1S,0,4s4p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8042&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=8042&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12180&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=12180&amp;type=
150.49286+,0.0002,854000000.0,47367.55,113815.885,4s4p,3P°,0,4s4d,3D,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8042&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=8042&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12180&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=12180&amp;type=
151.45047+,0.0002,1130000000.0,47814.114,113842.301,4s4p,3P°,1,4s4d,3D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8042&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=8042&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12180&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=12180&amp;type=
151.51109+,0.0002,627000000.0,47814.114,113815.885,4s4p,3P°,1,4s4d,3D,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8042&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=8042&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12180&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=12180&amp;type=
153.53120+,0.0002,1450000000.0,48749.85,113883.193,4s4p,3P°,2,4s4d,3D,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8042&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=8042&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12180&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=12180&amp;type=
153.62765+,0.0002,361000000.0,48749.85,113842.301,4s4p,3P°,2,4s4d,3D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8042&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=8042&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12180&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=12180&amp;type=
153.69002+,0.0002,40000000.0,48749.85,113815.885,4s4p,3P°,2,4s4d,3D,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8042&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=8042&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12180&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=12180&amp;type=
180.2250+,0.0002,1460000000.0,70701.427,126187.61,4s4p,1P°,1,4s4d,1D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8042&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=8042&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12180&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=12180&amp;type=
209.07679+,1e-05,409000.0,0.0,47814.114,3d104s2,1S,0,4s4p,3P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8042&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=8042&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12180&amp;comment_code=&amp;element=Ga&amp;spectr_charge=2&amp;ref=12180&amp;type=
