Wavelength,Unc.  (nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
99.910111,5.9999999999999995e-05,190000000.0,0.0,100089.97,4s24p,2P°,1/2,4s25d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=22&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=22&amp;type=
101.66377299999999,5.9999999999999995e-05,210000000.0,1767.357,100130.812,4s24p,2P°,3/2,4s25d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=22&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=22&amp;type=
101.70600300000001,0.0001,35000000.0,1767.357,100089.97,4s24p,2P°,3/2,4s25d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3335&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=3335&amp;type=
105.502614,0.0001,69000000.0,0.0,94784.381,4s24p,2P°,1/2,4s26s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3335&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=3335&amp;type=
107.507202,5.9999999999999995e-05,130000000.0,1767.357,94784.381,4s24p,2P°,3/2,4s26s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=22&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=22&amp;type=
123.70591200000001,0.0001,1900000000.0,0.0,80836.88,4s24p,2P°,1/2,4s24d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3335&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=3335&amp;type=
126.19054299999999,0.0001,2200000000.0,1767.357,81012.598,4s24p,2P°,3/2,4s24d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3335&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=3335&amp;type=
126.470979,5.9999999999999995e-05,350000000.0,1767.357,80836.88,4s24p,2P°,3/2,4s24d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=22&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=22&amp;type=
160.248634,5.9999999999999995e-05,340000000.0,0.0,62403.028,4s24p,2P°,1/2,4s25s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=22&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=22&amp;type=
164.919425,0.0001,650000000.0,1767.357,62403.028,4s24p,2P°,3/2,4s25s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=187&amp;comment_code=&amp;element=Ge&amp;spectr_charge=2&amp;ref=187&amp;type=
