Wavelength,Unc.(nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
177.8286,0.0003,30000000.0,0.0,56233.93,5d7(4F)6s,5F,5,5d7(4F9/2)6p,"(9/2,3/2)°",4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7959&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7959&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4457&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=4457&amp;type=
185.2844,0.0004,15000000.0,2262.84,56233.93,5d8,3F,4,5d7(4F9/2)6p,"(9/2,3/2)°",4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7959&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7959&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4457&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=4457&amp;type=
186.2496,0.0005,120000000.0,0.0,53691.38,5d7(4F)6s,5F,5,5d7(4F9/2)6p,"(9/2,3/2)°",5,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7959&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7959&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4457&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=4457&amp;type=
186.8277,0.0004,6000000.0,0.0,53525.24,5d7(4F)6s,5F,5,5d7(4F7/2)6p,"(7/2,1/2)°",4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7959&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7959&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4457&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=4457&amp;type=
194.8065,0.0004,16200000.0,0.0,51333.0,5d7(4F)6s,5F,5,5d66s(6D9/2)6p,"(9/2,1/2)°",5,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7750&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7750&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=8724&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=8724&amp;type=
198.7992,0.0004,18700000.0,0.0,50302.01,5d7(4F)6s,5F,5,5d66s(6D9/2)6p,"(9/2,1/2)°",4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7750&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7750&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=8724&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=8724&amp;type=
199.3699,0.0004,30000000.0,8974.95,59132.98,5d8,1D,2,5d7(4P3/2)6p,"(3/2,1/2)°",2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7959&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7959&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4457&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=4457&amp;type=
199.7174,0.0004,50000000.0,9062.22,59132.98,5d8,3P,1,5d7(4P3/2)6p,"(3/2,1/2)°",2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7959&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7959&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4457&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=4457&amp;type=
202.2824,0.0005,22500000.0,3090.16,52510.06,5d8,3P,2,5d7(4F5/2)6p,"(5/2,1/2)°",2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7750&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7750&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=8724&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=8724&amp;type=
202.8658,0.0004,26000000.0,4787.92,54065.73,5d7(4F)6s,5F,4,5d66s(6D7/2)6p,"(7/2,1/2)°",3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7959&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7959&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4457&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=4457&amp;type=
203.1654,0.0005,9000000.0,9927.84,59132.98,5d8,3F,3,5d7(4P3/2)6p,"(3/2,1/2)°",2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7959&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7959&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4457&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=4457&amp;type=
204.4189,0.0005,160000000.0,4787.92,53691.38,5d7(4F)6s,5F,4,5d7(4F9/2)6p,"(9/2,3/2)°",5,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7959&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7959&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4457&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=4457&amp;type=
204.4832,0.0005,70000000.0,3090.16,51978.24,5d8,3P,2,5d7(4F3/2)6p,"(3/2,1/2)°",1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7959&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7959&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4457&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=4457&amp;type=
205.1158,0.0004,180000000.0,4787.92,53525.24,5d7(4F)6s,5F,4,5d7(4F7/2)6p,"(7/2,1/2)°",4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7959&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7959&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4457&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=4457&amp;type=
207.0512,0.0005,23000000.0,3090.16,51371.97,5d8,3P,2,5d7(4P5/2)6p,"(5/2,1/2)°",2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7959&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7959&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4457&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=4457&amp;type=
208.0631,0.0004,21000000.0,8186.89,56233.93,5d7(4F)6s,5F,3,5d7(4F9/2)6p,"(9/2,3/2)°",4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7959&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7959&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4457&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=4457&amp;type=
209.0792,0.0007,150000000.0,9062.22,56875.79,5d8,3P,1,5d7(4P1/2)6p,"(1/2,1/2)°",0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7959&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7959&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4457&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=4457&amp;type=
209.7283,0.0004,9000000.0,8186.89,55852.5,5d7(4F)6s,5F,3,5d7(4F5/2)6p,"(5/2,1/2)°",3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7959&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7959&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4457&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=4457&amp;type=
210.996,0.0004,23000000.0,8974.95,56354.21,5d8,1D,2,5d66s(6D5/2)6p,"(5/2,1/2)°",2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7959&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7959&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4457&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=4457&amp;type=
211.3854,0.0005,26000000.0,9062.22,56354.21,5d8,3P,1,5d66s(6D5/2)6p,"(5/2,1/2)°",2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7959&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7959&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4457&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=4457&amp;type=
211.8903,0.0005,9000000.0,9062.22,56241.53,5d8,3P,1,5d7(4P3/2)6p,"(3/2,1/2)°",1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7959&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7959&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4457&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=4457&amp;type=
211.909,0.0004,8000000.0,11957.83,59132.98,5d7(4F)6s,5F,1,5d7(4P3/2)6p,"(3/2,1/2)°",2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7959&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7959&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4457&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=4457&amp;type=
212.6809,0.0005,156000000.0,0.0,47003.95,5d7(4F)6s,5F,5,5d7(4F9/2)6p,"(9/2,1/2)°",5,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7750&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7750&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=8724&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=8724&amp;type=
213.2544,0.0005,29000000.0,8974.95,55852.5,5d8,1D,2,5d7(4F5/2)6p,"(5/2,1/2)°",3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7959&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7959&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4457&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=4457&amp;type=
215.2704,0.0004,182000000.0,4787.92,51226.52,5d7(4F)6s,5F,4,5d7(4F7/2)6p,"(7/2,1/2)°",3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7750&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7750&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=8724&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=8724&amp;type=
217.8972,0.0004,28000000.0,8186.89,54065.73,5d7(4F)6s,5F,3,5d66s(6D7/2)6p,"(7/2,1/2)°",3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7959&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7959&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4457&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=4457&amp;type=
219.6436,0.0004,8820000.0,4787.92,50302.01,5d7(4F)6s,5F,4,5d66s(6D9/2)6p,"(9/2,1/2)°",4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7750&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7750&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=8724&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=8724&amp;type=
219.7513,0.0004,70000000.0,8186.89,53678.68,5d7(4F)6s,5F,3,5d7(4F3/2)6p,"(3/2,1/2)°",2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7959&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7959&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4457&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=4457&amp;type=
220.495,0.0004,26000000.0,8186.89,53525.24,5d7(4F)6s,5F,3,5d7(4F7/2)6p,"(7/2,1/2)°",4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7959&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7959&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4457&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=4457&amp;type=
221.9229,0.0005,90000000.0,11307.53,56354.21,5d7(4F)6s,5F,2,5d66s(6D5/2)6p,"(5/2,1/2)°",2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7959&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7959&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4457&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=4457&amp;type=
222.1074,0.0004,23300000.0,8186.89,53196.15,5d7(4F)6s,5F,3,5d7(4P5/2)6p,"(5/2,1/2)°",3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7750&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7750&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=8724&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=8724&amp;type=
222.4794,0.0005,29000000.0,11307.53,56241.53,5d7(4F)6s,5F,2,5d7(4P3/2)6p,"(3/2,1/2)°",1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7959&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7959&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4457&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=4457&amp;type=
223.6255,0.0005,11000000.0,8974.95,53678.68,5d8,1D,2,5d7(4F3/2)6p,"(3/2,1/2)°",2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7959&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7959&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4457&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=4457&amp;type=
224.063,0.0005,6000000.0,9062.22,53678.68,5d8,3P,1,5d7(4F3/2)6p,"(3/2,1/2)°",2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7959&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7959&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4457&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=4457&amp;type=
224.2679,0.0005,155000000.0,0.0,44575.7,5d7(4F)6s,5F,5,5d7(4F9/2)6p,"(9/2,1/2)°",4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7750&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7750&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=8724&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=8724&amp;type=
224.4226,0.0005,6000000.0,11307.53,55852.5,5d7(4F)6s,5F,2,5d7(4F5/2)6p,"(5/2,1/2)°",3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7959&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=7959&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4457&amp;comment_code=&amp;element=Ir&amp;spectr_charge=2&amp;ref=4457&amp;type=
