Wavelength,Unc.  (nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
17.8014,0.0010,7763000000.0,0.0,561752.82,1s2,1S,0.0,1s3p,1P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=7397&amp;type=
17.8166,0.0010,82665.0,0.0,561273.62,1s2,1S,0.0,1s3d,1D,2.0,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7378&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=7378&amp;type=E2,
17.8731,0.0010,12.0,0.0,559501.42,1s2,1S,0.0,1s3p,3P°,2.0,M2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=5612&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=5612&amp;type=M2,
19.9279,0.0010,25569000000.0,0.0,501808.59,1s2,1S,0.0,1s2p,1P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7397&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=7397&amp;type=
20.2321,0.0010,35.0,0.0,494263.44,1s2,1S,0.0,1s2p,3P°,2.0,M2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1494&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=1494&amp;type=M2,
21.0069,0.0010,0.020390000000000002,0.0,476034.98,1s2,1S,0.0,1s2s,3S,1.0,M1,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1896&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=1896&amp;type=M1,
119.8073,0.0010,289680000.0,476034.98,559502.32,1s2s,3S,1.0,1s3p,3P°,0.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3501&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3501&amp;type=
119.8086,0.0010,289680000.0,476034.98,559501.42,1s2s,3S,1.0,1s3p,3P°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3501&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3501&amp;type=
119.8102,0.0010,289700000.0,476034.98,559500.35,1s2s,3S,1.0,1s3p,3P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3501&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3501&amp;type=
142.0894,0.0010,283080000.0,491374.6,561752.82,1s2s,1S,0.0,1s3p,1P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4834&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=4834&amp;type=
143.0635,0.0010,4748.9,491374.6,561273.62,1s2s,1S,0.0,1s3d,1D,2.0,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7378&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=7378&amp;type=E2,
149.2260,0.0010,271900.0,494261.17,561273.62,1s2p,3P°,1.0,1s3d,1D,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,
