Wavelength,Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
175.1910,48000000.0,0.0,57080.55,3p63d9,2D,5/2,3p63d8(3F)4p,2F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2757&amp;comment_code=n&amp;element=Ni&amp;spectr_charge=2&amp;ref=2757&amp;type=,
203.3389,2300000.0,9330.04,58493.21,3p63d8(3F)4s,4F,7/2,3p63d8(3F)4p,2F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1024&amp;comment_code=n&amp;element=Ni&amp;spectr_charge=2&amp;ref=1024&amp;type=,
205.3293,2500000.0,8393.9,57080.55,3p63d8(3F)4s,4F,9/2,3p63d8(3F)4p,2F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1024&amp;comment_code=n&amp;element=Ni&amp;spectr_charge=2&amp;ref=1024&amp;type=,
208.0847,8000000.0,10663.89,58705.95,3p63d8(3F)4s,4F,3/2,3p63d8(3F)4p,2D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1024&amp;comment_code=n&amp;element=Ni&amp;spectr_charge=2&amp;ref=1024&amp;type=,
209.0103,7000000.0,10663.89,58493.21,3p63d8(3F)4s,4F,3/2,3p63d8(3F)4p,2F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1024&amp;comment_code=n&amp;element=Ni&amp;spectr_charge=2&amp;ref=1024&amp;type=,
209.3553,6500000.0,9330.04,57080.55,3p63d8(3F)4s,4F,7/2,3p63d8(3F)4p,2F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1024&amp;comment_code=n&amp;element=Ni&amp;spectr_charge=2&amp;ref=1024&amp;type=,
212.5117,6400000.0,9330.04,56371.41,3p63d8(3F)4s,4F,7/2,3p63d8(3F)4p,2G°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1024&amp;comment_code=n&amp;element=Ni&amp;spectr_charge=2&amp;ref=1024&amp;type=,
212.5905,5000000.0,8393.9,55417.83,3p63d8(3F)4s,4F,9/2,3p63d8(3F)4p,4F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1024&amp;comment_code=n&amp;element=Ni&amp;spectr_charge=2&amp;ref=1024&amp;type=,
212.8578,24800000.0,10115.66,57080.55,3p63d8(3F)4s,4F,5/2,3p63d8(3F)4p,2F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1024&amp;comment_code=n&amp;element=Ni&amp;spectr_charge=2&amp;ref=1024&amp;type=,
213.8582,17700000.0,9330.04,56075.26,3p63d8(3F)4s,4F,7/2,3p63d8(3F)4p,4F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1024&amp;comment_code=n&amp;element=Ni&amp;spectr_charge=2&amp;ref=1024&amp;type=,
215.8737,35000000.0,10115.66,56424.49,3p63d8(3F)4s,4F,5/2,3p63d8(3F)4p,4F°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1024&amp;comment_code=n&amp;element=Ni&amp;spectr_charge=2&amp;ref=1024&amp;type=,
216.1215,20000000.0,10115.66,56371.41,3p63d8(3F)4s,4F,5/2,3p63d8(3F)4p,2G°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1024&amp;comment_code=n&amp;element=Ni&amp;spectr_charge=2&amp;ref=1024&amp;type=,
216.5550,240000000.0,8393.9,54557.05,3p63d8(3F)4s,4F,9/2,3p63d8(3F)4p,4F°,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1024&amp;comment_code=n&amp;element=Ni&amp;spectr_charge=2&amp;ref=1024&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=897&amp;comment_code=&amp;element=Ni&amp;spectr_charge=2&amp;ref=897&amp;type=
216.9092,158000000.0,9330.04,55417.83,3p63d8(3F)4s,4F,7/2,3p63d8(3F)4p,4F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1024&amp;comment_code=n&amp;element=Ni&amp;spectr_charge=2&amp;ref=1024&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=897&amp;comment_code=&amp;element=Ni&amp;spectr_charge=2&amp;ref=897&amp;type=
217.4669,143000000.0,9330.04,55299.65,3p63d8(3F)4s,4F,7/2,3p63d8(3F)4p,2G°,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1024&amp;comment_code=n&amp;element=Ni&amp;spectr_charge=2&amp;ref=1024&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=897&amp;comment_code=&amp;element=Ni&amp;spectr_charge=2&amp;ref=897&amp;type=
217.5142,177000000.0,10115.66,56075.26,3p63d8(3F)4s,4F,5/2,3p63d8(3F)4p,4F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1024&amp;comment_code=n&amp;element=Ni&amp;spectr_charge=2&amp;ref=1024&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=897&amp;comment_code=&amp;element=Ni&amp;spectr_charge=2&amp;ref=897&amp;type=
218.4602,290000000.0,10663.89,56424.49,3p63d8(3F)4s,4F,3/2,3p63d8(3F)4p,4F°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1024&amp;comment_code=n&amp;element=Ni&amp;spectr_charge=2&amp;ref=1024&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=897&amp;comment_code=&amp;element=Ni&amp;spectr_charge=2&amp;ref=897&amp;type=
218.8042,5700000.0,9330.04,55018.71,3p63d8(3F)4s,4F,7/2,3p63d8(3F)4p,4G°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1024&amp;comment_code=n&amp;element=Ni&amp;spectr_charge=2&amp;ref=1024&amp;type=,
220.1405,130000000.0,10663.89,56075.26,3p63d8(3F)4s,4F,3/2,3p63d8(3F)4p,4F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1024&amp;comment_code=n&amp;element=Ni&amp;spectr_charge=2&amp;ref=1024&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=897&amp;comment_code=&amp;element=Ni&amp;spectr_charge=2&amp;ref=897&amp;type=
220.6712,166000000.0,10115.66,55417.83,3p63d8(3F)4s,4F,5/2,3p63d8(3F)4p,4F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1024&amp;comment_code=n&amp;element=Ni&amp;spectr_charge=2&amp;ref=1024&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=897&amp;comment_code=&amp;element=Ni&amp;spectr_charge=2&amp;ref=897&amp;type=
221.0379,39000000.0,9330.04,54557.05,3p63d8(3F)4s,4F,7/2,3p63d8(3F)4p,4F°,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1024&amp;comment_code=n&amp;element=Ni&amp;spectr_charge=2&amp;ref=1024&amp;type=,
221.6477,340000000.0,8393.9,53496.49,3p63d8(3F)4s,4F,9/2,3p63d8(3F)4p,4G°,11/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1024&amp;comment_code=n&amp;element=Ni&amp;spectr_charge=2&amp;ref=1024&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=897&amp;comment_code=&amp;element=Ni&amp;spectr_charge=2&amp;ref=897&amp;type=
222.0399,230000000.0,23108.28,68131.21,3p63d8(3P)4s,4P,5/2,3p63d8(1D)4p,2F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1024&amp;comment_code=n&amp;element=Ni&amp;spectr_charge=2&amp;ref=1024&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=897&amp;comment_code=&amp;element=Ni&amp;spectr_charge=2&amp;ref=897&amp;type=
222.2950,98000000.0,8393.9,53365.17,3p63d8(3F)4s,4F,9/2,3p63d8(3F)4p,4G°,9/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1024&amp;comment_code=n&amp;element=Ni&amp;spectr_charge=2&amp;ref=1024&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=897&amp;comment_code=&amp;element=Ni&amp;spectr_charge=2&amp;ref=897&amp;type=
222.4358,32000000.0,13550.39,58493.21,3p63d8(3F)4s,2F,7/2,3p63d8(3F)4p,2F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1024&amp;comment_code=n&amp;element=Ni&amp;spectr_charge=2&amp;ref=1024&amp;type=,
222.4864,155000000.0,9330.04,54262.63,3p63d8(3F)4s,4F,7/2,3p63d8(3F)4p,4G°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1024&amp;comment_code=n&amp;element=Ni&amp;spectr_charge=2&amp;ref=1024&amp;type=,
222.6328,130000000.0,10115.66,55018.71,3p63d8(3F)4s,4F,5/2,3p63d8(3F)4p,4G°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1024&amp;comment_code=n&amp;element=Ni&amp;spectr_charge=2&amp;ref=1024&amp;type=,
225.3848,198000000.0,10663.89,55018.71,3p63d8(3F)4s,4F,3/2,3p63d8(3F)4p,4G°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1024&amp;comment_code=n&amp;element=Ni&amp;spectr_charge=2&amp;ref=1024&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=897&amp;comment_code=&amp;element=Ni&amp;spectr_charge=2&amp;ref=897&amp;type=
