Wavelength,Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
130.1874,50000000.0,0.0,76812.33,3s23p2,3P,0.0,3s3p3,3P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8043&amp;comment_code=&amp;element=P&amp;spectr_charge=2&amp;ref=8043&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3986&amp;comment_code=&amp;element=P&amp;spectr_charge=2&amp;ref=3986&amp;type=
130.4492,150000000.0,164.9,76823.11,3s23p2,3P,1.0,3s3p3,3P°,0.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8043&amp;comment_code=&amp;element=P&amp;spectr_charge=2&amp;ref=8043&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3986&amp;comment_code=&amp;element=P&amp;spectr_charge=2&amp;ref=3986&amp;type=
130.4675,37000000.0,164.9,76812.33,3s23p2,3P,1.0,3s3p3,3P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8043&amp;comment_code=&amp;element=P&amp;spectr_charge=2&amp;ref=8043&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3986&amp;comment_code=&amp;element=P&amp;spectr_charge=2&amp;ref=3986&amp;type=
130.5497,38000000.0,164.9,76764.06,3s23p2,3P,1.0,3s3p3,3P°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8043&amp;comment_code=&amp;element=P&amp;spectr_charge=2&amp;ref=8043&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3986&amp;comment_code=&amp;element=P&amp;spectr_charge=2&amp;ref=3986&amp;type=
130.9874,62000000.0,469.12,76812.33,3s23p2,3P,2.0,3s3p3,3P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8043&amp;comment_code=&amp;element=P&amp;spectr_charge=2&amp;ref=8043&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3986&amp;comment_code=&amp;element=P&amp;spectr_charge=2&amp;ref=3986&amp;type=
131.0703,110000000.0,469.12,76764.06,3s23p2,3P,2.0,3s3p3,3P°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8043&amp;comment_code=&amp;element=P&amp;spectr_charge=2&amp;ref=8043&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3986&amp;comment_code=&amp;element=P&amp;spectr_charge=2&amp;ref=3986&amp;type=
153.2533,7200000.0,0.0,65251.45,3s23p2,3P,0.0,3s3p3,3D°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1108&amp;comment_code=LS&amp;element=P&amp;spectr_charge=2&amp;ref=1108&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3986&amp;comment_code=&amp;element=P&amp;spectr_charge=2&amp;ref=3986&amp;type=
153.5923,9600000.0,164.9,65272.35,3s23p2,3P,1.0,3s3p3,3D°,2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1108&amp;comment_code=LS&amp;element=P&amp;spectr_charge=2&amp;ref=1108&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3986&amp;comment_code=&amp;element=P&amp;spectr_charge=2&amp;ref=3986&amp;type=
153.6416,5400000.0,164.9,65251.45,3s23p2,3P,1.0,3s3p3,3D°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1108&amp;comment_code=LS&amp;element=P&amp;spectr_charge=2&amp;ref=1108&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3986&amp;comment_code=&amp;element=P&amp;spectr_charge=2&amp;ref=3986&amp;type=
154.2304,12700000.0,469.12,65307.17,3s23p2,3P,2.0,3s3p3,3D°,3.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1108&amp;comment_code=LS&amp;element=P&amp;spectr_charge=2&amp;ref=1108&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3986&amp;comment_code=&amp;element=P&amp;spectr_charge=2&amp;ref=3986&amp;type=
