Wavelength,Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
116.21687,336000000.0,0.0,86046.027,4d9,2D,5/2,4d8(1G)5p,2F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6676&amp;comment_code=&amp;element=Pd&amp;spectr_charge=2&amp;ref=6676&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11817&amp;comment_code=&amp;element=Pd&amp;spectr_charge=2&amp;ref=11817&amp;type=
118.34006000000001,1390000000.0,3539.242,88041.479,4d9,2D,3/2,4d8(3P)5p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6676&amp;comment_code=&amp;element=Pd&amp;spectr_charge=2&amp;ref=6676&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11817&amp;comment_code=&amp;element=Pd&amp;spectr_charge=2&amp;ref=11817&amp;type=
119.6405,662000000.0,3539.242,87122.977,4d9,2D,3/2,4d8(1G)5p,2F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6676&amp;comment_code=&amp;element=Pd&amp;spectr_charge=2&amp;ref=6676&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11817&amp;comment_code=&amp;element=Pd&amp;spectr_charge=2&amp;ref=11817&amp;type=
120.39643999999998,454000000.0,0.0,83058.933,4d9,2D,5/2,4d8(3P)5p,4D°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6676&amp;comment_code=&amp;element=Pd&amp;spectr_charge=2&amp;ref=6676&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11817&amp;comment_code=&amp;element=Pd&amp;spectr_charge=2&amp;ref=11817&amp;type=
121.86226,263000000.0,0.0,82059.859,4d9,2D,5/2,4d8(1D)5p,2D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6676&amp;comment_code=&amp;element=Pd&amp;spectr_charge=2&amp;ref=6676&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11817&amp;comment_code=&amp;element=Pd&amp;spectr_charge=2&amp;ref=11817&amp;type=
123.70686,397000000.0,3539.242,84375.505,4d9,2D,3/2,4d8(3P)5p,2D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6676&amp;comment_code=&amp;element=Pd&amp;spectr_charge=2&amp;ref=6676&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11817&amp;comment_code=&amp;element=Pd&amp;spectr_charge=2&amp;ref=11817&amp;type=
132.00231000000002,468000000.0,0.0,75756.251,4d9,2D,5/2,4d8(3F)5p,2F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6676&amp;comment_code=&amp;element=Pd&amp;spectr_charge=2&amp;ref=6676&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11817&amp;comment_code=&amp;element=Pd&amp;spectr_charge=2&amp;ref=11817&amp;type=
136.36902,57800000.0,0.0,73330.436,4d9,2D,5/2,4d8(3F)5p,4F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6676&amp;comment_code=&amp;element=Pd&amp;spectr_charge=2&amp;ref=6676&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11817&amp;comment_code=&amp;element=Pd&amp;spectr_charge=2&amp;ref=11817&amp;type=
136.77048,254000000.0,0.0,73115.191,4d9,2D,5/2,4d8(3F)5p,2D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6676&amp;comment_code=&amp;element=Pd&amp;spectr_charge=2&amp;ref=6676&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11817&amp;comment_code=&amp;element=Pd&amp;spectr_charge=2&amp;ref=11817&amp;type=
137.48488,127000000.0,0.0,72735.273,4d9,2D,5/2,4d8(3F)5p,4F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6676&amp;comment_code=&amp;element=Pd&amp;spectr_charge=2&amp;ref=6676&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11817&amp;comment_code=&amp;element=Pd&amp;spectr_charge=2&amp;ref=11817&amp;type=
