Wavelength,Unc.(nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
121.94895,2.9999999999999997e-05,260000000.0,15791.309,97792.836,5d9,2D,3/2,5d76s6p,97792°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6519&amp;comment_code=n&amp;element=Pt&amp;spectr_charge=2&amp;ref=6519&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11529&amp;comment_code=&amp;element=Pt&amp;spectr_charge=2&amp;ref=11529&amp;type=
121.95115,7e-05,310000000.0,4786.6527,86786.7,5d86s,4F,9/2,5d76s6p,86786°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6519&amp;comment_code=n&amp;element=Pt&amp;spectr_charge=2&amp;ref=6519&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11529&amp;comment_code=&amp;element=Pt&amp;spectr_charge=2&amp;ref=11529&amp;type=
130.98384,9e-05,13000000.0,9356.3167,85701.61,5d86s,4F,7/2,5d76s6p,85701°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6519&amp;comment_code=n&amp;element=Pt&amp;spectr_charge=2&amp;ref=6519&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11529&amp;comment_code=&amp;element=Pt&amp;spectr_charge=2&amp;ref=11529&amp;type=
138.98743,2.9999999999999997e-05,52000000.0,0.0,71948.954,5d9,2D,5/2,5d7(4F)6s6p(3P°),71948°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8261&amp;comment_code=&amp;element=Pt&amp;spectr_charge=2&amp;ref=8261&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10146&amp;comment_code=&amp;element=Pt&amp;spectr_charge=2&amp;ref=10146&amp;type=
140.12522,2.9999999999999997e-05,40000000.0,0.0,71364.741,5d9,2D,5/2,5d8(3F)6p,"(3,3/2)°",3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8261&amp;comment_code=&amp;element=Pt&amp;spectr_charge=2&amp;ref=8261&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11529&amp;comment_code=&amp;element=Pt&amp;spectr_charge=2&amp;ref=11529&amp;type=
140.223698,1.4000000000000001e-05,9100000.0,0.0,71314.622,5d9,2D,5/2,5d8(3F)6p,"(3,3/2)°",7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8261&amp;comment_code=&amp;element=Pt&amp;spectr_charge=2&amp;ref=8261&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10146&amp;comment_code=&amp;element=Pt&amp;spectr_charge=2&amp;ref=10146&amp;type=
142.952370,1.6e-05,198000000.0,0.0,69953.37,5d9,2D,5/2,5d8(3F)6p,"(3,3/2)°",5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8261&amp;comment_code=&amp;element=Pt&amp;spectr_charge=2&amp;ref=8261&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10146&amp;comment_code=&amp;element=Pt&amp;spectr_charge=2&amp;ref=10146&amp;type=
150.312720,1.6e-05,4000000.0,4786.6527,71314.622,5d86s,4F,9/2,5d8(3F)6p,"(3,3/2)°",7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8261&amp;comment_code=&amp;element=Pt&amp;spectr_charge=2&amp;ref=8261&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11529&amp;comment_code=&amp;element=Pt&amp;spectr_charge=2&amp;ref=11529&amp;type=
150.524468,1.6e-05,81000000.0,0.0,66434.382,5d9,2D,5/2,5d8(3P)6p,"(2,3/2)°",7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8261&amp;comment_code=&amp;element=Pt&amp;spectr_charge=2&amp;ref=8261&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10146&amp;comment_code=&amp;element=Pt&amp;spectr_charge=2&amp;ref=10146&amp;type=
153.019573,1.9e-05,118000000.0,0.0,65351.117,5d9,2D,5/2,5d8(3P)6p,"(2,3/2)°",5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6519&amp;comment_code=n&amp;element=Pt&amp;spectr_charge=2&amp;ref=6519&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10146&amp;comment_code=&amp;element=Pt&amp;spectr_charge=2&amp;ref=10146&amp;type=
154.68268,0.00023999999999999998,930000000.0,43737.431,108385.91,5d76s2,2G,9/2,5d76s6p,108385°,11/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6519&amp;comment_code=n&amp;element=Pt&amp;spectr_charge=2&amp;ref=6519&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11529&amp;comment_code=&amp;element=Pt&amp;spectr_charge=2&amp;ref=11529&amp;type=
155.306858,2.2e-05,20000000.0,0.0,64388.657,5d9,2D,5/2,5d8(3F)6p,"(2,1/2)°",3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8261&amp;comment_code=&amp;element=Pt&amp;spectr_charge=2&amp;ref=8261&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10146&amp;comment_code=&amp;element=Pt&amp;spectr_charge=2&amp;ref=10146&amp;type=
156.890102,1.7e-05,27800000.0,0.0,63738.884,5d9,2D,5/2,5d8(3F)6p,"(3,1/2)°",7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8261&amp;comment_code=&amp;element=Pt&amp;spectr_charge=2&amp;ref=8261&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10146&amp;comment_code=&amp;element=Pt&amp;spectr_charge=2&amp;ref=10146&amp;type=
157.40815,2.9999999999999997e-05,4900000.0,8419.84,71948.954,5d9,2D,3/2,5d7(4F)6s6p(3P°),71948°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8261&amp;comment_code=&amp;element=Pt&amp;spectr_charge=2&amp;ref=8261&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10146&amp;comment_code=&amp;element=Pt&amp;spectr_charge=2&amp;ref=10146&amp;type=
