Wavelength,Unc.  (nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
58.941919999999996,0.0001,48000000000.0,0.0,169658.536,4p6,1S,0.0,4p54d,1P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4631&amp;comment_code=&amp;element=Rb&amp;spectr_charge=2&amp;ref=4631&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2590&amp;comment_code=&amp;element=Rb&amp;spectr_charge=2&amp;ref=2590&amp;type=
64.38784,0.0001,230000000.0,0.0,155308.82,4p6,1S,0.0,4p54d,3D°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4631&amp;comment_code=&amp;element=Rb&amp;spectr_charge=2&amp;ref=4631&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2590&amp;comment_code=&amp;element=Rb&amp;spectr_charge=2&amp;ref=2590&amp;type=
69.70488,0.0001,130000000.0,0.0,143461.977,4p6,1S,0.0,4p54d,3P°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4631&amp;comment_code=&amp;element=Rb&amp;spectr_charge=2&amp;ref=4631&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2590&amp;comment_code=&amp;element=Rb&amp;spectr_charge=2&amp;ref=2590&amp;type=
71.11867,0.0001,1700000000.0,0.0,140610.047,4p6,1S,0.0,4p5(2P°1/2)5s,2[1/2]°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4631&amp;comment_code=&amp;element=Rb&amp;spectr_charge=2&amp;ref=4631&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2590&amp;comment_code=&amp;element=Rb&amp;spectr_charge=2&amp;ref=2590&amp;type=
74.14560999999999,0.0001,860000000.0,0.0,134869.751,4p6,1S,0.0,4p5(2P°3/2)5s,2[3/2]°,1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4631&amp;comment_code=&amp;element=Rb&amp;spectr_charge=2&amp;ref=4631&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2590&amp;comment_code=&amp;element=Rb&amp;spectr_charge=2&amp;ref=2590&amp;type=
305.13653999999997,0.0005,30000000.0,134869.751,167632.436,4p5(2P°3/2)5s,2[3/2]°,1.0,4p5(2P°1/2)5p,2[1/2],0.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3743&amp;comment_code=&amp;element=Rb&amp;spectr_charge=2&amp;ref=3743&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2590&amp;comment_code=&amp;element=Rb&amp;spectr_charge=2&amp;ref=2590&amp;type=
314.88954,0.001,14000000.0,133341.607,165089.58,4p5(2P°3/2)5s,2[3/2]°,2.0,4p5(2P°1/2)5p,2[1/2],1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3743&amp;comment_code=&amp;element=Rb&amp;spectr_charge=2&amp;ref=3743&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2590&amp;comment_code=&amp;element=Rb&amp;spectr_charge=2&amp;ref=2590&amp;type=
316.10004,0.0005,14000000.0,133341.607,164968.007,4p5(2P°3/2)5s,2[3/2]°,2.0,4p5(2P°1/2)5p,2[3/2],2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3743&amp;comment_code=&amp;element=Rb&amp;spectr_charge=2&amp;ref=3743&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2590&amp;comment_code=&amp;element=Rb&amp;spectr_charge=2&amp;ref=2590&amp;type=
332.1496,0.0005,18000000.0,134869.751,164968.007,4p5(2P°3/2)5s,2[3/2]°,1.0,4p5(2P°1/2)5p,2[3/2],2.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3743&amp;comment_code=&amp;element=Rb&amp;spectr_charge=2&amp;ref=3743&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2590&amp;comment_code=&amp;element=Rb&amp;spectr_charge=2&amp;ref=2590&amp;type=
344.0786,0.0005,7000000.0,134869.751,163924.55,4p5(2P°3/2)5s,2[3/2]°,1.0,4p5(2P°1/2)5p,2[3/2],1.0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=3743&amp;comment_code=&amp;element=Rb&amp;spectr_charge=2&amp;ref=3743&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2590&amp;comment_code=&amp;element=Rb&amp;spectr_charge=2&amp;ref=2590&amp;type=
