Wavelength,Unc.(nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
178.3870,0.001,29000.0,0.0,56057.9,4p65s,2S,1/2,4p66p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4032&amp;comment_code=&amp;element=Sr&amp;spectr_charge=2&amp;ref=4032&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3450&amp;comment_code=&amp;element=Sr&amp;spectr_charge=2&amp;ref=3450&amp;type=
179.3088,0.001,640000.0,0.0,55769.7,4p65s,2S,1/2,4p66p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4032&amp;comment_code=&amp;element=Sr&amp;spectr_charge=2&amp;ref=4032&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3450&amp;comment_code=&amp;element=Sr&amp;spectr_charge=2&amp;ref=3450&amp;type=
215.2850,0.0005,236000000.0,14555.9,60991.34,4p64d,2D,3/2,4p64f,2F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6998&amp;comment_code=&amp;element=Sr&amp;spectr_charge=2&amp;ref=6998&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=13897&amp;comment_code=&amp;element=Sr&amp;spectr_charge=2&amp;ref=13897&amp;type=
216.5928,0.0005,16800000.0,14836.24,60991.34,4p64d,2D,5/2,4p64f,2F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6998&amp;comment_code=&amp;element=Sr&amp;spectr_charge=2&amp;ref=6998&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9487&amp;comment_code=&amp;element=Sr&amp;spectr_charge=2&amp;ref=9487&amp;type=
216.5989,0.0005,253000000.0,14836.24,60990.04,4p64d,2D,5/2,4p64f,2F°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6998&amp;comment_code=&amp;element=Sr&amp;spectr_charge=2&amp;ref=6998&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9487&amp;comment_code=&amp;element=Sr&amp;spectr_charge=2&amp;ref=9487&amp;type=
228.20004,0.00011,83000000.0,23715.19,67522.87,4p65p,2P°,1/2,4p66d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Sr&amp;spectr_charge=2&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7362&amp;comment_code=&amp;element=Sr&amp;spectr_charge=2&amp;ref=7362&amp;type=
232.23560,0.00011999999999999999,91000000.0,24516.65,67563.15,4p65p,2P°,3/2,4p66d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Sr&amp;spectr_charge=2&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7362&amp;comment_code=&amp;element=Sr&amp;spectr_charge=2&amp;ref=7362&amp;type=
232.45313,0.00011999999999999999,15000000.0,24516.65,67522.87,4p65p,2P°,3/2,4p66d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Sr&amp;spectr_charge=2&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3450&amp;comment_code=&amp;element=Sr&amp;spectr_charge=2&amp;ref=3450&amp;type=
242.35705,0.00013000000000000002,24000000.0,23715.19,64964.1,4p65p,2P°,1/2,4p67s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Sr&amp;spectr_charge=2&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7362&amp;comment_code=&amp;element=Sr&amp;spectr_charge=2&amp;ref=7362&amp;type=
247.15967,0.00013000000000000002,48000000.0,24516.65,64964.1,4p65p,2P°,3/2,4p67s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4515&amp;comment_code=&amp;element=Sr&amp;spectr_charge=2&amp;ref=4515&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7362&amp;comment_code=&amp;element=Sr&amp;spectr_charge=2&amp;ref=7362&amp;type=
