Wavelength,Unc.(nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
191.061231,1.1e-05,380000000.0,0.0,52339.242,3d2(3F)4s,a 4F,3/2,3d(2D)4s4p(3P°),4D°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7471&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=7471&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u37&amp;element=Ti&amp;spectr_charge=2&amp;ref=&amp;type=
191.095380,1.1e-05,179000000.0,0.0,52329.889,3d2(3F)4s,a 4F,3/2,3d(2D)4s4p(3P°),4F°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7471&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=7471&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u37&amp;element=Ti&amp;spectr_charge=2&amp;ref=&amp;type=
244.016464,1e-05,51000000.0,12628.8455,53597.2664,3d3,b 2D2,3/2,3d(2D)4s4p(3P°),w 2D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2805&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=2805&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u37&amp;element=Ti&amp;spectr_charge=2&amp;ref=&amp;type=
244.268548,1e-05,4000000.0,12628.8455,53554.9903,3d3,b 2D2,3/2,3d(2D)4s4p(3P°),w 2D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2403&amp;comment_code=n&amp;element=Ti&amp;spectr_charge=2&amp;ref=2403&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5432&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=5432&amp;type=
244.789782,1e-05,3700000.0,12758.2597,53597.2664,3d3,b 2D2,5/2,3d(2D)4s4p(3P°),w 2D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2403&amp;comment_code=n&amp;element=Ti&amp;spectr_charge=2&amp;ref=2403&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u37&amp;element=Ti&amp;spectr_charge=2&amp;ref=&amp;type=
245.043467,1e-05,45000000.0,12758.2597,53554.9903,3d3,b 2D2,5/2,3d(2D)4s4p(3P°),w 2D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2805&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=2805&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u37&amp;element=Ti&amp;spectr_charge=2&amp;ref=&amp;type=
247.292548,7.000000000000001e-06,2080000.0,0.0,40425.7183,3d2(3F)4s,a 4F,3/2,3d2(3P)4p,y 4D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7385&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=7385&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=17999&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=17999&amp;type=
247.419437,7.000000000000001e-06,651000.0,393.4459,40798.4333,3d2(3F)4s,a 4F,9/2,3d2(3P)4p,y 4D°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7385&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=7385&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u37&amp;element=Ti&amp;spectr_charge=2&amp;ref=&amp;type=
247.720249,6e-06,790000.0,225.7039,40581.6301,3d2(3F)4s,a 4F,7/2,3d2(3P)4p,y 4D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2403&amp;comment_code=n&amp;element=Ti&amp;spectr_charge=2&amp;ref=2403&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u37&amp;element=Ti&amp;spectr_charge=2&amp;ref=&amp;type=
247.869648,1e-05,512000.0,94.1142,40425.7183,3d2(3F)4s,a 4F,5/2,3d2(3P)4p,y 4D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7385&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=7385&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u37&amp;element=Ti&amp;spectr_charge=2&amp;ref=&amp;type=
248.148927,1.2e-05,2000000.0,4628.6571,44914.8733,3d2(3F)4s,a 2F,5/2,3d2(3P)4p,x 2D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2403&amp;comment_code=n&amp;element=Ti&amp;spectr_charge=2&amp;ref=2403&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=5432&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=5432&amp;type=
249.895120,7.000000000000001e-06,1370000.0,4897.7179,44902.4455,3d2(3F)4s,a 2F,7/2,3d2(3P)4p,x 2D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7385&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=7385&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u37&amp;element=Ti&amp;spectr_charge=2&amp;ref=&amp;type=
251.089052,7.000000000000001e-06,361000.0,983.9157,40798.4333,3d3,b 4F,5/2,3d2(3P)4p,y 4D°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7385&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=7385&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=17999&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=17999&amp;type=
251.743139,7.000000000000001e-06,5010000.0,1087.3561,40798.4333,3d3,b 4F,7/2,3d2(3P)4p,y 4D°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7385&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=7385&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u37&amp;element=Ti&amp;spectr_charge=2&amp;ref=&amp;type=
251.980562,7.000000000000001e-06,461000.0,907.9672,40581.6301,3d3,b 4F,3/2,3d2(3P)4p,y 4D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7385&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=7385&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u37&amp;element=Ti&amp;spectr_charge=2&amp;ref=&amp;type=
252.463894,6e-06,8210000.0,983.9157,40581.6301,3d3,b 4F,5/2,3d2(3P)4p,y 4D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7385&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=7385&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u37&amp;element=Ti&amp;spectr_charge=2&amp;ref=&amp;type=
252.560300,7.000000000000001e-06,40600000.0,1215.8329,40798.4333,3d3,b 4F,9/2,3d2(3P)4p,y 4D°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7385&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=7385&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u37&amp;element=Ti&amp;spectr_charge=2&amp;ref=&amp;type=
252.974783,9e-06,7480000.0,907.9672,40425.7183,3d3,b 4F,3/2,3d2(3P)4p,y 4D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7385&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=7385&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u37&amp;element=Ti&amp;spectr_charge=2&amp;ref=&amp;type=
253.125172,6e-06,37100000.0,1087.3561,40581.6301,3d3,b 4F,7/2,3d2(3P)4p,y 4D°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7385&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=7385&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u37&amp;element=Ti&amp;spectr_charge=2&amp;ref=&amp;type=
253.461940,9e-06,29500000.0,983.9157,40425.7183,3d3,b 4F,5/2,3d2(3P)4p,y 4D°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7385&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=7385&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u37&amp;element=Ti&amp;spectr_charge=2&amp;ref=&amp;type=
253.587019,9e-06,48600000.0,907.9672,40330.3168,3d3,b 4F,3/2,3d2(3P)4p,y 4D°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7385&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=7385&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u37&amp;element=Ti&amp;spectr_charge=2&amp;ref=&amp;type=
255.598614,1.6e-05,32000000.0,4628.6571,43740.7678,3d2(3F)4s,a 2F,5/2,3d2(1G)4p,y 2G°,7/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=2403&amp;comment_code=n&amp;element=Ti&amp;spectr_charge=2&amp;ref=2403&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u37&amp;element=Ti&amp;spectr_charge=2&amp;ref=&amp;type=
256.896772,9e-06,1650000.0,8710.5675,47625.0485,3d2(1D)4s,a 2D,3/2,3d2(1G)4p,x 2F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7385&amp;comment_code=&amp;element=Ti&amp;spectr_charge=2&amp;ref=7385&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=&amp;comment_code=u37&amp;element=Ti&amp;spectr_charge=2&amp;ref=&amp;type=
