Wavelength,Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
311.20295+,1300000.0,0.0,32124.054,5s2,a 1S,0,4d5p,y 3P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10987&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=10987&amp;type=
317.94160+,3780000.0,840.198,32283.42,4d5s,a 3D,1,4d5p,y 3P°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10987&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=10987&amp;type=
319.56132+,82000000.0,840.198,32124.054,4d5s,a 3D,1,4d5p,y 3P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10987&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=10987&amp;type=
320.02691+,48000000.0,1045.076,32283.42,4d5s,a 3D,2,4d5p,y 3P°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10987&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=10987&amp;type=
320.33203+,276000000.0,840.198,32048.788,4d5s,a 3D,1,4d5p,y 3P°,0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10987&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=10987&amp;type=
321.66800+,203000000.0,1045.076,32124.054,4d5s,a 3D,2,4d5p,y 3P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10987&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=10987&amp;type=
324.22725+,203000000.0,1449.752,32283.42,4d5s,a 3D,3,4d5p,y 3P°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10987&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=10987&amp;type=
344.88056+,4100000.0,3296.18,32283.42,4d5s,a 1D,2,4d5p,y 3P°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10987&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=10987&amp;type=
346.78718+,2700000.0,3296.18,32124.054,4d5s,a 1D,2,4d5p,y 3P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10987&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=10987&amp;type=
349.60797+,34900000.0,0.0,28595.285,5s2,a 1S,0,4d5p,z 3D°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10987&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=10987&amp;type=
354.90027+,40000000.0,1045.076,29213.958,4d5s,a 3D,2,4d5p,z 3D°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10987&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=10987&amp;type=
358.45156+,40000000.0,840.198,28730.01,4d5s,a 3D,1,4d5p,z 3D°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10987&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=10987&amp;type=
360.07325+,138000000.0,1449.752,29213.958,4d5s,a 3D,3,4d5p,z 3D°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10987&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=10987&amp;type=
360.19155+,112000000.0,840.198,28595.285,4d5s,a 3D,1,4d5p,z 3D°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10987&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=10987&amp;type=
361.10430+,104000000.0,1045.076,28730.01,4d5s,a 3D,2,4d5p,z 3D°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10987&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=10987&amp;type=
362.87020+,32900000.0,1045.076,28595.285,4d5s,a 3D,2,4d5p,z 3D°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10987&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=10987&amp;type=
363.31212+,130000000.0,0.0,27516.699,5s2,a 1S,0,4d5p,z 1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10987&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=10987&amp;type=
366.46107+,37000000.0,1449.752,28730.01,4d5s,a 3D,3,4d5p,z 3D°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10987&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=10987&amp;type=
371.02873+,154000000.0,1449.752,28394.177,4d5s,a 3D,3,4d5p,z 3F°,4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10987&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=10987&amp;type=
374.75523+,20000000.0,840.198,27516.699,4d5s,a 3D,1,4d5p,z 1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10987&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=10987&amp;type=
377.43299+,110000000.0,1045.076,27532.321,4d5s,a 3D,2,4d5p,z 3F°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10987&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=10987&amp;type=
377.65573+,24000000.0,1045.076,27516.699,4d5s,a 3D,2,4d5p,z 1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10987&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=10987&amp;type=
378.86936+,80000000.0,840.198,27227.027,4d5s,a 3D,1,4d5p,z 3F°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10987&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=10987&amp;type=
381.83414+,9700000.0,1045.076,27227.027,4d5s,a 3D,2,4d5p,z 3F°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10987&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=10987&amp;type=
383.28908+,29500000.0,1449.752,27532.321,4d5s,a 3D,3,4d5p,z 3F°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10987&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=10987&amp;type=
387.82868+,2830000.0,1449.752,27227.027,4d5s,a 3D,3,4d5p,z 3F°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10987&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=10987&amp;type=
393.06583+,2120000.0,3296.18,28730.01,4d5s,a 1D,2,4d5p,z 3D°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10987&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=10987&amp;type=
395.03494+,27800000.0,840.198,26147.252,4d5s,a 3D,1,4d5p,z 1D°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=4373&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=4373&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=10987&amp;comment_code=&amp;element=Y&amp;spectr_charge=2&amp;ref=10987&amp;type=
