Wavelength,Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
192.967+,2710000.0,65441.64,117264.0,3d94s2,2D,3/2,3d104f,2F°,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7870&amp;comment_code=&amp;element=Zn&amp;spectr_charge=2&amp;ref=7870&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=640&amp;comment_code=&amp;element=Zn&amp;spectr_charge=2&amp;ref=640&amp;type=
202.5483+,407000000.0,0.0,49355.04,3d104s,2S,1/2,3d104p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7574&amp;comment_code=&amp;element=Zn&amp;spectr_charge=2&amp;ref=7574&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9761&amp;comment_code=&amp;element=Zn&amp;spectr_charge=2&amp;ref=9761&amp;type=
206.2004+,386000000.0,0.0,48481.0,3d104s,2S,1/2,3d104p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7574&amp;comment_code=&amp;element=Zn&amp;spectr_charge=2&amp;ref=7574&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9761&amp;comment_code=&amp;element=Zn&amp;spectr_charge=2&amp;ref=9761&amp;type=
206.4230+,460000000.0,48481.0,96909.74,3d104p,2P°,1/2,3d104d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7870&amp;comment_code=&amp;element=Zn&amp;spectr_charge=2&amp;ref=7870&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9761&amp;comment_code=&amp;element=Zn&amp;spectr_charge=2&amp;ref=9761&amp;type=
209.9937+,560000000.0,49355.04,96960.4,3d104p,2P°,3/2,3d104d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7870&amp;comment_code=&amp;element=Zn&amp;spectr_charge=2&amp;ref=7870&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9761&amp;comment_code=&amp;element=Zn&amp;spectr_charge=2&amp;ref=9761&amp;type=
210.2175+,93000000.0,49355.04,96909.74,3d104p,2P°,3/2,3d104d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7870&amp;comment_code=&amp;element=Zn&amp;spectr_charge=2&amp;ref=7870&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9761&amp;comment_code=&amp;element=Zn&amp;spectr_charge=2&amp;ref=9761&amp;type=
250.1990+,197000000.0,48481.0,88437.15,3d104p,2P°,1/2,3d105s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7870&amp;comment_code=&amp;element=Zn&amp;spectr_charge=2&amp;ref=7870&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9761&amp;comment_code=&amp;element=Zn&amp;spectr_charge=2&amp;ref=9761&amp;type=
255.7948+,391000000.0,49355.04,88437.15,3d104p,2P°,3/2,3d105s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7870&amp;comment_code=&amp;element=Zn&amp;spectr_charge=2&amp;ref=7870&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9761&amp;comment_code=&amp;element=Zn&amp;spectr_charge=2&amp;ref=9761&amp;type=
257.065+,17600000.0,62722.45,101611.4,3d94s2,2D,5/2,3d105p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7870&amp;comment_code=&amp;element=Zn&amp;spectr_charge=2&amp;ref=7870&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=45&amp;comment_code=&amp;element=Zn&amp;spectr_charge=2&amp;ref=45&amp;type=
276.392+,1910000.0,65441.64,101611.4,3d94s2,2D,3/2,3d105p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7870&amp;comment_code=&amp;element=Zn&amp;spectr_charge=2&amp;ref=7870&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=45&amp;comment_code=&amp;element=Zn&amp;spectr_charge=2&amp;ref=45&amp;type=
