Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
3s23d,2D,3s23p,2P°,3.8987e-08,1.3971e-08,2.5016e-08
3s23p,2P°,3s23p,2P°,9.9010e+04,9.9010e+04,1.4552e-11
3s24d,2D,3s23p,2P°,3.0130e-08,1.0985e-08,1.9145e-08
3s24d,2D,3s25p,2P°,1.4260e-06,5.1988e-07,9.0612e-07
3s24d,2D,3s24p,2P°,1.6676e-05,6.0796e-06,1.0596e-05
3s24d,2D,3s24f,2F°,5.9692e-05,2.1762e-05,3.7930e-05
3s24f,2F°,3s23d,2D,4.0959e-07,7.1884e-08,3.3771e-07
3s24f,2F°,3s2nd,y 2D,2.6526e-06,4.6554e-07,2.1871e-06
3s24p,2P°,3s24s,2S,6.2697e-08,6.2677e-08,2.0147e-11
3s24p,2P°,3s23d,2D,5.7334e-04,5.7316e-04,1.8423e-07
3s24s,2S,3s23p,2P°,1.5096e-08,6.7385e-09,8.3575e-09
3s25d,2D,3s23p,2P°,3.5733e-08,1.2776e-08,2.2957e-08
3s25d,2D,3s26p,2P°,6.4477e-06,2.3053e-06,4.1424e-06
3s25d,2D,3s24p,2P°,1.0025e-05,3.5843e-06,6.4407e-06
3s25d,2D,3s25p,2P°,1.6557e-04,5.9197e-05,1.0637e-04
3s25d,2D,3s25f,2F°,2.5432e-04,9.0928e-05,1.6339e-04
3s25f,2F°,3s23d,2D,8.2098e-07,1.4394e-07,6.7704e-07
3s25f,2F°,3s24d,2D,3.7159e-06,6.5152e-07,3.0644e-06
3s25f,2F°,3s2nd,y 2D,3.0850e-04,5.4090e-05,2.5441e-04
3s25g,2G,3s24f,2F°,1.3261e-06,2.2637e-07,1.0997e-06
3s25p,2P°,3s25s,2S,3.8685e-07,3.5446e-07,3.2394e-08
3s25p,2P°,3s24s,2S,1.0000e-06,9.1626e-07,8.3739e-08
3s25p,2P°,3s2nd,y 2D,1.0298e-05,9.4357e-06,8.6234e-07
3s25p,2P°,3s23d,2D,6.3921e-05,5.8568e-05,5.3527e-06
3s25s,2S,3s23p,2P°,5.2817e-08,2.3474e-08,2.9343e-08
3s25s,2S,3s24p,2P°,2.5000e-07,1.1111e-07,1.3889e-07
3s2nd,y 2D,3s23p,2P°,8.2269e-08,3.2454e-08,4.9815e-08
3s2nd,y 2D,3s24p,2P°,2.3202e-07,9.1530e-08,1.4049e-07
3s3p2,4P,3s3p2,4P,2.8772e+05,1.2676e+06,-9.7991e+05
3s3p2,4P,3s24s,2S,4.0322e+06,1.7765e+07,-1.3733e+07
