Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
3s23p53d,2[1/2]°,3s23p54p,2[1/2],2.2297e-06,1.5073e-07,2.0790e-06
3s23p53d,2[1/2]°,3s23p54p,2[3/2],1.5575e-05,1.0529e-06,1.4522e-05
3s23p53d,2[1/2]°,3s23p54p,2[5/2],2.5641e-05,1.7333e-06,2.3908e-05
3s23p53d,2[3/2]°,3s23p6,1S,3.4493e-09,5.6299e-08,-5.2849e-08
3s23p53d,2[3/2]°,3s23p54p,2[3/2],1.5781e-06,2.5757e-05,-2.4179e-05
3s23p53d,2[3/2]°,3s23p54p,2[1/2],1.7718e-06,2.8919e-05,-2.7147e-05
3s23p53d,2[3/2]°,3s23p54p,2[5/2],4.6919e-06,7.6580e-05,-7.1888e-05
3s23p53d,2[5/2]°,3s23p54p,2[5/2],2.1072e-06,1.1052e-07,1.9967e-06
3s23p53d,2[5/2]°,3s23p54p,2[3/2],2.0555e-05,1.0780e-06,1.9477e-05
3s23p53d,2[7/2]°,3s23p54p,2[5/2],9.0909e-08,9.0909e-08,-4.8019e-13
3s23p53d,2[7/2]°,3s23p54p,2[3/2],1.1364e-05,1.1364e-05,-6.0026e-11
3s23p54d,2[1/2]°,3s23p54p,2[1/2],1.7709e-06,4.2165e-07,1.3493e-06
3s23p54d,2[1/2]°,3s23p54p,2[3/2],2.0991e-06,4.9979e-07,1.5993e-06
3s23p54d,2[1/2]°,3s23p54p,2[5/2],3.5714e-06,8.5035e-07,2.7211e-06
3s23p54d,2[3/2]°,3s23p54p,2[1/2],4.2656e-06,3.2347e-06,1.0309e-06
3s23p54d,2[3/2]°,3s23p54p,2[3/2],8.8484e-06,6.7099e-06,2.1385e-06
3s23p54d,2[3/2]°,3s23p54p,2[5/2],1.3178e-05,9.9931e-06,3.1849e-06
3s23p54d,2[5/2]°,3s23p54p,2[1/2],4.3557e-06,3.5007e-06,8.5503e-07
3s23p54d,2[5/2]°,3s23p54p,2[3/2],4.4207e-06,3.5529e-06,8.6779e-07
3s23p54d,2[5/2]°,3s23p54p,2[5/2],3.0262e-05,2.4322e-05,5.9405e-06
3s23p54d,2[7/2]°,3s23p54p,2[5/2],3.5530e-06,8.4976e-07,2.7032e-06
3s23p54d,2[7/2]°,3s23p54p,2[3/2],1.0020e-05,2.3965e-06,7.6235e-06
3s23p54f,2[3/2],3s23p53d,2[3/2]°,6.2500e-07,3.0561e-07,3.1939e-07
3s23p54f,2[3/2],3s23p53d,2[1/2]°,6.4244e-07,3.1414e-07,3.2830e-07
3s23p54f,2[3/2],3s23p55s,2[3/2]°,1.6667e-05,8.1499e-06,8.5171e-06
3s23p54f,2[5/2],3s23p53d,2[3/2]°,3.1425e-07,1.5657e-07,1.5768e-07
3s23p54f,2[5/2],3s23p55s,2[3/2]°,4.7619e-06,2.3726e-06,2.3893e-06
3s23p54f,2[7/2],3s23p53d,2[5/2]°,3.5661e-07,1.5712e-07,1.9949e-07
3s23p54f,2[7/2],3s23p53d,2[7/2]°,2.8902e-06,1.2734e-06,1.6168e-06
3s23p54f,2[9/2],3s23p53d,2[7/2]°,1.5385e-07,1.7041e-07,-1.6560e-08
3s23p54f,2[9/2],3s23p53d,2[5/2]°,7.1429e-07,7.9117e-07,-7.6883e-08
3s23p54p,2[1/2],3s23p54s,2[3/2]°,8.6718e-07,4.7954e-08,8.1923e-07
3s23p54p,2[1/2],3s23p54s,2[1/2]°,1.2913e-06,7.1407e-08,1.2199e-06
3s23p54p,2[3/2],3s23p54s,2[1/2]°,2.8758e-07,3.0869e-08,2.5671e-07
3s23p54p,2[3/2],3s23p54s,2[3/2]°,5.9875e-06,6.4269e-07,5.3448e-06
3s23p54p,2[5/2],3s23p54s,2[3/2]°,6.1447e-08,3.3414e-08,2.8033e-08
3s23p54p,2[5/2],3s23p54s,2[1/2]°,6.8027e-07,3.6992e-07,3.1035e-07
3s23p54s,2[1/2]°,3s23p6,1S,1.8797e-09,1.8797e-09,0.0000e+00
3s23p54s,2[3/2]°,3s23p6,1S,7.5758e-09,7.5758e-09,0.0000e+00
3s23p55d,2[1/2]°,3s23p54p,2[1/2],2.9201e-06,4.5997e-07,2.4601e-06
3s23p55d,2[1/2]°,3s23p54p,2[3/2],5.2089e-06,8.2050e-07,4.3884e-06
3s23p55d,2[1/2]°,3s23p54p,2[5/2],9.0909e-06,1.4320e-06,7.6589e-06
3s23p55d,2[3/2]°,3s23p54p,2[1/2],9.9110e-06,9.5802e-06,3.3085e-07
3s23p55d,2[3/2]°,3s23p54p,2[5/2],1.3983e-05,1.3516e-05,4.6678e-07
3s23p55d,2[3/2]°,3s23p54p,2[3/2],2.1491e-05,2.0774e-05,7.1741e-07
3s23p55d,2[5/2]°,3s23p54p,2[3/2],1.4170e-05,2.3035e-06,1.1866e-05
3s23p55d,2[5/2]°,3s23p54p,2[5/2],2.2967e-05,3.7336e-06,1.9233e-05
3s23p55d,2[5/2]°,3s23p54p,2[1/2],2.9545e-05,4.8029e-06,2.4742e-05
3s23p55d,2[7/2]°,3s23p54p,2[5/2],3.1400e-06,5.4701e-07,2.5930e-06
3s23p55d,2[7/2]°,3s23p54p,2[3/2],4.0625e-05,7.0771e-06,3.3548e-05
3s23p55p,2[1/2],3s23p54s,2[1/2]°,4.2890e-06,1.6591e-06,2.6299e-06
3s23p55p,2[1/2],3s23p53d,2[3/2]°,1.1494e-05,4.4463e-06,7.0477e-06
3s23p55p,2[1/2],3s23p54s,2[3/2]°,2.3859e-05,9.2295e-06,1.4630e-05
3s23p55p,2[3/2],3s23p54s,2[3/2]°,9.5090e-06,1.0688e-06,8.4402e-06
3s23p55p,2[3/2],3s23p54s,2[1/2]°,5.2624e-05,5.9148e-06,4.6709e-05
3s23p55p,2[5/2],3s23p53d,2[7/2]°,9.0909e-07,1.4090e-06,-4.9987e-07
3s23p55p,2[5/2],3s23p54s,2[3/2]°,2.4183e-06,3.7480e-06,-1.3297e-06
3s23p55p,2[5/2],3s23p53d,2[3/2]°,1.3158e-05,2.0393e-05,-7.2350e-06
3s23p55p,2[5/2],3s23p54s,2[1/2]°,2.6110e-05,4.0467e-05,-1.4357e-05
3s23p55s,2[1/2]°,3s23p6,1S,2.8571e-08,3.5862e-08,-7.2914e-09
3s23p55s,2[1/2]°,3s23p54p,2[1/2],7.5384e-07,9.4622e-07,-1.9238e-07
3s23p55s,2[1/2]°,3s23p54p,2[3/2],9.0894e-07,1.1409e-06,-2.3196e-07
3s23p55s,2[1/2]°,3s23p54p,2[5/2],4.7619e-06,5.9771e-06,-1.2152e-06
3s23p55s,2[3/2]°,3s23p6,1S,1.2987e-08,2.9753e-08,-1.6766e-08
3s23p55s,2[3/2]°,3s23p54p,2[5/2],3.7079e-07,8.4947e-07,-4.7868e-07
