Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
5d106d,2D,5d106p,2P°,2.8898e-08,1.0583e-08,1.8315e-08
5d106p,2P°,5d106s,2S,5.5740e-09,5.3244e-09,2.4956e-10
5d106p,2P°,5d96s2,2D,7.5661e-07,7.2273e-07,3.3875e-08
5d107d,2D,5d106p,2P°,3.2292e-08,3.2292e-08,0.0000e+00
5d107p,2P°,5d106s,2S,2.1333e-06,2.1333e-06,0.0000e+00
5d107s,2S,5d106p,2P°,2.8742e-08,1.3908e-08,1.4834e-08
5d95/26s1/26p1/2,4F°,5d96s2,2D,9.7087e-08,9.7087e-08,0.0000e+00
5d95/26s1/26p3/2,2D°,5d96s2,2D,1.6754e-06,1.2034e-07,1.5551e-06
5d95/26s1/26p3/2,4P°,5d106s,2S,2.6316e-07,1.2714e-07,1.3602e-07
5d95/26s1/26p3/2,4P°,5d96s2,2D,4.6591e-06,2.2509e-06,2.4082e-06
