Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
5d6d,3D,6s6p,3P°,1.3981e-07,1.0247e-07,3.7340e-08
5d6d,3G,6s6p,3P°,1.5152e-07,1.5152e-07,0.0000e+00
5d6d,3S,6s6p,3P°,4.1667e-08,4.1667e-08,0.0000e+00
5d6p,1D°,6s5d,1D,5.0000e-08,3.3741e-08,1.6259e-08
5d6p,1D°,6s5d,3D,6.9481e-07,4.6887e-07,2.2594e-07
5d6p,1F°,6s5d,1D,2.2727e-08,2.2727e-08,-3.1890e-13
5d6p,1F°,6s5d,3D,9.0909e-07,9.0910e-07,-1.2756e-11
5d6p,1P°,6s5d,1D,2.2222e-08,2.2222e-08,-3.3222e-13
5d6p,1P°,6s2,1S,2.8571e-08,2.8571e-08,-4.2713e-13
5d6p,1P°,5d2,1D,8.3333e-07,8.3334e-07,-1.2458e-11
5d6p,1P°,5d2,3P,3.8462e-06,3.8463e-06,-5.7500e-11
5d6p,3D°,6s5d,3D,5.3380e-08,1.9147e-08,3.4233e-08
5d6p,3D°,6s2,1S,6.8493e-07,2.4568e-07,4.3925e-07
5d6p,3D°,6s5d,1D,9.0909e-07,3.2608e-07,5.8301e-07
5d6p,3D°,5d2,3F,1.4286e-06,5.1243e-07,9.1617e-07
5d6p,3F°,6s5d,3D,7.7296e-08,2.7323e-08,4.9973e-08
5d6p,3F°,6s5d,1D,1.6787e-06,5.9339e-07,1.0853e-06
5d6p,3P°,6s5d,3D,6.9366e-08,1.7223e-08,5.2143e-08
5d6p,3P°,6s5d,1D,1.2821e-07,3.1834e-08,9.6376e-08
5d6p,3P°,6s2,1S,9.0909e-07,2.2572e-07,6.8337e-07
5d7p,1P°,6s2,1S,8.3333e-08,8.3333e-08,0.0000e+00
5d7p,3D°,6s2,1S,1.0989e-06,1.0989e-06,0.0000e+00
5d7p,3P°,6s2,1S,4.0000e-07,4.0000e-07,0.0000e+00
5d8p,3D°,6s2,1S,2.2222e-06,2.2222e-06,0.0000e+00
5d8p,3P°,6s2,1S,1.3889e-06,1.3889e-06,0.0000e+00
6p2,3P,6s6p,3P°,1.3877e-08,7.7299e-09,6.1471e-09
6p2,3P,6s6p,1P°,6.9264e-08,3.8582e-08,3.0682e-08
6p2,3P,5d6p,3D°,7.6705e-08,4.2727e-08,3.3978e-08
6p2,3P,5d6p,3P°,4.0551e-07,2.2588e-07,1.7963e-07
6p2,3P,5d6p,1P°,1.1628e-06,6.4771e-07,5.1509e-07
6s4f,1F°,6s5d,1D,1.5625e-08,1.5625e-08,0.0000e+00
6s4f,3F°,6s5d,3D,5.2882e-08,1.7590e-08,3.5292e-08
6s6d,3D,6s6p,3P°,2.3904e-08,1.2774e-08,1.1130e-08
6s6d,3D,6s6p,1P°,6.2500e-07,3.3398e-07,2.9102e-07
6s6p,1P°,6s2,1S,8.4034e-09,8.3958e-09,7.5750e-12
6s6p,1P°,6s5d,1D,4.0000e-06,3.9964e-06,3.6057e-09
6s6p,1P°,6s5d,3D,1.6584e-04,1.6569e-04,1.4949e-07
6s6p,3P°,6s2,1S,3.3557e-06,3.3557e-06,0.0000e+00
6s7d,1D,6s6p,3P°,8.1818e-08,3.4722e-08,4.7096e-08
6s7d,3D,6s6p,3P°,3.9226e-08,2.5153e-08,1.4073e-08
6s7p,1P°,6s2,1S,2.3810e-08,2.3810e-08,-5.0115e-14
6s7p,1P°,6s5d,1D,3.0303e-08,3.0303e-08,-6.3781e-14
6s7p,1P°,5d2,1D,5.5556e-07,5.5556e-07,-1.1693e-12
6s7p,3P°,6s5d,3D,2.6885e-07,1.4000e-07,1.2885e-07
6s7s,3S,6s6p,3P°,9.0863e-08,2.0290e-08,7.0573e-08
6s7s,3S,6s6p,1P°,1.1111e-05,2.4811e-06,8.6299e-06
6s8p,1P°,6s2,1S,3.5714e-07,3.5714e-07,0.0000e+00
6s8s,1S,6s6p,3P°,2.4390e-08,2.4390e-08,-1.8308e-13
6s8s,1S,6s6p,1P°,1.6667e-07,1.6667e-07,-1.2511e-12
6s8s,1S,5d6p,3D°,1.8182e-07,1.8182e-07,-1.3648e-12
6s8s,1S,5d6p,1P°,3.7037e-07,3.7037e-07,-2.7801e-12
6s8s,3S,6s6p,3P°,2.3983e-07,7.0423e-08,1.6941e-07
