Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
1s22p2,3P,1s22s2p,3P°,6.1934e-09,2.3641e-09,3.8293e-09
1s22s2p,1P°,1s22s2,1S,1.8116e-09,1.8116e-09,-3.9291e-24
1s22s2p,1P°,1s22s2p,3P°,8.6237e+05,8.6237e+05,-1.8626e-09
1s22s2p,3P°,1s22s2,1S,3.0315e+03,3.0315e+03,-7.2760e-12
1s22s2p,3P°,1s22s2p,3P°,1.1990e+18,1.1990e+18,-2.8160e+03
1s22s3d,1D,1s22s2p,1P°,1.3123e-08,1.3123e-08,1.9930e-13
1s22s3d,1D,1s22s3p,1P°,2.0492e-07,2.0492e-07,3.1122e-12
1s22s3d,3D,1s22s2p,3P°,4.0267e-08,5.1998e-09,3.5067e-08
1s22s3p,1P°,1s22s2,1S,1.3831e-07,1.3831e-07,-8.0788e-13
1s22s3p,1P°,1s22s3s,1S,1.5480e-07,1.5480e-07,-9.0420e-13
1s22s3p,3P°,1s22s3s,3S,8.5470e-08,8.5470e-08,-3.2143e-15
1s22s3p,3P°,1s22s2,1S,2.2727e+00,2.2727e+00,-8.5470e-08
1s22s3s,1S,1s22s2p,1P°,2.9586e-08,2.9586e-08,3.3087e-24
1s22s3s,3S,1s22s2p,3P°,3.0061e-08,6.5317e-09,2.3529e-08
1s22s4d,1D,1s22s2p,1P°,2.0534e-08,2.0533e-08,5.4081e-13
1s22s4d,1D,1s22s3p,1P°,1.9455e-06,1.9454e-06,5.1240e-11
1s22s4d,3D,1s22s2p,3P°,9.5368e-08,1.2313e-08,8.3055e-08
1s22s4d,3D,1s22s3p,3P°,1.7810e-06,2.2994e-07,1.5511e-06
1s22s4f,1F°,1s22p2,1D,1.0428e-07,1.0424e-07,4.3294e-11
1s22s4f,1F°,1s22s3d,1D,1.4104e-07,1.4098e-07,5.8555e-11
1s22s4f,1F°,1s22s3d,3D,5.9548e-04,5.9523e-04,2.4722e-07
1s22s4f,3F°,1s22s3d,3D,3.0432e-06,6.4304e-08,2.9789e-06
1s22s4f,3F°,1s22p2,1D,1.9608e-04,4.1433e-06,1.9194e-04
1s22s4f,3F°,1s22s3d,1D,2.6667e-04,5.6349e-06,2.6104e-04
1s22s4p,1P°,1s22p2,1D,1.9231e-06,1.9231e-06,-6.8917e-12
1s22s4p,1P°,1s22s3s,1S,3.0395e-06,3.0395e-06,-1.0892e-11
1s22s4p,1P°,1s22s2,1S,8.3333e-06,8.3333e-06,-2.9864e-11
1s22s4p,3P°,1s22s3s,3S,5.8824e-06,7.3713e-07,5.1453e-06
1s22s4p,3P°,1s22s3d,3D,9.3722e-06,1.1744e-06,8.1978e-06
1s22s4s,1S,1s22s3p,1P°,9.2593e-08,9.2593e-08,4.2309e-14
1s22s4s,1S,1s22s2p,1P°,9.9010e-08,9.9010e-08,4.5241e-14
1s22s4s,3S,1s22s2p,3P°,1.0875e-07,2.3643e-08,8.5107e-08
1s22s4s,3S,1s22s3p,3P°,3.3642e-07,7.3139e-08,2.6328e-07
