Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
6p26d,2[2],6p3,4S°,2.3323e-08,1.9858e-08,3.4646e-09
6p26d,2[2],6p3,2D°,2.9649e-07,2.5245e-07,4.4044e-08
6p26d,2[2],6p3,2P°,6.9930e-07,5.9542e-07,1.0388e-07
6p26d,5657,6p3,2P°,9.3458e-08,9.3458e-08,0.0000e+00
6p26d,5707,6p3,2D°,1.7241e-08,1.7241e-08,0.0000e+00
6p26d,5827,6p3,2P°,4.9505e-08,4.9505e-08,0.0000e+00
6p27d,2[2],6p3,4S°,4.1000e-08,2.7099e-08,1.3901e-08
6p27d,2[2],6p3,2P°,1.5625e-07,1.0327e-07,5.2978e-08
6p27d,2[2],6p3,2D°,3.0795e-07,2.0354e-07,1.0441e-07
6p27s,2[0],6p3,4S°,5.9880e-09,5.9880e-09,4.5572e-15
6p27s,2[0],6p3,2D°,1.0638e-07,1.0638e-07,8.0962e-14
6p27s,2[1],6p3,2D°,2.6973e-08,7.2929e-09,1.9680e-08
6p27s,2[1],6p3,4S°,1.9799e-07,5.3532e-08,1.4446e-07
6p27s,2[1],6p3,2P°,3.4299e-07,9.2737e-08,2.5025e-07
6p27s,2[2],6p3,2D°,5.0789e-08,9.0128e-09,4.1776e-08
6p27s,2[2],6p3,4S°,9.1553e-08,1.6247e-08,7.5306e-08
6p27s,2[2],6p3,2P°,3.1326e-07,5.5590e-08,2.5767e-07
6p28s,2[0],6p3,4S°,1.1062e-08,1.1062e-08,-2.9489e-14
6p28s,2[0],6p3,2D°,3.2362e-08,3.2362e-08,-8.6270e-14
6p28s,2[0],6p3,2P°,2.4390e-07,2.4390e-07,-6.5018e-13
6p3,2D°,6p3,4S°,4.4444e-02,4.4444e-02,0.0000e+00
6p3,2P°,6p27s,2[0],2.0000e-01,2.0000e-01,0.0000e+00
