Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
4s24p45d,2[4],4s24p45p,2[3]°,5.8824e-07,5.8824e-07,0.0000e+00
4s24p45p,2[0]°,4s24p45s,2[1],1.7915e-07,3.2154e-08,1.4700e-07
4s24p45p,2[1]°,4s24p45s,2[0],8.2923e-08,2.9033e-07,-2.0741e-07
4s24p45p,2[1]°,4s24p45s,2[2],3.8679e-07,1.3543e-06,-9.6746e-07
4s24p45p,2[1]°,4s24p45s,2[1],5.0155e-07,1.7561e-06,-1.2545e-06
4s24p45p,2[2]°,4s24p45s,2[1],3.9493e-08,4.0004e-08,-5.1114e-10
4s24p45p,2[2]°,4s24p45s,2[2],6.2906e-07,6.3720e-07,-8.1416e-09
4s24p45p,2[3]°,4s24p45s,2[2],8.7772e-08,3.3181e-08,5.4591e-08
4s24p45s,2[0],4s24p5,2P°,1.3889e-09,6.6667e-10,7.2223e-10
4s24p45s,2[1],4s24p5,2P°,2.5000e-08,1.2273e-08,1.2727e-08
4s24p45s,2[2],4s24p5,2P°,4.3696e-08,4.5612e-08,-1.9160e-09
4s24p46p,2[1]°,4s24p45s,2[2],6.6667e-07,7.5560e-06,-6.8893e-06
4s24p46p,2[1]°,4s24p45s,2[1],1.0313e-05,1.1689e-04,-1.0657e-04
4s24p46p,2[2]°,4s24p45s,2[2],1.2105e-06,1.2105e-06,0.0000e+00
4s24p46p,2[3]°,4s24p45s,2[2],4.7619e-07,1.7720e-05,-1.7244e-05
4s24p46p,2[3]°,4s24p45s,2[1],3.4483e-05,1.2832e-03,-1.2487e-03
4s24p5,2P°,4s24p5,2P°,1.1111e+00,1.1111e+00,0.0000e+00
4s4p6,2S,4s24p5,2P°,1.6667e-07,1.6667e-07,0.0000e+00
