Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
2s22p2,1D,2s22p2,3P,5.6558e+06,3.4123e+03,5.6524e+06
2s22p2,1S,2s22p2,1D,1.6667e+00,1.6603e+00,6.3794e-03
2s22p2,1S,2s22p2,3P,2.2945e+04,2.2857e+04,8.7824e+01
2s22p2,3P,2s22p2,3P,1.9380e+13,8.1920e+06,1.9380e+13
2s22p3d,1D°,2s22p2,1D,2.8571e-08,2.8502e-08,6.8861e-11
2s22p3d,1D°,2s22p3p,1P,4.9261e-08,4.9142e-08,1.1873e-10
2s22p3d,1D°,2s22p3p,1D,5.3191e-07,5.3063e-07,1.2820e-09
2s22p3d,1D°,2s22p2,3P,1.0931e-05,1.0905e-05,2.6346e-08
2s22p3d,1D°,2s22p3p,3D,2.1150e-04,2.1099e-04,5.0975e-07
2s22p3d,1F°,2s22p2,1D,5.5866e-09,5.5866e-09,1.7543e-14
2s22p3d,1F°,2s22p3p,1D,8.0645e-08,8.0645e-08,2.5325e-13
2s22p3d,1F°,2s22p2,3P,8.3333e-07,8.3333e-07,2.6169e-12
2s22p3d,1F°,2s22p3p,3D,6.6667e-06,6.6667e-06,2.0935e-11
2s22p3d,1F°,2s22p3p,3P,2.3256e-05,2.3256e-05,7.3030e-11
2s22p3d,1P°,2s22p2,1S,1.1905e-08,1.1847e-08,5.7601e-11
2s22p3d,1P°,2s22p2,1D,1.8182e-08,1.8094e-08,8.7972e-11
2s22p3d,1P°,2s22p3p,1P,5.0000e-08,4.9758e-08,2.4192e-10
2s22p3d,1P°,2s22p3p,1S,4.9751e-07,4.9510e-07,2.4072e-09
2s22p3d,1P°,2s22p3p,1D,1.6393e-06,1.6314e-06,7.9316e-09
2s22p3d,3D°,2s22p2,3P,3.5740e-08,4.3883e-09,3.1352e-08
2s22p3d,3D°,2s22p3p,3P,7.4402e-07,9.1353e-08,6.5267e-07
2s22p3d,3D°,2s22p2,1S,1.2500e-06,1.5348e-07,1.0965e-06
2s22p3d,3D°,2s22p3p,1S,3.5714e-06,4.3851e-07,3.1329e-06
2s22p3d,3D°,2s22p3p,3D,5.9737e-06,7.3347e-07,5.2402e-06
2s22p3d,3F°,2s22p2,3P,2.6515e-07,3.3806e-08,2.3134e-07
2s22p3d,3F°,2s22p2,1D,9.6139e-06,1.2258e-06,8.3881e-06
2s22p3d,3F°,2s22p3p,3P,9.8575e-06,1.2568e-06,8.6007e-06
2s22p3d,3F°,2s22p3p,3D,5.7682e-05,7.3543e-06,5.0328e-05
2s22p3d,3F°,2s22p3p,1D,1.2385e-04,1.5791e-05,1.0806e-04
2s22p3d,3P°,2s22p2,3P,1.5429e-08,6.1946e-09,9.2344e-09
2s22p3d,3P°,2s22p3p,3S,1.1507e-07,4.6199e-08,6.8871e-08
2s22p3d,3P°,2s22p3p,3P,2.2172e-07,8.9018e-08,1.3270e-07
2s22p3d,3P°,2s22p2,1S,6.6667e-05,2.6766e-05,3.9901e-05
2s22p3d,3P°,2s22p3p,3D,1.0629e-04,4.2674e-05,6.3616e-05
2s22p3p,1D,2s22p3s,1P°,3.4364e-08,3.4361e-08,3.4240e-12
2s22p3p,1D,2s22p3s,3P°,4.5833e-04,4.5828e-04,4.5667e-08
2s22p3p,1P,2s22p3s,1P°,1.1628e-07,1.1591e-07,3.6999e-10
2s22p3p,1P,2s22p3s,3P°,1.2822e+00,1.2781e+00,4.0798e-03
2s22p3p,1S,2s22p3s,1P°,2.8490e-08,2.8490e-08,-5.7831e-14
