Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
3p63d2,3P,3p64s4p,3P°,2.4584e-08,8.5712e-09,1.6013e-08
3p63d4p,1D°,3p63d4s,3D,4.1270e-07,9.6154e-08,3.1655e-07
3p63d4p,3D°,3p63d4s,3D,7.7834e-08,1.8001e-08,5.9833e-08
3p63d4p,3D°,3p64s2,1S,6.2500e-05,1.4455e-05,4.8045e-05
3p63d4p,3F°,3p63d4s,3D,7.5375e-07,1.8959e-08,7.3479e-07
3p63d4p,3P°,3p63d4s,3D,3.1255e-07,1.6875e-08,2.9567e-07
3p63d4p,3P°,3p64s2,1S,5.8824e-05,3.1760e-06,5.5648e-05
3p64p2,1D,3p64s4p,1P°,1.5152e-08,1.5152e-08,0.0000e+00
3p64p2,1S,3p64s4p,1P°,9.0909e-09,9.0909e-09,0.0000e+00
3p64p2,3P,3p64s4p,3P°,1.4510e-08,5.3788e-09,9.1312e-09
3p64s4d,3D,3p64s4p,3P°,8.8984e-08,1.1519e-08,7.7465e-08
3p64s4f,1F°,3p63d4s,1D,5.3191e-08,5.3191e-08,0.0000e+00
3p64s4f,3F°,3p63d4s,3D,1.8397e-06,4.4526e-08,1.7952e-06
3p64s4p,1P°,3p64s2,1S,4.5872e-09,4.5872e-09,0.0000e+00
3p64s4p,3P°,3p64s2,1S,3.8462e-04,3.8462e-04,0.0000e+00
3p64s5d,1D,3p64s4p,1P°,2.5000e-08,2.5000e-08,0.0000e+00
3p64s5d,3D,3p64s4p,3P°,2.2223e-07,2.6816e-08,1.9541e-07
3p64s5f,1F°,3p63d4s,1D,5.2632e-08,5.2632e-08,6.6174e-24
3p64s5f,3F°,3p63d4s,3D,3.1059e-06,7.5666e-08,3.0302e-06
3p64s5p,1P°,3p63d4s,1D,8.3333e-08,8.3334e-08,-7.4450e-13
3p64s5p,1P°,3p64s2,1S,3.7037e-06,3.7037e-06,-3.3089e-11
3p64s5p,3P°,3p63d4s,3D,8.3106e-07,4.4696e-08,7.8636e-07
3p64s5s,3S,3p64s4p,3P°,5.3325e-08,1.1628e-08,4.1697e-08
3p64s6d,1D,3p64s4p,1P°,1.2500e-07,1.2500e-07,0.0000e+00
3p64s6d,3D,3p64s4p,3P°,3.5102e-07,4.1108e-08,3.0991e-07
3p64s6f,1F°,3p63d4s,1D,1.1111e-08,1.1111e-08,0.0000e+00
3p64s6f,3F°,3p63d4s,3D,5.1943e-06,1.3576e-07,5.0585e-06
3p64s6p,1P°,3p63d4s,1D,3.0303e-08,3.0303e-08,-4.7600e-13
3p64s6p,1P°,3p64s2,1S,5.9880e-08,5.9881e-08,-9.4060e-13
3p64s6s,3S,3p64s4p,3P°,1.5286e-07,3.2637e-08,1.2022e-07
3p64snp,w 1P°,3p63d4s,1D,2.4390e-08,2.4391e-08,-5.3803e-13
3p64snp,w 1P°,3p64s2,1S,3.3223e-08,3.3224e-08,-7.3288e-13
