Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
3s23p44d,2[1],3s23p44p,4P°,2.9030e-07,1.1765e-07,1.7265e-07
3s23p44d,2[2],3s23p44p,4P°,5.1232e-07,7.9913e-08,4.3241e-07
3s23p44d,2[3],3s23p44p,4P°,1.0204e-07,1.0204e-07,-2.6470e-23
3s23p44d,2[4],3s23p44p,4D°,2.5641e-07,2.5641e-07,0.0000e+00
3s23p44p,2D°,3s23p44s,2D,1.6164e-07,4.6323e-08,1.1532e-07
3s23p44p,2D°,3s23p44s,4P,5.1587e-07,1.4784e-07,3.6803e-07
3s23p44p,2D°,3s23p44s,2P,9.2543e-07,2.6521e-07,6.6022e-07
3s23p44p,2P°,3s23p44s,2P,1.6413e-06,1.2973e-06,3.4396e-07
3s23p44p,2P°,3s23p44s,4P,1.6445e-06,1.2999e-06,3.4463e-07
3s23p44p,2S°,3s23p44s,2P,5.2632e-07,5.2632e-07,0.0000e+00
3s23p44p,4D°,3s23p44s,4P,1.5343e-07,3.5289e-08,1.1814e-07
3s23p44p,4P°,3s23p44s,4P,1.4717e-07,4.1285e-08,1.0589e-07
3s23p44p,4S°,3s23p44s,4P,1.0291e-07,3.7671e-08,6.5239e-08
3s23p44p,4S°,3s23p44s,2P,2.5641e-07,9.3861e-08,1.6255e-07
3s23p44s,2D,3s23p5,2P°,1.5125e-08,4.0249e-09,1.1100e-08
3s23p44s,2P,3s23p5,2P°,6.1408e-09,2.0182e-09,4.1226e-09
3s23p44s,4P,3s23p5,2P°,1.8284e-06,1.6434e-06,1.8500e-07
3s23p45p,2D°,3s23p44s,4P,3.2150e-06,1.6388e-06,1.5762e-06
3s23p45p,2D°,3s23p44s,2P,3.8839e-06,1.9798e-06,1.9041e-06
3s23p45p,2P°,3s23p44s,2P,4.7313e-07,1.7740e-07,2.9573e-07
3s23p45p,2P°,3s23p44s,4P,3.8158e-06,1.4307e-06,2.3851e-06
3s23p45p,2S°,3s23p44s,2P,9.0909e-07,6.8371e-07,2.2538e-07
3s23p45p,2S°,3s23p44s,4P,2.7851e-06,2.0946e-06,6.9047e-07
3s23p45p,4D°,3s23p44s,4P,2.9493e-06,1.4194e-06,1.5299e-06
3s23p45p,4D°,3s23p44s,2P,2.9982e-06,1.4429e-06,1.5553e-06
3s23p45p,4P°,3s23p44s,2P,2.5641e-06,1.4264e-06,1.1377e-06
3s23p45p,4P°,3s23p44s,4P,5.9657e-06,3.3187e-06,2.6470e-06
3s23p45p,4S°,3s23p44s,4P,1.8350e-06,5.6567e-07,1.2693e-06
3s23p45p,4S°,3s23p44s,2P,5.1316e-06,1.5819e-06,3.5497e-06
3s23p5,2P°,3s23p5,2P°,8.1301e+01,8.1301e+01,0.0000e+00
