Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
3d34s24p,v 3G°,3d54s,b 3F,7.6923e-08,1.9171e-07,-1.1479e-07
3d34s24p,v 3G°,3d54s,a 3I,2.0000e-07,4.9846e-07,-2.9846e-07
3d4,1D°,3d44s2,a 5D,3.4483e-08,3.4483e-08,0.0000e+00
3d4,3D°,3d44s2,a 5D,1.0204e-07,3.1267e-07,-2.1063e-07
3d4,3D°,3d44s2,a 3F,3.7574e-07,1.1513e-06,-7.7559e-07
3d4,3F°,3d44s2,a 3F,1.5625e-07,1.5625e-07,0.0000e+00
3d4,3G°,3d44s2,c 3D,5.0000e-08,1.4484e-07,-9.4845e-08
3d4,3G°,3d54s,a 3I,1.7544e-07,5.0823e-07,-3.3279e-07
3d4,3K°,3d54s,b 1I,1.6129e-08,1.6129e-08,0.0000e+00
3d4,t 3F°,3d54s,d 3F,7.6599e-08,1.0856e-07,-3.1958e-08
3d4,t 3F°,3d44s2,c 3D,1.1364e-07,1.6105e-07,-4.7412e-08
3d4,u 3H°,3d44s2,a 1I,3.2258e-08,8.3436e-08,-5.1178e-08
3d4,u 3H°,3d54s,b 1I,9.0909e-08,2.3514e-07,-1.4423e-07
3d4,u 3P°,3d44s2,c 3D,7.4866e-08,7.4866e-08,0.0000e+00
3d4,v 5P°,3d54s,a 5S,8.3333e-08,9.3351e-08,-1.0018e-08
3d4,v 5P°,3d44s2,a 5D,1.1212e-07,1.2560e-07,-1.3479e-08
3d4,v 5P°,3d54s,a 5P,4.2755e-07,4.7895e-07,-5.1400e-08
3d4,w 3F°,3d44s2,b 3G,1.6477e-07,6.3653e-08,1.0112e-07
3d4,w 3F°,3d54s,a 3D,2.8571e-07,1.1037e-07,1.7534e-07
3d4,w 3I°,3d54s,b 3H,1.3333e-08,1.3333e-08,0.0000e+00
3d4,w 5D°,3d44s2,a 5D,9.2225e-08,1.4570e-07,-5.3479e-08
3d4,w 5D°,3d54s,b 3P,1.1236e-07,1.7752e-07,-6.5155e-08
3d4,w 5D°,3d54s,a 3G,2.3911e-07,3.7777e-07,-1.3866e-07
3d4,w 5D°,3d44s2,a 3P,2.6911e-07,4.2516e-07,-1.5605e-07
3d4,w 5D°,3d44s2,a 3F,5.4897e-07,8.6731e-07,-3.1834e-07
3d4,w 5F°,3d44s2,a 5D,1.2195e-07,2.1503e-07,-9.3080e-08
3d4,w 5F°,3d54s,b 5D,1.8829e-07,3.3200e-07,-1.4371e-07
3d4,w 5F°,3d44s2,a 3H,7.9656e-07,1.4045e-06,-6.0798e-07
3d4,w 5G°,3d54s,a 3D,5.5703e-07,5.5703e-07,0.0000e+00
3d4,x 3D°,3d54s,b 3P,1.7616e-07,1.0923e-07,6.6930e-08
3d4,x 3H°,3d54s,a 3I,1.7500e-07,1.7500e-07,0.0000e+00
3d4,x 3P°,3d54s,b 3P,3.2258e-07,1.6129e-07,1.6129e-07
3d4,x 3S°,3d55s,e 5S,1.2048e-07,1.2048e-07,0.0000e+00
3d4,x 5D°,3d44s2,a 5D,3.5246e-08,1.0277e-08,2.4969e-08
3d4,x 5D°,3d54s,a 5P,1.1429e-06,3.3323e-07,8.0967e-07
3d4,x 5F°,3d44s2,a 5D,9.1194e-08,7.2687e-08,1.8507e-08
3d4,x 5F°,3d54s,a 5G,9.8485e-07,7.8498e-07,1.9987e-07
3d4,x 5F°,3d54s,b 5D,1.1440e-06,9.1183e-07,2.3217e-07
3d4,x 5G°,3d54s,a 5G,8.4163e-08,2.2887e-07,-1.4471e-07
3d4,x 5G°,3d54s,b 5D,4.8568e-07,1.3208e-06,-8.3508e-07
3d4,x 5H°,3d44s2,a 3H,1.4085e-06,1.4085e-06,0.0000e+00
3d4,x 5P°,3d44s2,a 5D,1.7471e-08,1.2790e-08,4.6813e-09
3d4,x 5P°,3d54s,a 5S,2.7934e-08,2.0449e-08,7.4848e-09
3d4,x 5P°,3d54s,a 5G,2.0325e-07,1.4879e-07,5.4460e-08
3d4,x 5P°,3d54s,a 5P,8.7096e-07,6.3759e-07,2.3337e-07
3d4,y 3H°,3d54s,a 3G,3.0595e-07,3.6577e-07,-5.9818e-08
3d4,y 3H°,3d44s2,a 3F,5.8824e-07,7.0325e-07,-1.1501e-07
3d4,y 3H°,3d44s2,b 3G,8.3333e-07,9.9626e-07,-1.6293e-07
3d4,y 3I°,3d54s,a 3I,1.2500e-07,1.2500e-07,0.0000e+00
3d4,y 5D°,3d44s2,a 5D,1.2003e-08,8.5413e-09,3.4617e-09
3d4,y 5D°,3d54s,a 5P,2.8571e-07,2.0331e-07,8.2398e-08
3d4,y 5D°,3d54s,b 5D,1.6751e-06,1.1920e-06,4.8310e-07
3d4,y 5F°,3d44s2,a 5D,1.2803e-08,1.4092e-08,-1.2895e-09
3d4,y 5F°,3d54s,a 5S,2.3256e-08,2.5598e-08,-2.3423e-09
3d4,y 5F°,3d54s,a 5G,1.1143e-07,1.2265e-07,-1.1223e-08
3d4,y 5G°,3d54s,a 5G,1.6223e-07,1.6223e-07,0.0000e+00
3d4,y 5P°,3d54s,a 5S,3.6336e-07,1.1933e-07,2.4403e-07
3d4,y 5P°,3d44s2,a 5D,5.7908e-07,1.9017e-07,3.8891e-07
3d4,y 5P°,3d54s,a 7S,9.2172e-06,3.0270e-06,6.1902e-06
3d4,y 7P°,3d54s,a 7S,6.5321e-09,6.5358e-09,-3.6764e-12
3d4,y 7P°,3d54s,a 5S,5.6308e-06,5.6340e-06,-3.1692e-09
3d4,y 7P°,3d44s2,a 5D,2.5000e-05,2.5014e-05,-1.4071e-08
3d4,z 3G°,3d44s2,a 3H,1.0069e-07,2.4972e-07,-1.4903e-07
3d4,z 3G°,3d44s2,b 3G,1.4925e-07,3.7015e-07,-2.2090e-07
3d4,z 3G°,3d44s2,a 5D,1.6393e-07,4.0656e-07,-2.4263e-07
3d4,z 3G°,3d54s,a 3G,2.6316e-07,6.5265e-07,-3.8949e-07
3d4,z 3G°,3d44s2,a 3F,4.2711e-07,1.0593e-06,-6.3215e-07
3d4,z 3I°,3d44s2,a 3H,1.6393e-07,1.6393e-07,0.0000e+00
3d4,z 3P°,3d44s2,a 5D,2.8882e-07,2.8882e-07,0.0000e+00
3d4,z 3S°,3d44s2,a 3P,5.2632e-07,5.2632e-07,0.0000e+00
3d4,z 5D°,3d44s2,a 5D,2.6333e-07,8.6931e-08,1.7640e-07
3d4,z 5F°,3d44s2,a 5D,1.4408e-06,8.9130e-08,1.3517e-06
3d4,z 5H°,3d54s,a 5G,5.3125e-07,3.8530e-07,1.4595e-07
3d4,z 7D°,3d54s,a 5S,1.2387e-05,3.7025e-05,-2.4638e-05
3d4,z 7D°,3d54s,a 7S,4.3137e-05,1.2894e-04,-8.5800e-05
3d4,z 7D°,3d44s2,a 5D,1.7544e-04,5.2439e-04,-3.4895e-04
3d44s5p,r 5D°,3d44s2,a 5D,7.1429e-09,7.1429e-09,-1.6544e-24
3d44s5p,s 5D°,3d54s,a 5F,2.5641e-08,2.5641e-08,0.0000e+00
3d44s5s,e 3D,3d4,z 3P°,1.0417e-07,1.0417e-07,-2.6470e-23
3d44s5s,e 5H,3d4,z 5H°,2.0408e-08,2.0408e-08,0.0000e+00
3d44s5s,f 5D,3d4,y 5P°,7.6923e-08,2.0716e-07,-1.3023e-07
3d44s5s,f 5D,3d4,z 5D°,1.3020e-07,3.5063e-07,-2.2043e-07
3d44s5s,f 5D,3d4,z 5F°,1.9993e-07,5.3842e-07,-3.3849e-07
3d44s5s,f 7D,3d4,z 7D°,9.2984e-08,3.9835e-08,5.3149e-08
3d44s5s,f 7D,3d4,y 7P°,1.4959e-07,6.4086e-08,8.5504e-08
3d44s5s,f 7D,3d4,z 7F°,1.7985e-07,7.7050e-08,1.0280e-07
3d44s5s,f 7D,3d54p,z 7P°,1.8589e-07,7.9638e-08,1.0625e-07
3d54d,e 5D,3d54p,z 5P°,5.5928e-08,4.1791e-08,1.4137e-08
3d54d,e 7D,3d54p,z 7P°,6.1111e-08,5.0035e-08,1.1076e-08
3d54d,e 7D,3d4,y 7P°,1.9028e-07,1.5579e-07,3.4487e-08
