Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
3d104d,2D,3d104p,2P°,3.2222e-08,1.3333e-08,1.8889e-08
3d104p,2P°,3d104s,2S,7.2180e-09,7.1474e-09,7.0567e-11
3d104p,2P°,3d94s2,2D,1.7576e-06,1.7404e-06,1.7183e-08
3d105d,2D,3d104p,2P°,5.0125e-08,5.0125e-08,0.0000e+00
3d105p,2P°,3d94s2,2D,6.8370e-08,1.0187e-07,-3.3502e-08
3d105p,2P°,3d104s,2S,1.0204e-07,1.5204e-07,-5.0001e-08
3d106s,2S,3d104p,2P°,2.2619e-07,8.7719e-08,1.3847e-07
3d9,2D°,3d94s2,2D,1.2821e-07,1.2821e-07,0.0000e+00
3d9,2F°,3d94s2,2D,2.6596e-07,2.6596e-07,0.0000e+00
3d9,2P°,3d104s,2S,1.0545e-08,1.0624e-08,-7.8852e-11
3d9,2P°,3d94s2,2D,6.4516e-07,6.4998e-07,-4.8243e-09
3d9,4D°,3d104s,2S,2.8163e-07,2.2757e-07,5.4055e-08
3d9,4D°,3d94s2,2D,6.4516e-07,5.2133e-07,1.2383e-07
3d9,4F°,3d94s2,2D,2.6316e-06,1.0017e-05,-7.3851e-06
3d9,4F°,3d104s,2S,1.4286e-05,5.4377e-05,-4.0091e-05
3d9,4P°,3d104s,2S,4.2797e-07,4.2797e-07,5.2940e-23
3d9,°,3d104s,2S,1.8182e-08,1.8182e-08,0.0000e+00
3d94s5s,4D,3d9,4P°,4.0134e-08,5.7105e-08,-1.6971e-08
3d94s5s,4D,3d9,4F°,6.4583e-08,9.1893e-08,-2.7310e-08
3d94s5s,4D,3d9,4D°,9.1743e-08,1.3054e-07,-3.8795e-08
