Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
4f65d6s2,6P,4f76s2,a 8S°,1.5459e-07,1.5459e-07,0.0000e+00
4f65d6s2,8D,4f76s,a 10D°,3.6481e-07,9.1125e-07,-5.4644e-07
4f65d6s2,8D,4f76s2,a 8S°,9.5575e-07,2.3873e-06,-1.4316e-06
4f65d6s2,8F,4f76s2,a 8S°,6.4440e-07,6.4440e-07,0.0000e+00
4f65d6s2,8G,4f76s2,a 8S°,3.5714e-06,3.5714e-06,0.0000e+00
4f65d6s2,8P,4f76s2,a 8S°,2.7967e-08,2.7447e-08,5.1955e-10
4f65d6s2,8P,4f76s,a 10D°,2.4265e-07,2.3814e-07,4.5078e-09
4f65d6s2,8P,4f76s,a 8D°,4.0000e-07,3.9257e-07,7.4310e-09
4f7,y 8P,4f76s2,a 8S°,6.4001e-09,6.4001e-09,8.2718e-25
4f7,z 10P,4f76s2,a 8S°,3.0551e-06,3.0551e-06,4.2352e-22
4f7,z 6P,4f76s2,a 8S°,1.1330e-06,1.1330e-06,0.0000e+00
4f7,z 8P,4f76s2,a 8S°,8.6691e-06,8.6691e-06,0.0000e+00
4f76d,e 10D°,4f7,z 10P,4.4539e-08,1.4356e-08,3.0183e-08
4f76d,e 6D°,4f7,z 6P,2.6385e-08,2.6385e-08,0.0000e+00
4f76p,8P,4f76s2,a 8S°,4.4137e-08,4.4137e-08,0.0000e+00
4f76p,x 8P,4f76s,a 8D°,4.9027e-08,2.9881e-08,1.9146e-08
4f76p,x 8P,4f76s2,a 8S°,4.3403e-07,2.6453e-07,1.6950e-07
4f76p,y 10P,4f76s,a 10D°,5.7292e-08,1.7969e-08,3.9323e-08
4f76p,y 10P,4f76s,a 8D°,3.3892e-07,1.0630e-07,2.3262e-07
4f76p,y 10P,4f76s2,a 8S°,9.6154e-07,3.0157e-07,6.5997e-07
4f76p,y 8D,4f76s,b 8D°,3.5714e-08,1.5911e-07,-1.2339e-07
4f76p,y 8D,4f76s,a 10D°,1.1905e-07,5.3037e-07,-4.1132e-07
4f76p,y 8D,4f76s2,a 8S°,1.2453e-07,5.5478e-07,-4.3025e-07
4f76p,z 10D,4f76s,a 10D°,6.5194e-08,2.1301e-08,4.3893e-08
4f76p,z 10D,4f76s,a 8D°,3.5669e-07,1.1654e-07,2.4015e-07
4f76p,z 10D,4f76s2,a 8S°,1.1784e-06,3.8503e-07,7.9337e-07
4f76p,z 10F,4f76s,a 10D°,1.4221e-07,3.8552e-08,1.0366e-07
4f76p,z 10F,4f76s,a 8D°,4.8964e-07,1.3274e-07,3.5690e-07
4f76p,z 10F,4f76s2,a 8S°,1.0989e-06,2.9790e-07,8.0100e-07
4f76p,z 6D,4f76s2,a 8S°,1.2500e-06,1.2500e-06,0.0000e+00
4f76p,z 8D,4f76s,a 8D°,9.5415e-08,3.8663e-08,5.6752e-08
4f76p,z 8D,4f76s,a 10D°,2.4739e-07,1.0025e-07,1.4714e-07
4f76p,z 8D,4f76s2,a 8S°,6.8535e-07,2.7771e-07,4.0764e-07
4f76p,z 8D,4f76s,b 8D°,8.0219e-07,3.2506e-07,4.7713e-07
4f76p,z 8F,4f76s,a 8D°,9.4029e-08,6.7291e-08,2.6738e-08
4f76p,z 8F,4f76s,a 10D°,1.1057e-07,7.9129e-08,3.1441e-08
4f76p,z 8F,4f76s2,a 8S°,1.5385e-07,1.1010e-07,4.3748e-08
4f76p,z 8F,4f76s,b 8D°,7.1429e-07,5.1118e-07,2.0311e-07
