Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
3d54s24p,v 5P°,3d74s,a 5P,4.5856e-08,1.2646e-08,3.3210e-08
3d54s24p,v 5P°,3d74s,b 3P,4.5250e-07,1.2479e-07,3.2771e-07
3d54s24p,v 5P°,3d64s2,a 3P2,6.4103e-07,1.7678e-07,4.6425e-07
3d54s24p,v 5P°,3d74s,c 3P,8.2645e-07,2.2792e-07,5.9853e-07
3d54s24p,v 5P°,3d74s,a 3D,5.3571e-06,1.4774e-06,3.8797e-06
3d54s24p,y 7P°,3d64s2,a 5D,3.1464e-06,3.9561e-07,2.7508e-06
3d54s24p,y 7P°,3d74s,a 5F,1.1863e-05,1.4916e-06,1.0371e-05
3d54s24p,y 7P°,3d74s,a 5P,4.8197e-05,6.0601e-06,4.2137e-05
3d6,1D°,3d74s,b 3P,2.1277e-07,2.1277e-07,8.7799e-13
3d6,1D°,3d64s2,a 3P2,2.1978e-07,2.1978e-07,9.0692e-13
3d6,1D°,3d64s2,b 3F2,1.2987e-06,1.2987e-06,5.3591e-12
3d6,1D°,3d74s,a 1P,1.8868e-06,1.8868e-06,7.7858e-12
3d6,1D°,3d64s2,b 3D,9.0909e-06,9.0909e-06,3.7513e-11
3d6,1F°,3d74s,a 1G,5.9707e-08,4.4174e-08,1.5533e-08
3d6,1F°,3d74s,a 1D,1.3214e-07,9.7763e-08,3.4377e-08
3d6,1F°,3d64s2,b 3G,1.0330e-06,7.6426e-07,2.6874e-07
3d6,1F°,3d74s,a 3G,1.2131e-06,8.9750e-07,3.1560e-07
3d6,1F°,3d64s2,b 3D,1.4085e-06,1.0421e-06,3.6643e-07
3d6,1H°,3d74s,b 3H,1.0173e-07,7.6528e-08,2.5202e-08
3d6,1H°,3d64s2,a 3H,3.6630e-07,2.7556e-07,9.0744e-08
3d6,1H°,3d74s,a 1H,6.4935e-07,4.8849e-07,1.6086e-07
3d6,1H°,3d8,c 3F,7.7519e-07,5.8315e-07,1.9204e-07
3d6,1H°,3d64s2,b 3G,8.5817e-07,6.4557e-07,2.1260e-07
3d6,3I°,3d64s2,a 3H,1.6856e-08,2.6603e-09,1.4196e-08
3d6,3I°,3d74s,b 3H,8.9120e-08,1.4066e-08,7.5054e-08
3d6,5D°,3d74s,b 3H,1.1364e-07,1.9563e-07,-8.1990e-08
