Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
4s24p4d,1D°,4s24p2,1D,1.0417e-08,1.0417e-08,2.9363e-13
4s24p4d,1D°,4s24p2,3P,2.5000e-08,2.4999e-08,7.0468e-13
4s24p4d,3D°,4s24p2,3P,1.9664e-08,7.5789e-09,1.2085e-08
4s24p4d,3P°,4s24p2,3P,2.7045e-08,1.8231e-08,8.8139e-09
4s24p4d,3P°,4s24p2,1D,3.1250e-07,2.1066e-07,1.0184e-07
4s24p5s,1P°,4s24p2,1D,3.5714e-09,3.3538e-09,2.1762e-10
4s24p5s,1P°,4s24p2,1S,4.7619e-08,4.4717e-08,2.9017e-09
4s24p5s,1P°,4s24p2,3P,1.2433e-07,1.1675e-07,7.5760e-09
4s24p5s,3P°,4s24p2,3P,9.9842e-09,4.0719e-09,5.9123e-09
4s24p5s,3P°,4s24p2,1S,1.0526e-07,4.2929e-08,6.2331e-08
4s24p5s,3P°,4s24p2,1D,1.7853e-07,7.2811e-08,1.0572e-07
