Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
1s2p,1P°,1s2,1S,5.5590e-10,5.5590e-10,4.6673e-16
1s2p,1P°,1s2s,1S,5.0643e-07,5.0643e-07,4.2519e-13
1s2p,1P°,1s2s,3S,6.9348e-01,6.9348e-01,5.8224e-07
1s2p,3P°,1s2s,3S,9.7886e-08,9.7885e-08,9.9346e-13
1s2p,3P°,1s2,1S,1.5319e+00,1.5319e+00,1.5548e-05
1s2p,3P°,1s2s,1S,3.3715e+01,3.3715e+01,3.4218e-04
1s2s,3S,1s2,1S,7.8616e+03,7.8616e+03,9.0949e-13
1s3d,1D,1s2p,1P°,1.5697e-08,1.5695e-08,2.0812e-12
1s3d,1D,1s2p,3P°,1.5659e-04,1.5657e-04,2.0761e-08
1s3d,1D,1s2,1S,7.6982e-04,7.6972e-04,1.0207e-07
1s3d,1D,1s2s,1S,9.7847e-03,9.7834e-03,1.2973e-06
1s3d,1D,1s3p,3P°,4.3159e-01,4.3153e-01,5.7222e-05
1s3d,3D,1s2p,3P°,1.0969e-07,1.4166e-08,9.5524e-08
1s3d,3D,1s2p,1P°,6.6225e-05,8.5527e-06,5.7672e-05
1s3d,3D,1s3p,3P°,6.0045e-04,7.7546e-05,5.2290e-04
1s3p,1P°,1s2,1S,1.7657e-09,1.7657e-09,2.3286e-14
1s3p,1P°,1s2s,1S,7.4783e-08,7.4782e-08,9.8623e-13
1s3p,1P°,1s3s,1S,3.9738e-06,3.9737e-06,5.2406e-11
1s3p,1P°,1s3d,1D,6.5441e-03,6.5440e-03,8.6303e-08
1s3p,1P°,1s2p,1P°,4.2107e-02,4.2106e-02,5.5530e-07
1s3p,3P°,1s2s,3S,1.0555e-07,1.0555e-07,4.1176e-12
1s3p,3P°,1s3s,3S,9.3145e-07,9.3141e-07,3.6337e-11
1s3p,3P°,1s2,1S,8.2645e+00,8.2642e+00,3.2241e-04
1s3s,1S,1s2p,1P°,5.4648e-08,5.4648e-08,0.0000e+00
1s3s,3S,1s2p,3P°,1.6515e-07,3.5903e-08,1.2925e-07
