Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
5d106s6d,1D,5d106s6p,1P°,3.2258e-08,3.2258e-08,0.0000e+00
5d106s6d,3D,5d106s6p,3P°,7.5354e-08,1.3397e-08,6.1957e-08
5d106s6d,3D,5d106s6p,1P°,8.5452e-07,1.5192e-07,7.0260e-07
5d106s6p,1P°,5d106s2,1S,1.3405e-09,1.3405e-09,0.0000e+00
5d106s6p,3P°,5d106s2,1S,1.1905e-07,1.1905e-07,1.3235e-23
5d106s7d,1D,5d106s6p,1P°,1.1905e-07,7.2054e-08,4.6996e-08
5d106s7d,1D,5d106s6p,3P°,2.9798e-07,1.8035e-07,1.1763e-07
5d106s7d,1D,5d106s7p,3P°,3.3333e-07,2.0174e-07,1.3159e-07
5d106s7d,3D,5d106s6p,3P°,5.0544e-08,7.1936e-08,-2.1392e-08
5d106s7d,3D,5d106s7p,3P°,2.2639e-07,3.2220e-07,-9.5815e-08
5d106s7d,3D,5d106s6p,1P°,3.4483e-07,4.9077e-07,-1.4594e-07
5d106s7d,3D,5d96s26p,2[3/2]°,4.3478e-07,6.1879e-07,-1.8401e-07
5d106s7p,1P°,5d106s7s,1S,1.6667e-08,1.6667e-08,-1.2533e-13
5d106s7p,1P°,5d106s7s,3S,2.7027e-07,2.7027e-07,-2.0323e-12
5d106s7p,3P°,5d106s7s,3S,2.3862e-08,2.3862e-08,0.0000e+00
5d106s7s,1S,5d106s6p,1P°,3.6900e-08,3.6900e-08,6.9600e-14
5d106s7s,1S,5d106s6p,3P°,2.5000e-07,2.5000e-07,4.7154e-13
5d106s7s,3S,5d106s6p,3P°,2.8858e-08,8.0085e-09,2.0850e-08
5d106s7s,3S,5d106s6p,1P°,3.1250e-06,8.6723e-07,2.2578e-06
5d106s8d,1D,5d106s7p,3P°,2.3256e-06,2.3256e-06,0.0000e+00
5d106s8d,3D,5d106s6p,3P°,2.7778e-07,7.2715e-07,-4.4937e-07
5d106s8d,3D,5d106s7p,3P°,9.5455e-07,2.4987e-06,-1.5442e-06
5d106s8p,1P°,5d106s7s,1S,1.6667e-06,1.6667e-06,-4.2352e-22
5d106s8p,3P°,5d106s7s,3S,6.2500e-07,6.2500e-07,0.0000e+00
5d106s8s,1S,5d106s6p,1P°,1.7241e-07,1.7242e-07,-6.1469e-12
5d106s8s,1S,5d106s6p,3P°,9.0909e-07,9.0912e-07,-3.2412e-11
5d106s8s,3S,5d106s6p,3P°,9.5718e-08,2.5955e-08,6.9763e-08
5d106s8s,3S,5d106s6p,1P°,3.7453e-05,1.0156e-05,2.7297e-05
5d96s26p,2[3/2]°,5d106s7s,1S,4.1667e-06,2.5635e-06,1.6032e-06
5d96s26p,2[3/2]°,5d106s7s,3S,8.3788e-06,5.1550e-06,3.2238e-06
