Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
5d76s6p,z 4D°,5d76s2,a 4F,3.2468e-08,2.7218e-08,5.2504e-09
5d76s6p,z 4D°,5d86s,a 4P,2.0833e-07,1.7464e-07,3.3689e-08
5d76s6p,z 4D°,5d86s,b 4F,3.2569e-07,2.7302e-07,5.2668e-08
5d76s6p,z 4F°,5d76s2,a 4F,1.1168e-07,1.2897e-07,-1.7291e-08
5d76s6p,z 4F°,5d86s,a 2F,2.9412e-07,3.3966e-07,-4.5537e-08
5d76s6p,z 4F°,5d86s,b 4F,5.2632e-06,6.0781e-06,-8.1487e-07
5d76s6p,z 6D°,5d76s2,a 4F,4.5745e-07,5.8104e-07,-1.2359e-07
5d76s6p,z 6D°,5d86s,b 4F,9.8186e-06,1.2471e-05,-2.6526e-06
5d76s6p,z 6F°,5d76s2,a 4F,2.8890e-07,2.8952e-07,-6.2022e-10
5d76s6p,z 6F°,5d86s,b 4F,7.2914e-07,7.3071e-07,-1.5653e-09
5d76s6p,z 6G°,5d76s2,a 4F,1.4521e-07,1.8713e-07,-4.1921e-08
5d76s6p,z 6G°,5d86s,b 4F,2.1354e-07,2.7519e-07,-6.1647e-08
5d76s6p,z 6G°,5d76s2,a 2G,3.2258e-06,4.1571e-06,-9.3126e-07
