Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
3p63d,2D,3p64p,2P°,1.1439e-07,4.1692e-08,7.2698e-08
3p63d,2D,3p64s,2S,6.4935e-03,2.3667e-03,4.1268e-03
3p64d,2D,3p65p,2P°,8.0026e-07,2.9140e-07,5.0886e-07
3p64d,2D,3p64p,2P°,1.8076e-04,6.5821e-05,1.1494e-04
3p64f,2F°,3p63d,2D,3.6639e-07,6.4238e-08,3.0215e-07
3p64f,2F°,3p64d,2D,6.4259e-05,1.1266e-05,5.2993e-05
3p64p,2P°,3p64s,2S,2.6621e-08,2.6621e-08,0.0000e+00
3p65d,2D,3p64p,2P°,7.5017e-06,2.7648e-06,4.7369e-06
3p65d,2D,3p65p,2P°,3.4323e-05,1.2650e-05,2.1673e-05
3p65f,2F°,3p63d,2D,8.7016e-07,1.5302e-07,7.1714e-07
3p65f,2F°,3p64d,2D,2.8530e-06,5.0172e-07,2.3513e-06
3p65p,2P°,3p65s,2S,2.1955e-07,1.8214e-07,3.7414e-08
3p65p,2P°,3p64s,2S,9.0207e-07,7.4835e-07,1.5372e-07
3p65p,2P°,3p63d,2D,2.4323e-06,2.0178e-06,4.1449e-07
3p65s,2S,3p64p,2P°,9.4491e-08,4.2068e-08,5.2423e-08
3p66d,2D,3p64p,2P°,5.6647e-06,2.0999e-06,3.5648e-06
3p66d,2D,3p65p,2P°,1.9735e-03,7.3158e-04,1.2419e-03
3p66f,2F°,3p63d,2D,1.6537e-06,2.9056e-07,1.3631e-06
3p66f,2F°,3p64d,2D,4.3114e-06,7.5753e-07,3.5539e-06
3p66p,2P°,3p65s,2S,2.3513e-06,1.1350e-06,1.2163e-06
3p66p,2P°,3p64d,2D,4.6604e-06,2.2497e-06,2.4107e-06
3p66p,2P°,3p64s,2S,6.4786e-06,3.1274e-06,3.3512e-06
3p66p,2P°,3p63d,2D,8.8887e-06,4.2908e-06,4.5979e-06
3p66s,2S,3p64p,2P°,3.0089e-07,1.2374e-07,1.7715e-07
3p66s,2S,3p65p,2P°,4.0822e-07,1.6788e-07,2.4034e-07
