Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
4s24p54d,2[1/2]°,4s24p6,1S,9.0090e-08,9.0090e-08,0.0000e+00
4s24p54d,2[3/2]°,4s24p6,1S,7.4642e-09,7.4741e-08,-6.7277e-08
4s24p54d,2[3/2]°,4s24p55p,2[1/2],1.0304e-06,1.0318e-05,-9.2873e-06
4s24p54d,2[3/2]°,4s24p55p,2[3/2],2.1722e-06,2.1751e-05,-1.9579e-05
4s24p54d,2[3/2]°,4s24p55p,2[5/2],3.7705e-06,3.7755e-05,-3.3985e-05
4s24p54d,2[5/2]°,4s24p55p,2[3/2],3.4441e-06,5.9606e-07,2.8480e-06
4s24p54d,2[5/2]°,4s24p55p,2[5/2],3.7492e-06,6.4886e-07,3.1003e-06
4s24p54d,2[5/2]°,4s24p55p,2[1/2],6.8966e-05,1.1936e-05,5.7030e-05
4s24p54d,2[7/2]°,4s24p55p,2[5/2],4.4972e-07,1.1136e-07,3.3836e-07
4s24p55d,2[1/2]°,4s24p6,1S,2.9851e-08,6.2076e-08,-3.2225e-08
4s24p55d,2[1/2]°,4s24p55p,2[1/2],1.4441e-07,3.0030e-07,-1.5589e-07
4s24p55d,2[1/2]°,4s24p55p,2[3/2],3.5974e-07,7.4808e-07,-3.8834e-07
4s24p55d,2[1/2]°,4s24p55p,2[5/2],1.8519e-06,3.8510e-06,-1.9991e-06
4s24p55d,2[3/2]°,4s24p6,1S,6.6225e-09,9.2254e-08,-8.5632e-08
4s24p55d,2[3/2]°,4s24p55p,2[1/2],3.3557e-07,4.6746e-06,-4.3391e-06
4s24p55d,2[3/2]°,4s24p55p,2[3/2],9.4600e-07,1.3178e-05,-1.2232e-05
4s24p55d,2[3/2]°,4s24p55p,2[5/2],3.7313e-06,5.1979e-05,-4.8247e-05
4s24p55d,2[5/2]°,4s24p55p,2[3/2],6.7068e-07,2.9264e-07,3.7804e-07
4s24p55d,2[5/2]°,4s24p55p,2[5/2],5.9721e-06,2.6058e-06,3.3663e-06
4s24p55d,2[5/2]°,4s24p55p,2[1/2],1.2987e-05,5.6666e-06,7.3204e-06
4s24p55d,2[7/2]°,4s24p55p,2[5/2],6.4086e-07,1.3686e-07,5.0400e-07
4s24p55p,2[1/2],4s24p55s,2[3/2]°,3.9177e-06,5.2176e-08,3.8655e-06
4s24p55p,2[1/2],4s24p55s,2[1/2]°,4.7101e-06,6.2729e-08,4.6474e-06
4s24p55p,2[3/2],4s24p55s,2[1/2]°,4.3276e-06,3.8936e-08,4.2887e-06
4s24p55p,2[3/2],4s24p55s,2[3/2]°,1.2198e-05,1.0975e-07,1.2088e-05
4s24p55p,2[5/2],4s24p55s,2[3/2]°,6.1471e-08,3.0019e-08,3.1452e-08
4s24p55p,2[5/2],4s24p55s,2[1/2]°,1.2346e-05,6.0290e-06,6.3170e-06
4s24p55s,2[1/2]°,4s24p6,1S,3.2362e-09,3.2362e-09,0.0000e+00
4s24p55s,2[3/2]°,4s24p6,1S,1.4124e+01,1.4124e+01,1.7764e-15
4s24p56d,2[1/2]°,4s24p6,1S,2.5840e-07,1.5419e-07,1.0421e-07
4s24p56d,2[1/2]°,4s24p55p,2[1/2],5.2558e-07,3.1362e-07,2.1196e-07
4s24p56d,2[1/2]°,4s24p55p,2[3/2],2.8830e-06,1.7203e-06,1.1627e-06
4s24p56d,2[1/2]°,4s24p55p,2[5/2],3.0303e-06,1.8082e-06,1.2221e-06
4s24p56d,2[3/2]°,4s24p6,1S,8.7719e-09,8.1240e-08,-7.2468e-08
4s24p56d,2[3/2]°,4s24p55p,2[1/2],8.8544e-07,8.2004e-06,-7.3150e-06
4s24p56d,2[3/2]°,4s24p55p,2[3/2],9.7444e-07,9.0247e-06,-8.0502e-06
4s24p56d,2[3/2]°,4s24p55p,2[5/2],8.1169e-06,7.5174e-05,-6.7057e-05
4s24p56d,2[5/2]°,4s24p55p,2[3/2],2.8958e-06,5.6261e-07,2.3332e-06
4s24p56d,2[5/2]°,4s24p55p,2[5/2],4.7862e-06,9.2989e-07,3.8563e-06
4s24p56d,2[7/2]°,4s24p55p,2[5/2],6.8452e-07,2.1545e-07,4.6907e-07
4s24p56d,2[7/2]°,4s24p55p,2[3/2],3.7736e-06,1.1877e-06,2.5859e-06
4s24p56p,2[1/2],4s24p55s,2[1/2]°,3.2528e-06,6.9113e-07,2.5617e-06
4s24p56p,2[1/2],4s24p55s,2[3/2]°,7.8788e-05,1.6740e-05,6.2048e-05
4s24p56p,2[3/2],4s24p55s,2[3/2]°,3.1633e-05,1.2443e-06,3.0389e-05
4s24p56p,2[3/2],4s24p55s,2[1/2]°,3.8058e-05,1.4970e-06,3.6561e-05
4s24p56p,2[5/2],4s24p55s,2[3/2]°,1.3438e-06,7.8904e-07,5.5476e-07
4s24p56p,2[5/2],4s24p55s,2[1/2]°,3.2258e-04,1.8941e-04,1.3317e-04
4s24p56s,2[1/2]°,4s24p6,1S,3.8760e-08,4.7059e-08,-8.2986e-09
4s24p56s,2[1/2]°,4s24p55p,2[3/2],1.7648e-07,2.1426e-07,-3.7785e-08
4s24p56s,2[1/2]°,4s24p55p,2[1/2],1.1412e-06,1.3855e-06,-2.4433e-07
4s24p56s,2[3/2]°,4s24p6,1S,2.9240e-09,2.5145e-08,-2.2221e-08
4s24p56s,2[3/2]°,4s24p55p,2[1/2],3.1165e-07,2.6800e-06,-2.3684e-06
4s24p56s,2[3/2]°,4s24p55p,2[5/2],3.3349e-07,2.8678e-06,-2.5344e-06
4s24p56s,2[3/2]°,4s24p55p,2[3/2],1.7421e-06,1.4981e-05,-1.3239e-05
