Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
4f5d6s,2F°,5d6s2,2D,1.0129e-07,5.3045e-08,4.8245e-08
4f5d6s,2F°,5d26s,2F,1.0911e-07,5.7141e-08,5.1969e-08
4f5d6s,2F°,5d26s,2G,1.5385e-07,8.0571e-08,7.3279e-08
4f5d6s,2G°,5d26s,2G,1.1628e-07,8.4373e-08,3.1907e-08
4f5d6s,2G°,5d26s,2F,3.0303e-07,2.1988e-07,8.3150e-08
4f5d6s,2G°,5d26s,4F,8.7294e-06,6.3341e-06,2.3953e-06
4f5d6s,4F°,5d6s2,2D,1.5476e-07,9.4322e-08,6.0438e-08
4f5d6s,4F°,5d26s,2F,1.5873e-07,9.6742e-08,6.1988e-08
4f5d6s,4F°,5d26s,4F,1.7819e-07,1.0860e-07,6.9588e-08
4f5d6s,4F°,5d26s,4P,2.5619e-07,1.5614e-07,1.0005e-07
4f5d6s,4F°,5d3,4F,5.0761e-07,3.0937e-07,1.9824e-07
4f5d6s,4G°,5d26s,4F,9.2132e-08,3.4983e-08,5.7149e-08
4f5d6s,4G°,5d26s,2G,1.7857e-07,6.7803e-08,1.1077e-07
4f5d6s,4G°,5d6s2,2D,4.3668e-07,1.6581e-07,2.7087e-07
4f5d6s,4G°,5d26s,2F,9.7087e-07,3.6864e-07,6.0223e-07
4f5d6s,4P°,5d26s,2D,5.2408e-08,5.0127e-08,2.2806e-09
4f5d6s,4P°,5d6s2,2D,7.1429e-08,6.8321e-08,3.1083e-09
4f5d6s,4P°,5d3,2D2,7.9365e-08,7.5911e-08,3.4536e-09
4f5d6s,4P°,5d26s,2G,8.4034e-08,8.0377e-08,3.6568e-09
4f5d6s,4P°,5d26s,4P,1.5093e-07,1.4436e-07,6.5678e-09
4f5d6s,°,5d26s,2F,6.6105e-08,3.5299e-08,3.0806e-08
4f5d6s,°,5d6s2,2D,6.7461e-08,3.6023e-08,3.1438e-08
4f5d6s,°,5d26s,4P,1.0218e-07,5.4562e-08,4.7618e-08
4f5d6s,°,5d26s,2D,2.3999e-07,1.2815e-07,1.1184e-07
4f5d6s,°,5d26s,4F,5.0854e-07,2.7155e-07,2.3699e-07
4f6s2,2F°,5d6s2,2D,2.0865e-07,1.0240e-07,1.0625e-07
4f6s2,2F°,5d26s,4F,3.4458e-06,1.6910e-06,1.7548e-06
5d26p,2D°,5d26s,2F,2.3932e-07,3.6029e-08,2.0329e-07
5d26p,2D°,5d6s2,2D,3.9090e-07,5.8850e-08,3.3205e-07
5d26p,2D°,5d26s,4F,6.1791e-07,9.3026e-08,5.2488e-07
5d26p,2D°,5d26s,2P,8.9286e-07,1.3442e-07,7.5844e-07
5d26p,2G°,5d3,2G,1.3158e-07,8.1503e-08,5.0077e-08
5d26p,2G°,5d26s,2G,1.7762e-07,1.1002e-07,6.7599e-08
5d26p,2G°,5d26s,2F,2.9941e-07,1.8546e-07,1.1395e-07
5d26p,2G°,5d6s2,2D,3.4380e-07,2.1296e-07,1.3084e-07
5d26p,2G°,5d26s,4F,1.0902e-06,6.7529e-07,4.1491e-07
5d26p,2P°,5d26s,2D,9.2205e-08,3.8777e-08,5.3428e-08
5d26p,2P°,5d26s,2F,1.0989e-07,4.6215e-08,6.3675e-08
5d26p,2P°,5d26s,4P,3.4483e-07,1.4502e-07,1.9981e-07
5d26p,2P°,5d6s2,2D,4.3031e-07,1.8097e-07,2.4934e-07
5d26p,2P°,5d26s,2P,4.5455e-07,1.9116e-07,2.6339e-07
5d26p,4D°,5d26s,4P,8.8960e-08,4.6530e-08,4.2430e-08
5d26p,4D°,5d26s,2P,1.1628e-07,6.0820e-08,5.5460e-08
5d26p,4D°,5d3,4F,2.2797e-07,1.1924e-07,1.0873e-07
5d26p,4D°,5d6s2,2D,3.8323e-07,2.0045e-07,1.8278e-07
5d26p,4D°,5d26s,2F,7.4368e-07,3.8898e-07,3.5470e-07
5d26p,4F°,5d26s,4F,1.0622e-07,3.8156e-08,6.8064e-08
5d26p,4F°,5d6s2,2D,1.8019e-07,6.4726e-08,1.1546e-07
5d26p,4F°,5d26s,2F,3.8100e-07,1.3686e-07,2.4414e-07
5d26p,4F°,5d26s,2G,6.3273e-07,2.2728e-07,4.0545e-07
5d26p,4G°,5d26s,4F,2.9139e-07,6.4197e-08,2.2719e-07
5d26p,4G°,5d6s2,2D,9.5087e-07,2.0949e-07,7.4138e-07
5d26p,4G°,5d26s,2D,1.1084e-06,2.4420e-07,8.6420e-07
5d26p,4G°,5d26s,4P,2.4746e-06,5.4519e-07,1.9294e-06
5d26p,4G°,5d26s,2F,3.8515e-06,8.4854e-07,3.0030e-06
5d26p,4P°,5d26s,4P,6.6550e-08,5.2062e-08,1.4488e-08
5d26p,4P°,5d6s2,2D,8.2491e-08,6.4533e-08,1.7958e-08
5d26p,4P°,5d26s,2D,1.2195e-07,9.5402e-08,2.6548e-08
5d26p,4P°,5d26s,2P,1.2500e-07,9.7788e-08,2.7212e-08
5d26p,4P°,5d26s,2F,2.1060e-07,1.6475e-07,4.5847e-08
5d26p,4S°,5d26s,4P,7.9993e-08,3.1246e-08,4.8747e-08
5d26p,4S°,5d26s,2D,1.6667e-07,6.5102e-08,1.0157e-07
5d26p,4S°,5d6s2,2D,3.0303e-07,1.1837e-07,1.8466e-07
5d26p,4S°,5d26s,4F,4.6083e-07,1.8000e-07,2.8083e-07
5d26p,°,5d26s,2P,1.2500e-07,1.0714e-07,1.7857e-08
5d26p,°,5d3,2G,1.2658e-07,1.0850e-07,1.8083e-08
5d26p,°,5d6s2,2D,1.3035e-07,1.1173e-07,1.8621e-08
5d26p,°,5d26s,2G,1.3987e-07,1.1989e-07,1.9981e-08
5d26p,°,5d26s,2F,1.6269e-07,1.3945e-07,2.3241e-08
5d6s6p,4P°,5d26s,4F,2.7353e-07,1.1350e-07,1.6003e-07
5d6s6p,4P°,5d6s2,2D,6.2754e-07,2.6039e-07,3.6715e-07
5d6s6p,4P°,5d26s,4P,8.0091e-07,3.3233e-07,4.6858e-07
5d6s6p,°,5d26s,4P,6.1350e-08,1.0246e-07,-4.1106e-08
