Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
1s22p,2P°,1s22s,2S,2.7107e-08,2.7107e-08,0.0000e+00
1s23d,2D,1s22p,2P°,3.9866e-08,1.4585e-08,2.5281e-08
1s23d,2D,1s23p,2P°,7.2570e-04,2.6549e-04,4.6021e-04
1s23p,2P°,1s23s,2S,2.6756e-07,2.6756e-07,4.3844e-12
1s23p,2P°,1s22s,2S,9.9800e-07,9.9798e-07,1.6354e-11
1s23s,2S,1s22p,2P°,6.7231e-08,2.9882e-08,3.7349e-08
1s24d,2D,1s22p,2P°,1.1769e-07,4.3067e-08,7.4623e-08
1s24d,2D,1s23p,2P°,4.0284e-07,1.4741e-07,2.5543e-07
1s24d,2D,1s24p,2P°,2.1479e-03,7.8599e-04,1.3619e-03
1s24f,2F°,1s23d,2D,4.1145e-07,7.2301e-08,3.3915e-07
1s24f,2F°,1s24d,2D,8.2471e+01,1.4492e+01,6.7979e+01
1s24p,2P°,1s22s,2S,8.0160e-07,6.7530e-07,1.2630e-07
1s24p,2P°,1s24s,2S,1.2887e-06,1.0857e-06,2.0305e-07
1s24p,2P°,1s23d,2D,7.5277e-06,6.3416e-06,1.1861e-06
1s24p,2P°,1s23s,2S,1.4599e-03,1.2299e-03,2.3002e-04
1s24s,2S,1s22p,2P°,2.1677e-07,9.6347e-08,1.2042e-07
1s24s,2S,1s23p,2P°,3.0205e-07,1.3425e-07,1.6780e-07
