Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
3p2,3P,3s3p,3P°,4.8971e-09,1.8566e-09,3.0405e-09
3p3d,1D°,3s3d,1D,2.4450e-09,2.4450e-09,3.1324e-14
3p3d,1D°,3s4d,1D,1.7794e-07,1.7794e-07,2.2797e-12
3p3d,1D°,3s5d,1D,5.8480e-07,5.8479e-07,7.4921e-12
3p3d,1D°,3s6d,1D,1.3021e-06,1.3021e-06,1.6682e-11
3p3d,3D°,3s3d,3D,1.5206e-08,2.8248e-09,1.2381e-08
3p3d,3D°,3p2,3P,3.3019e-08,6.1339e-09,2.6885e-08
3s3d,1D,3s3p,1P°,7.8740e-08,7.8740e-08,-1.6678e-13
3s3d,1D,2p63s2,1S,6.0976e-04,6.0976e-04,-1.2915e-09
3s3d,1D,3s4s,1S,4.0650e+01,4.0650e+01,-8.6101e-05
3s3d,1D,3s3p,3P°,1.4372e+03,1.4372e+03,-3.0441e-03
3s3d,1D,3s4s,3S,3.2051e+06,3.2051e+06,-6.7888e+00
3s3d,3D,3s4s,3S,4.2918e-01,6.1975e-09,4.2918e-01
3s3d,3D,3s3p,3P°,1.1606e+04,1.6760e-04,1.1606e+04
3s3d,3D,3s3p,1P°,6.2332e+05,9.0010e-03,6.2332e+05
3s3d,3D,3s3d,1D,4.7150e+07,6.8087e-01,4.7150e+07
3s3d,3D,2p63s2,1S,6.9061e+10,9.9727e+02,6.9061e+10
3s3p,1P°,2p63s2,1S,2.0367e-09,2.0367e-09,-4.7273e-22
3s3p,1P°,3s3p,3P°,8.7739e+03,8.7739e+03,-2.0354e-09
3s3p,3P°,2p63s2,1S,6.5847e+02,6.5845e+02,1.9996e-02
3s3p,3P°,3s3p,3P°,1.0194e+11,1.0194e+11,3.0956e+06
3s4d,1D,3s3p,1P°,7.1942e-08,7.1942e-08,9.3198e-14
3s4d,1D,3s4p,1P°,1.8657e-07,1.8657e-07,2.4169e-13
3s4d,3D,3s3p,3P°,1.5544e-07,1.9743e-08,1.3570e-07
3s4d,3D,3s4p,3P°,7.8590e-07,9.9821e-08,6.8608e-07
3s4f,1F°,3s3d,1D,5.9524e-08,5.9524e-08,-2.4275e-14
3s4f,1F°,3s4d,1D,1.3459e-06,1.3459e-06,-5.4889e-13
3s4f,3F°,3s3d,3D,2.4575e-06,5.9960e-08,2.3975e-06
3s4f,3F°,3s4d,3D,1.6107e-03,3.9299e-05,1.5714e-03
3s4p,1P°,2p63s2,1S,1.6340e-08,1.6340e-08,-2.1456e-13
3s4p,1P°,3s4s,1S,1.1351e-07,1.1351e-07,-1.4905e-12
3s4p,1P°,3s3d,1D,7.0922e-07,7.0923e-07,-9.3129e-12
3s4p,1P°,3s3p,3P°,5.3659e+03,5.3660e+03,-7.0461e-02
3s4p,1P°,3s4s,3S,1.6051e+04,1.6051e+04,-2.1077e-01
3s4p,3P°,3s4s,3S,7.4443e-08,7.4442e-08,9.8509e-13
3s4p,3P°,2p63s2,1S,3.7175e-01,3.7175e-01,4.9193e-06
3s4p,3P°,3s3p,3P°,5.4571e+03,5.4570e+03,7.2213e-02
3s4p,3P°,3s3p,1P°,1.5858e+04,1.5858e+04,2.0985e-01
3s4p,3P°,3s3d,1D,1.5510e+09,1.5510e+09,2.0524e+04
3s4s,1S,3s3p,1P°,4.5045e-08,4.5045e-08,-4.1392e-18
3s4s,1S,3s3p,3P°,4.9020e+02,4.9020e+02,-4.5045e-08
3s4s,3S,3s3p,3P°,4.5331e-08,9.8912e-09,3.5440e-08
3s4s,3S,3s3p,1P°,2.7397e+06,5.9780e+05,2.1419e+06
3s5d,1D,3s3p,1P°,4.5662e-08,4.5662e-08,4.1611e-13
3s5d,1D,3s5p,1P°,7.1942e-07,7.1941e-07,6.5559e-12
3s5d,1D,3s4f,1F°,3.0488e-06,3.0488e-06,2.7783e-11
3s5d,1D,3s4p,1P°,3.4364e-05,3.4364e-05,3.1315e-10
3s5d,3D,3s3p,3P°,3.2971e-07,4.2285e-08,2.8743e-07
3s5d,3D,3s4p,3P°,1.6971e-06,2.1765e-07,1.4794e-06
3s5d,3D,3s5p,3P°,4.2058e-06,5.3939e-07,3.6664e-06
3s5d,3D,3s4f,3F°,5.6748e-04,7.2778e-05,4.9470e-04
3s5f,1F°,3s3d,1D,1.2579e-07,1.2578e-07,9.1553e-12
3s5f,1F°,3s4d,1D,1.0650e-06,1.0649e-06,7.7513e-11
3s5f,1F°,3s5d,1D,2.1786e-06,2.1784e-06,1.5856e-10
3s5f,3F°,3s3d,3D,6.1139e-06,1.4912e-07,5.9648e-06
3s5f,3F°,3s4d,3D,1.5823e-05,3.8592e-07,1.5437e-05
3s5f,3F°,3s5d,3D,3.9996e-03,9.7550e-05,3.9020e-03
3s5g,1G,3s4f,1F°,2.2676e-07,2.2676e-07,2.6470e-23
3s5g,3G,3s4f,3F°,3.8354e-05,2.2685e-07,3.8127e-05
3s5p,1P°,2p63s2,1S,6.2500e-08,6.2500e-08,-3.0115e-13
3s5p,1P°,3s5s,1S,5.5249e-07,5.5249e-07,-2.6621e-12
3s5p,1P°,3s4d,1D,1.2821e-06,1.2821e-06,-6.1777e-12
3s5p,1P°,3s4s,1S,1.7065e-06,1.7065e-06,-8.2227e-12
3s5p,1P°,3s3d,1D,2.2124e-06,2.2124e-06,-1.0660e-11
3s5p,3P°,3s5s,3S,4.4577e-07,4.0671e-07,3.9065e-08
3s5p,3P°,3s4s,3S,8.1301e-07,7.4176e-07,7.1248e-08
3s5p,3P°,3s3d,3D,5.3762e-05,4.9051e-05,4.7114e-06
3s5s,1S,3s4p,1P°,1.6393e-07,1.6393e-07,5.6008e-13
3s5s,1S,3s3p,1P°,2.5907e-07,2.5907e-07,8.8513e-13
3s5s,3S,3s3p,3P°,1.6016e-07,3.3437e-08,1.2672e-07
3s5s,3S,3s4p,3P°,5.1101e-07,1.0668e-07,4.0433e-07
