Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
3d5,2F°,3d64s,b 4G,3.6458e-08,1.7857e-08,1.8601e-08
3d5,2I°,3d64s,a 4H,2.3810e-07,2.3809e-07,8.9375e-12
3d5,2I°,3d54s2,a 2I,4.0000e-07,3.9998e-07,1.5015e-11
3d5,2K°,3d64s,a 2H,1.0870e-07,1.0870e-07,1.3235e-23
3d5,4D°,3d64s,b 4P,1.5385e-07,1.5385e-07,0.0000e+00
3d5,4F°,3d64s,b 4G,1.2247e-07,4.1902e-07,-2.9655e-07
3d5,4F°,3d64s,a 2F,6.6667e-07,2.2809e-06,-1.6143e-06
3d5,4G°,3d64s,b 4G,1.2987e-07,2.6647e-07,-1.3660e-07
3d5,4G°,3d64s,a 4H,4.8958e-07,1.0045e-06,-5.1493e-07
3d5,4S°,3d54s5s,e 6S,1.8182e-08,1.8182e-08,0.0000e+00
3d5,6D°,3d54s2,b 4D,1.2658e-06,1.2658e-06,0.0000e+00
3d5,6G°,3d64s,a 4F,1.5152e-07,4.8207e-07,-3.3055e-07
3d5,6G°,3d64s,b 4G,4.7149e-07,1.5001e-06,-1.0286e-06
3d5,t 4G°,3d64s,a 4F,7.6923e-08,7.6923e-08,0.0000e+00
3d5,u 4D°,3d64s,b 4P,1.3199e-06,1.3199e-06,0.0000e+00
3d5,u 4G°,3d64s,a 4F,6.3492e-08,7.3138e-08,-9.6463e-09
3d5,u 4G°,3d64s,a 4H,1.4305e-07,1.6478e-07,-2.1734e-08
3d5,u 4G°,3d64s,b 4G,1.9608e-07,2.2587e-07,-2.9790e-08
3d5,u 4H°,3d64s,a 4H,1.4039e-07,7.9131e-08,6.1259e-08
3d5,u 4H°,3d64s,a 4F,1.4947e-07,8.4249e-08,6.5221e-08
3d5,u 4H°,3d64s,b 4G,6.6667e-07,3.7577e-07,2.9090e-07
3d5,v 4P°,3d54s2,b 4D,3.0955e-07,5.5955e-07,-2.5000e-07
3d5,v 4P°,3d54s2,a 4P,7.2380e-07,1.3083e-06,-5.8455e-07
3d5,v 4P°,3d64s,b 4P,2.9412e-06,5.3165e-06,-2.3753e-06
3d5,v 6P°,3d64s,a 6D,8.1775e-08,1.4519e-08,6.7256e-08
3d5,w 2F°,3d64s,b 4G,3.5606e-07,6.8600e-08,2.8746e-07
3d5,w 2F°,3d64s,a 2F,6.3973e-07,1.2325e-07,5.1648e-07
3d5,w 2F°,3d64s,a 2G,9.0909e-07,1.7515e-07,7.3394e-07
3d5,w 2G°,3d64s,a 2G,1.4286e-07,4.1184e-07,-2.6898e-07
3d5,w 2G°,3d64s,a 4F,4.3478e-07,1.2534e-06,-8.1862e-07
3d5,w 2G°,3d64s,a 2H,1.0000e-06,2.8828e-06,-1.8828e-06
3d5,w 4F°,3d64s,a 4F,6.5211e-07,4.6305e-07,1.8906e-07
3d5,w 4F°,3d64s,a 2H,9.0278e-07,6.4105e-07,2.6173e-07
3d5,w 4H°,3d64s,a 4H,8.7121e-08,2.2924e-07,-1.4212e-07
3d5,w 4H°,3d64s,a 2H,2.5641e-07,6.7469e-07,-4.1828e-07
3d5,w 4H°,3d64s,b 4G,3.5714e-07,9.3975e-07,-5.8261e-07
3d5,x 4D°,3d54s2,b 4D,4.1436e-07,2.0923e-07,2.0513e-07
3d5,x 4D°,3d64s,a 4D,7.3956e-07,3.7345e-07,3.6611e-07
3d5,x 4H°,3d64s,a 4H,2.6488e-07,2.3416e-07,3.0718e-08
3d5,x 4H°,3d64s,b 4G,3.7152e-07,3.2843e-07,4.3085e-08
3d5,x 4H°,3d54s2,a 2I,1.0526e-06,9.3053e-07,1.2207e-07
3d5,x 4H°,3d64s,a 2H,1.6667e-06,1.4734e-06,1.9329e-07
