Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
4d45s5p,t 5F°,4d45s2,a 5D,1.3874e-08,9.7784e-09,4.0956e-09
4d45s5p,t 5F°,4d55s,a 5G,2.0733e-08,1.4613e-08,6.1204e-09
4d45s5p,t 5F°,4d6,c 5D,6.4103e-08,4.5180e-08,1.8923e-08
4d45s5p,u 5F°,4d55s,a 5G,2.4354e-08,1.9103e-08,5.2506e-09
4d45s5p,u 5F°,4d45s2,a 5D,4.4244e-08,3.4705e-08,9.5388e-09
4d45s5p,u 5F°,4d55s,b 5D,4.8835e-08,3.8306e-08,1.0529e-08
4d45s5p,v 3D°,4d55s,a 5G,3.6101e-08,8.7706e-08,-5.1605e-08
4d45s5p,v 3D°,4d45s2,a 5D,5.4530e-08,1.3248e-07,-7.7949e-08
4d45s5p,v 3D°,4d55s,b 5D,6.3925e-08,1.5530e-07,-9.1379e-08
4d45s5p,v 5D°,4d55s,a 5P,2.7778e-08,9.7565e-08,-6.9787e-08
4d45s5p,v 5D°,4d55s,b 5D,4.4444e-08,1.5610e-07,-1.1166e-07
4d45s5p,v 5D°,4d55s,a 3D,5.0782e-08,1.7836e-07,-1.2758e-07
4d45s5p,v 5D°,4d45s2,a 3P,7.1429e-08,2.5088e-07,-1.7945e-07
4d45s5p,v 5D°,4d45s2,a 5D,1.4493e-07,5.0904e-07,-3.6411e-07
4d45s5p,v 5P°,4d45s2,a 5D,5.5299e-08,2.7474e-08,2.7825e-08
4d45s5p,v 5P°,4d55s,a 5S,6.2500e-08,3.1052e-08,3.1448e-08
4d45s5p,w 3G°,4d45s2,a 5D,2.7027e-08,6.0870e-08,-3.3843e-08
4d45s5p,w 3G°,4d45s2,a 3F,8.1967e-08,1.8460e-07,-1.0264e-07
4d45s5p,w 3G°,4d55s,a 3G,1.5905e-07,3.5821e-07,-1.9916e-07
4d45s5p,w 3H°,4d55s,a 1I,5.6818e-08,5.6818e-08,-4.7331e-13
4d45s5p,w 3H°,4d55s,a 3G,2.3810e-07,2.3810e-07,-1.9835e-12
4d45s5p,w 5F°,4d55s,a 5G,2.1886e-08,2.6136e-08,-4.2500e-09
4d45s5p,w 5F°,4d45s2,a 5D,6.6667e-08,7.9613e-08,-1.2946e-08
4d45s5p,w 5F°,4d55s,b 5D,1.6393e-07,1.9576e-07,-3.1833e-08
4d45s5p,w 5F°,4d6,c 5D,2.7337e-07,3.2646e-07,-5.3085e-08
4d45s5p,w 5F°,4d55s,a 5F,3.2375e-07,3.8662e-07,-6.2868e-08
4d45s5p,w 5P°,4d45s2,a 5D,1.0049e-08,6.2927e-09,3.7563e-09
4d45s5p,w 5P°,4d55s,a 5S,1.6949e-08,1.0613e-08,6.3355e-09
4d45s5p,w 5P°,4d55s,a 5P,5.4945e-08,3.4407e-08,2.0538e-08
4d45s5p,x 5G°,4d55s,a 5G,3.0895e-08,6.4604e-09,2.4435e-08
4d45s5p,x 5P°,4d55s,a 5P,3.2895e-07,1.7787e-07,1.5108e-07
4d45s5p,x 5P°,4d55s,a 3D,4.2034e-07,2.2729e-07,1.9305e-07
4d45s5p,x 5P°,4d55s,b 5D,6.2240e-07,3.3655e-07,2.8585e-07
4d45s5p,x 5P°,4d45s2,a 3P,1.2048e-06,6.5146e-07,5.5334e-07
4d45s5p,x 5P°,4d45s2,a 3F,1.2195e-06,6.5941e-07,5.6009e-07
4d45s5p,y 3G°,4d55s,a 5G,4.9261e-08,7.3867e-08,-2.4606e-08
4d45s5p,y 3G°,4d45s2,a 3H,1.4143e-07,2.1207e-07,-7.0644e-08
4d45s5p,y 3G°,4d55s,a 3G,4.3676e-07,6.5492e-07,-2.1816e-07
4d45s5p,y 3G°,4d45s2,b 3G,4.6072e-07,6.9085e-07,-2.3013e-07
4d45s5p,y 3G°,4d55s,b 3F,4.8544e-07,7.2792e-07,-2.4248e-07
4d45s5p,y 3I°,4d55s,a 5G,3.2468e-08,6.3474e-08,-3.1006e-08
4d45s5p,y 3I°,4d55s,a 3I,5.8950e-08,1.1524e-07,-5.6295e-08
4d45s5p,y 3I°,4d55s,a 1I,6.4935e-08,1.2695e-07,-6.2010e-08
4d45s5p,y 5D°,4d55s,a 5G,1.1905e-07,1.6672e-07,-4.7667e-08
4d45s5p,y 5D°,4d55s,a 5P,2.0557e-07,2.8788e-07,-8.2309e-08
4d45s5p,y 5D°,4d45s2,a 5D,2.2316e-07,3.1251e-07,-8.9352e-08
4d45s5p,y 5D°,4d55s,b 5D,5.7255e-07,8.0180e-07,-2.2925e-07
4d45s5p,y 5D°,4d55s,a 3D,1.0882e-06,1.5239e-06,-4.3571e-07
4d45s5p,y 5G°,4d55s,a 5G,1.5873e-08,9.1204e-08,-7.5331e-08
4d45s5p,y 5G°,4d55s,b 5D,3.6754e-07,2.1118e-06,-1.7443e-06
4d45s5p,y 5H°,4d55s,a 5G,6.3833e-08,1.7855e-08,4.5978e-08
4d45s5p,y 5P°,4d45s2,a 5D,6.0938e-07,3.0506e-07,3.0432e-07
4d45s5p,y 5P°,4d55s,a 7S,1.6464e-06,8.2419e-07,8.2221e-07
4d45s5p,y 5P°,4d55s,b 5D,3.0682e-06,1.5359e-06,1.5323e-06
4d45s5p,y 5P°,4d55s,a 5P,3.5418e-06,1.7730e-06,1.7688e-06
4d45s5p,y 7P°,4d55s,a 7S,6.4739e-09,6.4742e-09,-2.6845e-13
4d45s5p,y 7P°,4d45s2,a 5D,2.1286e-05,2.1287e-05,-8.8265e-10
4d45s5p,z 3D°,4d45s2,a 5D,4.9939e-08,7.6738e-08,-2.6799e-08
4d45s5p,z 3D°,4d45s2,a 3P,4.3641e-07,6.7060e-07,-2.3419e-07
4d45s5p,z 3D°,4d55s,a 3D,7.0226e-07,1.0791e-06,-3.7685e-07
4d45s5p,z 3D°,4d55s,b 3D,8.1301e-07,1.2493e-06,-4.3628e-07
4d45s5p,z 3D°,4d55s,a 3G,9.4724e-07,1.4556e-06,-5.0831e-07
4d45s5p,z 3F°,4d45s2,a 5D,6.4341e-08,1.5206e-07,-8.7718e-08
4d45s5p,z 3F°,4d55s,a 5P,2.6316e-07,6.2193e-07,-3.5877e-07
4d45s5p,z 3F°,4d55s,a 5G,3.2377e-07,7.6518e-07,-4.4141e-07
4d45s5p,z 3F°,4d55s,a 3D,3.4636e-07,8.1856e-07,-4.7220e-07
4d45s5p,z 3F°,4d55s,b 3D,9.3458e-07,2.2087e-06,-1.2741e-06
4d45s5p,z 3P°,4d45s2,a 5D,1.6393e-07,1.3452e-07,2.9407e-08
4d45s5p,z 3P°,4d55s,a 3D,7.3232e-07,6.0095e-07,1.3137e-07
4d45s5p,z 3P°,4d55s,b 3F,1.1364e-06,9.3254e-07,2.0386e-07
4d45s5p,z 5D°,4d45s2,a 5D,1.1844e-07,5.5376e-08,6.3064e-08
4d45s5p,z 5D°,4d55s,a 5P,9.8725e-07,4.6159e-07,5.2566e-07
4d45s5p,z 5D°,4d55s,b 5D,1.5865e-06,7.4176e-07,8.4474e-07
4d45s5p,z 5D°,4d55s,a 5F,1.7544e-06,8.2027e-07,9.3413e-07
4d45s5p,z 5D°,4d6,c 5D,3.8760e-06,1.8122e-06,2.0638e-06
4d45s5p,z 5F°,4d45s2,a 5D,2.1461e-07,9.1986e-08,1.2262e-07
4d45s5p,z 5F°,4d55s,a 5G,2.2977e-06,9.8484e-07,1.3129e-06
4d45s5p,z 5F°,4d55s,b 5D,2.7765e-06,1.1901e-06,1.5864e-06
4d45s5p,z 5F°,4d55s,a 5P,5.6647e-06,2.4280e-06,3.2367e-06
4d45s5p,z 5I°,4d55s,a 5G,5.0941e-07,6.4866e-08,4.4454e-07
