Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
2s22p23d,2D,2s22p3,2P°,3.3411e-07,1.0982e-08,3.2313e-07
2s22p23d,2D,2s22p3,2D°,5.5798e-07,1.8340e-08,5.3964e-07
2s22p23d,2D,2s22p23p,2D°,2.0232e-06,6.6499e-08,1.9567e-06
2s22p23d,2D,2s22p3,4S°,3.5271e-06,1.1593e-07,3.4112e-06
2s22p23d,2D,2s22p23p,2F°,3.5345e-06,1.1617e-07,3.4183e-06
2s22p23d,2F,2s22p3,4S°,5.1282e-08,2.4559e-08,2.6723e-08
2s22p23d,2F,2s22p3,2D°,1.0523e-07,5.0395e-08,5.4835e-08
2s22p23d,2F,2s22p23p,2D°,3.5152e-07,1.6834e-07,1.8318e-07
2s22p23d,2F,2s22p23p,4S°,5.8140e-07,2.7843e-07,3.0297e-07
2s22p23d,2F,2s22p3,2P°,8.9286e-07,4.2759e-07,4.6527e-07
2s22p23d,2P,2s22p3,2P°,3.0098e-08,1.2861e-08,1.7237e-08
2s22p23d,2P,2s22p23p,2S°,3.1201e-08,1.3332e-08,1.7869e-08
2s22p23d,2P,2s22p3,2D°,4.8432e-07,2.0695e-07,2.7737e-07
2s22p23d,2P,2s22p23p,2P°,6.0252e-07,2.5745e-07,3.4507e-07
2s22p23d,2P,2s22p23p,2D°,9.8995e-07,4.2300e-07,5.6695e-07
2s22p23d,2S,2s22p3,2P°,1.1450e-08,4.7790e-09,6.6710e-09
2s22p23d,2S,2s22p25p,2P°,3.3260e-07,1.3882e-07,1.9378e-07
2s22p23d,2S,2s22p23p,2P°,4.9702e-07,2.0745e-07,2.8957e-07
2s22p23d,2S,2s22p24p,2P°,1.0865e-06,4.5348e-07,6.3302e-07
2s22p23d,4D,2s22p3,4S°,9.6495e-08,4.7989e-08,4.8506e-08
2s22p23d,4D,2s22p23p,4P°,1.1217e-07,5.5784e-08,5.6386e-08
2s22p23d,4D,2s22p23p,4D°,4.5664e-07,2.2710e-07,2.2954e-07
2s22p23d,4D,2s22p23p,4S°,1.0755e-06,5.3487e-07,5.4063e-07
2s22p23d,4D,2s22p23p,2S°,2.3182e-05,1.1529e-05,1.1653e-05
2s22p23d,4F,2s22p23p,4D°,7.3113e-07,3.4709e-08,6.9642e-07
2s22p23d,4F,2s22p23p,2S°,2.7174e-06,1.2900e-07,2.5884e-06
2s22p23d,4F,2s22p3,2D°,6.6722e-06,3.1675e-07,6.3554e-06
2s22p23d,4F,2s22p3,4S°,3.7198e-05,1.7659e-06,3.5432e-05
2s22p23d,4F,2s22p23p,4P°,2.0652e-04,9.8042e-06,1.9672e-04
2s22p23d,4P,2s22p3,4S°,5.6536e-09,5.1303e-09,5.2327e-10
2s22p23d,4P,2s22p23p,4S°,7.9863e-08,7.2471e-08,7.3917e-09
2s22p23d,4P,2s22p23p,4D°,2.2821e-06,2.0709e-06,2.1122e-07
2s22p23d,4P,2s22p3,2P°,9.8201e-06,8.9112e-06,9.0890e-07
2s22p23d,4P,2s22p23p,2S°,1.1769e-05,1.0680e-05,1.0893e-06
