Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
3d10,1S,3d94s,1D,3.2258e+00,3.2258e+00,2.0562e-05
3d10,1S,3d94s,3D,1.4706e+01,1.4706e+01,9.3741e-05
3d10,1S,3d84s2,1D,3.4483e+03,3.4483e+03,2.1981e-02
3d10,1S,3d84s2,3F,5.5556e+03,5.5556e+03,3.5413e-02
3d8,1D°,3d94s,1D,4.5513e-08,1.9315e-08,2.6198e-08
3d8,1D°,3d94s,3D,3.4809e-07,1.4772e-07,2.0037e-07
3d8,1D°,3d84s2,3F,5.7420e-07,2.4368e-07,3.3052e-07
3d8,1D°,3d84s2,1D,1.7857e-06,7.5780e-07,1.0279e-06
3d8,1D°,3d84s2,3P,2.4012e-05,1.0190e-05,1.3822e-05
3d8,1F°,3d94s,1D,2.0408e-08,1.9927e-08,4.8065e-10
3d8,1F°,3d94s,3D,2.0408e-07,1.9927e-07,4.8065e-09
3d8,1F°,3d84s2,3F,3.7313e-06,3.6434e-06,8.7880e-08
3d8,1F°,3d84s2,1G,5.2632e-06,5.1392e-06,1.2396e-07
3d8,1F°,3d84s2,1D,1.6393e-05,1.6007e-05,3.8609e-07
3d8,1G°,3d94s,3D,1.1494e-07,1.1494e-07,-2.5651e-12
3d8,1G°,3d84s2,3F,4.7619e-07,4.7620e-07,-1.0627e-11
3d8,1P°,3d94s,1D,1.3699e-08,1.3699e-08,-1.3797e-13
3d8,1P°,3d94s,3D,1.2987e-07,1.2987e-07,-1.3080e-12
3d8,3D°,3d94s,3D,7.1258e-08,2.4046e-08,4.7212e-08
3d8,3D°,3d84s2,3F,9.7936e-07,3.3049e-07,6.4887e-07
3d8,3D°,3d94s,1D,2.8711e-06,9.6887e-07,1.9022e-06
3d8,3D°,3d10,1S,6.6667e-06,2.2497e-06,4.4170e-06
3d8,3D°,3d84s2,3P,1.3447e-05,4.5378e-06,8.9092e-06
3d8,3F°,3d94s,3D,5.7710e-08,1.8683e-08,3.9027e-08
3d8,3F°,3d94s,1D,2.2382e-07,7.2461e-08,1.5136e-07
3d8,3F°,3d84s2,3F,3.8498e-06,1.2464e-06,2.6034e-06
3d8,3F°,3d84s2,1D,2.2923e-05,7.4212e-06,1.5502e-05
3d8,3F°,3d84s2,3P,3.2053e-05,1.0377e-05,2.1676e-05
3d8,3G°,3d94s,3D,4.4157e-06,1.9235e-07,4.2233e-06
3d8,3G°,3d84s2,3F,6.0472e-06,2.6342e-07,5.7838e-06
3d8,3G°,3d94s,1D,2.2727e-05,9.9001e-07,2.1737e-05
3d8,3P°,3d94s,3D,4.8097e-08,1.8369e-08,2.9728e-08
3d8,3P°,3d84s2,3F,7.8683e-08,3.0050e-08,4.8633e-08
3d8,3S°,3d94s,3D,4.3478e-08,4.3478e-08,-4.1991e-13
3d8,3S°,3d94s,1D,6.6667e-08,6.6668e-08,-6.4387e-13
3d8,5D°,3d94s,3D,1.3221e-06,2.2801e-03,-2.2788e-03
3d8,5D°,3d84s2,3F,2.7007e-03,4.6577e+00,-4.6550e+00
3d8,5F°,3d94s,1D,5.0866e-07,1.6055e-06,-1.0968e-06
3d8,5F°,3d94s,3D,1.7632e-05,5.5652e-05,-3.8020e-05
3d8,5F°,3d84s2,1D,7.1078e-05,2.2434e-04,-1.5326e-04
3d8,5F°,3d84s2,3F,8.3296e-05,2.6291e-04,-1.7961e-04
3d8,5G°,3d94s,3D,3.0816e-06,2.0463e-06,1.0353e-06
3d8,5G°,3d84s2,3F,1.5864e-04,1.0534e-04,5.3297e-05
3d8,5P°,3d94s,1D,7.1429e-07,6.0692e-07,1.0737e-07
3d8,5P°,3d84s2,3F,1.5847e-06,1.3465e-06,2.3821e-07
3d8,5S°,3d94s,3D,1.7411e-07,3.2051e-08,1.4206e-07
3d8,°,3d94s,3D,1.3333e-08,2.4702e-08,-1.1369e-08
3d8,°,3d84s2,3F,5.4828e-08,1.0158e-07,-4.6751e-08
3d84s2,1D,3d84s2,3F,6.2335e+01,2.9958e+00,5.9339e+01
3d84s2,1D,3d94s,1D,8.3333e+01,4.0050e+00,7.9328e+01
3d84s2,1D,3d94s,3D,7.8416e+02,3.7687e+01,7.4647e+02
