Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
2s22p33d,1D°,2s22p4,1D,8.5470e-09,8.5470e-09,0.0000e+00
2s22p33d,1F°,2s22p4,1D,8.1301e-09,8.1301e-09,0.0000e+00
2s22p33d,1P°,2s22p4,1D,4.9020e-08,4.9020e-08,-1.3235e-23
2s22p33d,3D°,2s22p4,3P,1.4676e-07,1.7997e-08,1.2876e-07
2s22p33d,3D°,2s22p33p,3P,8.9697e-06,1.0999e-06,7.8698e-06
2s22p33d,3D°,2s22p34p,3P,2.2958e-05,2.8152e-06,2.0143e-05
2s22p33d,3D°,2s22p33p,5P,6.0241e-04,7.3871e-05,5.2854e-04
2s22p33d,3P°,2s22p4,3P,8.0178e-08,3.0545e-08,4.9633e-08
2s22p33d,3P°,2s22p33p,3P,1.7852e-06,6.8011e-07,1.1051e-06
2s22p33d,3P°,2s22p34p,3P,4.8372e-06,1.8428e-06,2.9944e-06
2s22p33d,3S°,2s22p4,3P,3.6476e-08,7.9175e-09,2.8559e-08
2s22p33d,3S°,2s22p33p,3P,3.1702e-06,6.8812e-07,2.4821e-06
2s22p33d,3S°,2s22p34p,3P,5.6397e-06,1.2242e-06,4.4155e-06
2s22p33d,5D°,2s22p33p,5P,7.8381e-08,2.2456e-08,5.5925e-08
2s22p33d,5D°,2s22p33p,3P,1.7513e-03,5.0174e-04,1.2496e-03
2s22p33p,1D,2s22p33s,1D°,3.1665e-07,3.1665e-07,0.0000e+00
2s22p33p,1F,2s22p33s,1D°,3.4130e-08,3.4130e-08,0.0000e+00
2s22p33p,1P,2s22p33s,1D°,2.2884e-07,2.2884e-07,2.6470e-23
2s22p33p,3D,2s22p33s,3D°,2.9288e-06,7.9393e-07,2.1349e-06
2s22p33p,3D,2s22p34d,3D°,2.0521e-05,5.5628e-06,1.4958e-05
2s22p33p,3D,2s22p33d,3D°,1.7767e-04,4.8162e-05,1.2951e-04
2s22p33p,3P,2s22p33s,3S°,3.1056e-08,3.1056e-08,1.9636e-13
2s22p33p,3P,2s22p33s,5S°,1.2001e-03,1.2001e-03,7.5881e-09
2s22p33p,5P,2s22p33s,5S°,2.7100e-08,2.7100e-08,-1.8720e-13
2s22p33p,5P,2s22p33s,3S°,3.9231e-03,3.9231e-03,-2.7100e-08
2s22p33s,1D°,2s22p4,1D,1.8939e-09,1.8936e-09,2.6752e-13
2s22p33s,1D°,2s22p4,3P,2.7068e-05,2.7064e-05,3.8234e-09
2s22p33s,1P°,2s22p4,1D,1.9763e-09,1.9763e-09,6.7094e-15
2s22p33s,1P°,2s22p4,1S,4.8544e-09,4.8544e-09,1.6480e-14
2s22p33s,3D°,2s22p4,3P,3.3471e-08,4.4268e-09,2.9044e-08
2s22p33s,3D°,2s22p4,1S,1.1050e-04,1.4614e-05,9.5886e-05
2s22p33s,3D°,2s22p33p,3P,1.2390e-04,1.6387e-05,1.0751e-04
2s22p33s,3D°,2s22p4,1D,9.5926e-04,1.2687e-04,8.3239e-04
2s22p33s,3P°,2s22p4,3P,3.8533e-09,1.4677e-09,2.3856e-09
2s22p33s,3P°,2s22p33p,3P,8.4756e-06,3.2284e-06,5.2472e-06
2s22p33s,3P°,2s22p34p,3P,8.1565e-05,3.1068e-05,5.0497e-05
2s22p33s,3S°,2s22p4,3P,7.5505e-09,1.6351e-09,5.9154e-09
2s22p33s,3S°,2s22p4,1D,5.4645e-04,1.1834e-04,4.2811e-04
2s22p33s,3S°,2s22p4,1S,2.1692e-01,4.6976e-02,1.6994e-01
2s22p33s,5S°,2s22p4,3P,4.8669e-04,1.7986e-04,3.0683e-04
2s22p33s,5S°,2s22p4,1D,1.8797e+02,6.9466e+01,1.1850e+02
2s22p34d,1D°,2s22p4,1D,1.4970e-08,1.4970e-08,0.0000e+00
2s22p34d,1F°,2s22p4,1D,1.4184e-08,1.4184e-08,1.6544e-24
2s22p34d,1P°,2s22p4,1D,5.8824e-08,5.8824e-08,-1.3235e-23
2s22p34d,3D°,2s22p4,3P,3.1270e-07,4.1533e-08,2.7117e-07
2s22p34d,3D°,2s22p33p,3P,6.4961e-06,8.6282e-07,5.6333e-06
2s22p34d,3D°,2s22p34p,3P,3.1269e-05,4.1532e-06,2.7116e-05
2s22p34d,3D°,2s22p33p,5P,1.0395e-03,1.3807e-04,9.0143e-04
2s22p34d,3D°,2s22p34p,5P,6.0074e-03,7.9791e-04,5.2095e-03
2s22p34d,3P°,2s22p4,3P,1.2392e-08,4.7274e-09,7.6646e-09
2s22p34d,3P°,2s22p33p,3P,8.8064e-06,3.3596e-06,5.4468e-06
2s22p34d,3P°,2s22p34p,3P,1.8363e-05,7.0053e-06,1.1358e-05
2s22p34d,3S°,2s22p4,3P,9.9669e-08,2.1589e-08,7.8080e-08
2s22p34d,3S°,2s22p33p,3P,4.1470e-06,8.9827e-07,3.2487e-06
2s22p34d,3S°,2s22p34p,3P,7.0687e-06,1.5311e-06,5.5376e-06
2s22p34d,5D°,2s22p33p,5P,4.5812e-07,1.3117e-07,3.2695e-07
2s22p34d,5D°,2s22p34p,5P,5.4168e-07,1.5510e-07,3.8658e-07
2s22p34d,5D°,2s22p34p,3P,1.5491e-02,4.4355e-03,1.1056e-02
2s22p34f,3F,2s22p33d,3D°,2.7836e-06,6.7867e-08,2.7157e-06
2s22p34f,3F,2s22p33s,3D°,2.5903e-03,6.3154e-05,2.5271e-03
2s22p34f,3F,2s22p34d,3D°,8.7561e-01,2.1348e-02,8.5426e-01
2s22p34f,5F,2s22p33d,5D°,7.4223e-07,6.7698e-08,6.7453e-07
2s22p34f,5F,2s22p34d,5D°,4.5677e-02,4.1662e-03,4.1511e-02
2s22p34p,3P,2s22p34s,3S°,2.4390e-07,2.0493e-07,3.8971e-08
2s22p34p,3P,2s22p33s,3S°,1.3198e-06,1.1089e-06,2.1088e-07
2s22p34p,3P,2s22p33d,3D°,1.9303e-05,1.6219e-05,3.0843e-06
2s22p34p,5P,2s22p34s,5S°,2.3292e-07,2.1393e-07,1.8987e-08
2s22p34p,5P,2s22p33s,5S°,2.0464e-06,1.8796e-06,1.6682e-07
2s22p34p,5P,2s22p33d,5D°,1.5012e-05,1.3788e-05,1.2237e-06
2s22p34p,5P,2s22p34s,3S°,1.8658e-02,1.7137e-02,1.5209e-03
2s22p34p,5P,2s22p33d,3D°,5.8480e-02,5.3713e-02,4.7671e-03
2s22p34s,1D°,2s22p4,1D,7.5188e-09,7.5188e-09,0.0000e+00
2s22p34s,3D°,2s22p4,3P,1.3216e-07,1.7033e-08,1.1513e-07
2s22p34s,3S°,2s22p4,3P,2.7175e-08,5.9006e-09,2.1274e-08
2s22p34s,3S°,2s22p33p,3P,2.1475e-07,4.6629e-08,1.6812e-07
2s22p34s,5S°,2s22p33p,5P,1.2654e-07,3.7397e-08,8.9143e-08
2s22p4,1D,2s22p4,3P,3.8784e+05,1.3377e+02,3.8771e+05
2s22p4,1S,2s22p4,1D,7.9365e-01,7.4899e-01,4.4663e-02
2s22p4,1S,2s22p4,3P,2.0727e+03,1.9561e+03,1.1664e+02
2s22p4,3P,2s22p4,3P,2.4876e+09,3.4183e+04,2.4876e+09
2s2p5,3P°,2s22p4,3P,3.9899e-09,1.5190e-09,2.4709e-09
