Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
3s23p24d,2P,3s23p24p,2S°,1.1824e-07,1.1824e-07,-2.6470e-23
3s23p24p,2P°,3s23p24s,2P,1.1147e-07,3.8619e-08,7.2851e-08
3s23p24p,4D°,3s23p24s,4P,2.3750e-07,4.8173e-08,1.8933e-07
3s23p24p,4P°,3s23p24s,4P,1.3132e-07,3.8470e-08,9.2850e-08
3s23p24p,4S°,3s23p24s,4P,1.2520e-07,3.4965e-08,9.0235e-08
3s23p24s,2D,3s23p3,2D°,2.3769e-08,5.0774e-09,1.8692e-08
3s23p24s,2D,3s23p3,2P°,3.1888e-08,6.8118e-09,2.5076e-08
3s23p24s,2D,3s23p3,4S°,7.2339e-05,1.5453e-05,5.6886e-05
3s23p24s,2P,3s23p3,2D°,1.8024e-08,3.9865e-09,1.4038e-08
3s23p24s,2P,3s23p3,2P°,2.6986e-08,5.9686e-09,2.1017e-08
3s23p24s,2P,3s23p3,4S°,5.2564e-06,1.1626e-06,4.0938e-06
3s23p24s,4P,3s23p3,4S°,4.6587e-09,4.6484e-09,1.0276e-11
3s23p24s,4P,3s23p3,2D°,4.1671e-05,4.1579e-05,9.1916e-08
3s23p24s,4P,3s23p3,2P°,4.8970e-03,4.8862e-03,1.0802e-05
3s23p25d,2P,3s23p24p,2S°,2.1111e-07,2.1111e-07,0.0000e+00
3s23p25d,4D,3s23p24p,4P°,1.6702e-06,4.2999e-07,1.2402e-06
3s23p25d,4D,3s23p24p,4D°,6.3009e-06,1.6221e-06,4.6788e-06
3s23p25d,4F,3s23p24p,4D°,2.8096e-06,1.9257e-07,2.6170e-06
3s23p25p,2D°,3s23p24s,2P,6.5125e-07,1.9983e-07,4.5142e-07
3s23p25p,2P°,3s23p24s,2P,3.3661e-07,1.1564e-07,2.2097e-07
3s23p25p,4D°,3s23p24s,4P,4.3161e-06,6.7748e-07,3.6386e-06
3s23p25p,4P°,3s23p24s,4P,9.1516e-07,2.6030e-07,6.5486e-07
3s23p25p,4S°,3s23p24s,4P,5.8464e-07,1.6667e-07,4.1797e-07
3s23p3,2D°,3s23p3,4S°,4.1948e+03,4.1950e+03,-2.2137e-01
3s23p3,2D°,3s23p3,2D°,2.4390e+07,2.4391e+07,-1.2871e+03
3s23p3,2P°,3s23p3,2D°,1.2753e+01,7.5324e+00,5.2206e+00
3s23p3,2P°,3s23p3,4S°,1.6365e+01,9.6658e+00,6.6992e+00
3s23p3,2P°,3s23p3,2P°,6.8966e+06,4.0734e+06,2.8232e+06
3s3p4,4P,3s23p3,4S°,2.5427e-08,2.5427e-08,-6.6174e-24
