Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
4d85p,z 2D°,4d9,a 2D,4.3759e-08,1.7856e-08,2.5903e-08
4d85p,z 2D°,4d85s,a 2F,4.7798e-08,1.9504e-08,2.8294e-08
4d85p,z 2D°,4d85s,a 4F,1.2600e-07,5.1414e-08,7.4586e-08
4d85p,z 2D°,4d85s,a 4P,8.9483e-07,3.6513e-07,5.2970e-07
4d85p,z 2D°,4d85s,a 2P,9.6296e-07,3.9293e-07,5.7003e-07
4d85p,z 2F°,4d85s,a 2F,3.7048e-08,1.0836e-08,2.6212e-08
4d85p,z 2F°,4d85s,a 4F,1.5931e-07,4.6596e-08,1.1271e-07
4d85p,z 2F°,4d9,a 2D,5.8348e-07,1.7066e-07,4.1282e-07
4d85p,z 2F°,4d75s2,b 4F,9.0909e-07,2.6590e-07,6.4319e-07
4d85p,z 2F°,4d85s,a 2P,2.0000e-06,5.8498e-07,1.4150e-06
4d85p,z 2G°,4d85s,a 4F,1.9300e-08,1.1959e-08,7.3407e-09
4d85p,z 2G°,4d85s,a 2F,6.7378e-08,4.1751e-08,2.5627e-08
4d85p,z 2G°,4d85s,a 4P,2.6316e-07,1.6307e-07,1.0009e-07
4d85p,z 2G°,4d75s2,b 4F,2.7027e-06,1.6747e-06,1.0280e-06
4d85p,z 2G°,4d85s,b 2D,3.2258e-06,1.9989e-06,1.2269e-06
4d85p,z 4D°,4d9,a 2D,9.6125e-08,1.3652e-08,8.2473e-08
4d85p,z 4D°,4d85s,a 4F,6.1930e-07,8.7953e-08,5.3135e-07
4d85p,z 4D°,4d85s,a 4P,1.2978e-06,1.8431e-07,1.1135e-06
4d85p,z 4D°,4d85s,a 2P,1.8475e-06,2.6238e-07,1.5851e-06
4d85p,z 4D°,4d75s2,b 4F,2.5000e-06,3.5505e-07,2.1450e-06
4d85p,z 4F°,4d85s,a 4F,7.1966e-08,1.4308e-08,5.7658e-08
4d85p,z 4F°,4d85s,a 2F,2.4304e-07,4.8321e-08,1.9472e-07
4d85p,z 4F°,4d75s2,b 4F,4.7619e-07,9.4676e-08,3.8151e-07
4d85p,z 4F°,4d9,a 2D,7.6879e-07,1.5285e-07,6.1594e-07
4d85p,z 4F°,4d85s,a 4P,2.9074e-06,5.7805e-07,2.3293e-06
4d85p,z 4G°,4d9,a 2D,1.6949e-08,1.7446e-08,-4.9699e-10
4d85p,z 4G°,4d85s,a 4F,2.1559e-08,2.2191e-08,-6.3217e-10
4d85p,z 4G°,4d85s,a 2F,9.6201e-08,9.9022e-08,-2.8209e-09
4d85p,z 4G°,4d85s,a 4P,9.7087e-07,9.9934e-07,-2.8469e-08
4d85p,z 4G°,4d85s,b 2D,2.0000e-06,2.0586e-06,-5.8646e-08
4d85p,z 4P°,4d85s,a 4P,1.2264e-07,2.2767e-08,9.9873e-08
4d85p,z 4P°,4d85s,a 4F,3.0303e-07,5.6256e-08,2.4677e-07
4d85p,z 4P°,4d9,a 2D,3.6592e-07,6.7931e-08,2.9799e-07
4d85p,z 4P°,4d85s,a 2P,7.9348e-07,1.4730e-07,6.4618e-07
4d85p,z 4P°,4d85s,a 2F,1.0595e-06,1.9669e-07,8.6281e-07
