Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
3s23p33d,1P°,3s23p4,1S,1.4493e-08,1.4493e-08,0.0000e+00
3s23p33d,3D°,3s23p4,3P,2.0538e-08,2.6951e-09,1.7843e-08
3s23p33d,3D°,3s23p34p,3P,1.0345e-06,1.3575e-07,8.9875e-07
3s23p33d,3D°,3s23p4,1D,1.3928e-06,1.8277e-07,1.2100e-06
3s23p33d,5D°,3s23p4,3P,2.2892e-07,2.4851e-07,-1.9586e-08
3s23p33d,5D°,3s23p34p,5P,9.4534e-07,1.0262e-06,-8.0881e-08
3s23p34d,3D°,3s23p4,3P,9.1787e-08,1.2441e-08,7.9346e-08
3s23p34d,3D°,3s23p34p,3P,3.5497e-06,4.8115e-07,3.0686e-06
3s23p34d,3D°,3s23p35p,3P,7.1576e-06,9.7018e-07,6.1874e-06
3s23p34d,3D°,3s23p4,1D,6.6007e-05,8.9470e-06,5.7060e-05
3s23p34d,5D°,3s23p34p,5P,3.1688e-07,9.0918e-08,2.2596e-07
3s23p34d,5D°,3s23p35p,5P,1.4432e-05,4.1408e-06,1.0291e-05
3s23p34f,3F,3s23p33d,3D°,2.5434e-06,6.2599e-08,2.4808e-06
3s23p34f,3F,3s23p34d,3D°,5.1705e-04,1.2726e-05,5.0432e-04
3s23p34f,5F,3s23p33d,5D°,6.8833e-07,6.3408e-08,6.2492e-07
3s23p34f,5F,3s23p34d,5D°,1.0237e-05,9.4302e-07,9.2940e-06
3s23p34p,1F,3s23p34s,1D°,4.8309e-08,4.8309e-08,6.6174e-24
3s23p34p,1P,3s23p34s,1D°,7.6336e-08,7.6336e-08,0.0000e+00
3s23p34p,3D,3s23p34s,3D°,3.0996e-07,4.6839e-08,2.6312e-07
3s23p34p,3F,3s23p34s,3D°,9.1220e-06,4.1671e-08,9.0803e-06
3s23p34p,3P,3s23p34s,3S°,3.5615e-07,7.5658e-08,2.8049e-07
3s23p34p,3P,3s23p34s,3D°,1.3593e-06,2.8876e-07,1.0705e-06
3s23p34p,3P,3s23p35s,3S°,2.6853e-06,5.7045e-07,2.1149e-06
3s23p34p,3P,3s23p36s,3S°,7.6064e-06,1.6158e-06,5.9906e-06
3s23p34p,3P,3s23p37s,3S°,2.1617e-04,4.5922e-05,1.7025e-04
3s23p34p,5P,3s23p34s,5S°,3.6015e-08,3.6015e-08,0.0000e+00
3s23p34s,1D°,3s23p4,1D,2.1834e-09,2.1834e-09,2.2404e-14
3s23p34s,1D°,3s23p4,3P,3.8610e-07,3.8610e-07,3.9618e-12
3s23p34s,1P°,3s23p4,1D,2.0000e-09,2.0000e-09,-2.8348e-14
3s23p34s,1P°,3s23p4,1S,8.6207e-09,8.6208e-09,-1.2219e-13
3s23p34s,3D°,3s23p4,3P,4.0003e-08,5.2073e-09,3.4796e-08
3s23p34s,3D°,3s23p4,1D,5.0731e-06,6.6038e-07,4.4127e-06
3s23p34s,3P°,3s23p4,3P,5.2969e-09,2.1024e-09,3.1945e-09
3s23p34s,3P°,3s23p4,1D,4.0161e-07,1.5940e-07,2.4221e-07
3s23p34s,3S°,3s23p4,3P,8.8789e-09,1.8038e-09,7.0751e-09
3s23p34s,5S°,3s23p4,3P,3.0417e-05,1.0834e-05,1.9583e-05
3s23p35d,3D°,3s23p4,3P,2.8801e-07,3.9583e-08,2.4843e-07
3s23p35d,3D°,3s23p36p,3P,2.7303e-05,3.7524e-06,2.3551e-05
3s23p35d,3D°,3s23p35p,3P,3.3638e-05,4.6231e-06,2.9015e-05
3s23p35d,3D°,3s23p4,1D,2.1126e-04,2.9035e-05,1.8223e-04
3s23p35d,3D°,3s23p34f,3F,3.6677e-04,5.0407e-05,3.1636e-04
3s23p35d,5D°,3s23p34p,5P,5.7912e-07,1.3448e-07,4.4464e-07
3s23p35d,5D°,3s23p35p,5P,2.8290e-06,6.5693e-07,2.1721e-06
3s23p35d,5D°,3s23p34f,5F,7.9982e-05,1.8573e-05,6.1409e-05
3s23p35d,5D°,3s23p36p,5P,9.2360e-05,2.1447e-05,7.0913e-05
3s23p35f,3F,3s23p33d,3D°,6.3799e-06,1.5706e-07,6.2228e-06
3s23p35f,3F,3s23p34d,3D°,1.8367e-05,4.5216e-07,1.7915e-05
3s23p35f,3F,3s23p35d,3D°,5.5904e-04,1.3762e-05,5.4528e-04
3s23p35f,5F,3s23p33d,5D°,1.3253e-06,1.2271e-07,1.2026e-06
3s23p35f,5F,3s23p35d,5D°,2.9558e-05,2.7367e-06,2.6821e-05
3s23p35p,3P,3s23p35s,3S°,3.3937e-07,2.0892e-07,1.3045e-07
3s23p35p,3P,3s23p34s,3S°,2.3348e-06,1.4373e-06,8.9750e-07
3s23p35p,3P,3s23p33d,3D°,8.1441e-06,5.0135e-06,3.1306e-06
3s23p35p,5P,3s23p35s,5S°,2.7676e-07,2.7675e-07,1.0291e-11
3s23p35p,5P,3s23p34s,5S°,1.2239e-06,1.2239e-06,4.5510e-11
