Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
3d24p,2D°,3d24s,2D,9.6256e-08,3.5258e-08,6.0998e-08
3d24p,2D°,3d24s,2F,2.3756e-07,8.7016e-08,1.5054e-07
3d24p,2D°,3d4s2,2D,3.6552e-07,1.3389e-07,2.3163e-07
3d24p,2D°,3d24s,4P,4.6484e-07,1.7027e-07,2.9457e-07
3d24p,2F°,3d24s,2D,2.6190e-07,6.9029e-07,-4.2839e-07
3d24p,2F°,3d24s,2F,5.1300e-07,1.3521e-06,-8.3912e-07
3d24p,2F°,3d4s2,2D,5.1437e-07,1.3557e-06,-8.4136e-07
3d24p,2G°,3d24s,2F,4.6059e-07,2.9554e-08,4.3104e-07
3d24p,2G°,3d4s2,2D,1.8832e-06,1.2084e-07,1.7624e-06
3d24p,2G°,3d24s,2G,3.0253e-06,1.9412e-07,2.8312e-06
3d24p,2P°,3d24s,2D,2.2841e-08,1.6857e-08,5.9836e-09
3d24p,2P°,3d4s2,2D,3.3515e-07,2.4735e-07,8.7799e-08
3d24p,2P°,3d24s,4P,8.3333e-07,6.1502e-07,2.1831e-07
3d24p,2P°,3d24s,2F,9.0909e-07,6.7094e-07,2.3815e-07
3d24p,4D°,3d24s,4F,3.1680e-07,2.0704e-07,1.0976e-07
3d24p,4D°,3d4s2,2D,1.0406e-06,6.8007e-07,3.6053e-07
3d24p,4F°,3d24s,4F,6.1161e-08,1.2045e-08,4.9116e-08
3d24p,4G°,3d24s,4F,1.2861e-06,1.8893e-08,1.2672e-06
3d24p,4G°,3d24s,2F,1.3986e-04,2.0546e-06,1.3781e-04
3d24s,2P,3d4s4p,4D°,7.0325e-05,2.9723e-05,4.0602e-05
3d24s,2P,3d4s4p,2D°,9.1414e-05,3.8637e-05,5.2777e-05
3d24s,2P,3d4s4p,4F°,5.0646e-04,2.1406e-04,2.9240e-04
3d24s,2S,4s24p,2P°,7.7103e-06,2.5783e-06,5.1320e-06
3d24s,2S,3d4s4p,4P°,3.7453e-05,1.2524e-05,2.4929e-05
3d25p,2D°,3d4s2,2D,1.3750e-07,4.6552e-08,9.0948e-08
3d3,4F,3d4s4p,4F°,4.4545e-07,1.6270e-07,2.8275e-07
3d3,4F,3d4s4p,4D°,7.2531e-07,2.6492e-07,4.6039e-07
3d3,4F,3d4s4p,2D°,7.6101e-07,2.7796e-07,4.8305e-07
3d4s4d,4D,3d4s4p,4P°,5.1744e-08,2.1898e-08,2.9846e-08
3d4s4d,4D,3d4s4p,4D°,5.3159e-08,2.2497e-08,3.0662e-08
3d4s4d,4D,3d4s4p,4F°,8.0313e-08,3.3989e-08,4.6324e-08
3d4s4d,4D,3d4s4p,2D°,1.5248e-07,6.4531e-08,8.7949e-08
3d4s4d,4F,3d4s4p,4D°,6.8869e-08,2.2446e-08,4.6423e-08
3d4s4d,4F,3d4s4p,2D°,7.4314e-08,2.4221e-08,5.0093e-08
3d4s4d,4F,3d4s4p,4F°,2.1563e-07,7.0280e-08,1.4535e-07
3d4s4d,4G,3d4s4p,4F°,3.2522e-08,8.8971e-09,2.3625e-08
3d4s4d,4G,3d4s4p,2D°,1.1905e-07,3.2569e-08,8.6481e-08
3d4s4p,2D°,3d4s2,2D,2.1010e-06,2.5533e-07,1.8457e-06
3d4s4p,2D°,3d24s,4F,1.1231e-04,1.3649e-05,9.8661e-05
3d4s4p,2F°,3d4s2,2D,1.1998e-06,4.7944e-07,7.2036e-07
3d4s4p,2P°,3d4s2,2D,1.9411e-08,1.6360e-08,3.0510e-09
3d4s4p,4D°,3d24s,4F,1.3874e-04,2.8219e-06,1.3592e-04
3d4s4p,4D°,3d4s2,2D,6.9261e-04,1.4088e-05,6.7852e-04
3d4s4p,4F°,3d24s,4F,1.2469e-04,1.3094e-05,1.1160e-04
3d4s4p,4F°,3d4s2,2D,2.6833e-04,2.8178e-05,2.4015e-04
3d4s5p,2D°,3d4s2,2D,1.4237e-07,3.4976e-08,1.0739e-07
3d4s5p,2F°,3d4s2,2D,2.4758e-07,2.4758e-07,0.0000e+00
3d4s5p,2P°,3d4s2,2D,2.3903e-07,1.3091e-07,1.0812e-07
3d4s5s,4D,3d4s4p,4D°,1.1583e-07,2.3851e-08,9.1979e-08
3d4s5s,4D,3d4s4p,4P°,1.5637e-07,3.2199e-08,1.2417e-07
3d4s5s,4D,3d4s4p,4F°,4.4254e-07,9.1125e-08,3.5141e-07
3d4s5s,4D,3d4s4p,2D°,5.6020e-07,1.1535e-07,4.4485e-07
4s24p,2P°,3d4s2,2D,4.5435e-06,1.7946e-06,2.7489e-06
