Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
3d2,3P°,3d34s,b 3F,5.5556e-07,9.5046e-07,-3.9490e-07
3d2,3P°,3d24s2,a 3F,5.7074e-07,9.7643e-07,-4.0569e-07
3d2,3P°,3d24s2,a 3P,1.9437e-06,3.3253e-06,-1.3816e-06
3d2,5D°,3d24s2,a 3F,1.7263e-06,1.4457e-06,2.8057e-07
3d2,5D°,3d34s,a 5F,3.2258e-06,2.7015e-06,5.2428e-07
3d2,u 3D°,3d24s2,a 3F,2.3045e-08,5.8439e-09,1.7201e-08
3d2,v 3D°,3d34s,b 3F,9.8167e-08,9.8167e-08,1.3235e-23
3d2,v 3F°,3d34s,b 3F,1.8471e-08,7.9003e-09,1.0571e-08
3d2,v 3F°,3d24s2,a 3F,5.8795e-08,2.5148e-08,3.3647e-08
3d2,w 3D°,3d24s2,a 3F,4.4807e-08,1.9007e-08,2.5800e-08
3d2,w 3D°,3d24s2,a 3P,2.1277e-07,9.0257e-08,1.2251e-07
3d2,w 3D°,3d34s,b 3F,7.6923e-07,3.2631e-07,4.4292e-07
3d2,x 3D°,3d24s2,a 3F,3.8984e-07,1.8125e-07,2.0859e-07
3d2,x 3D°,3d24s2,a 3P,6.8375e-07,3.1790e-07,3.6585e-07
3d2,x 3D°,3d34s,b 3F,1.6639e-06,7.7361e-07,8.9029e-07
3d2,x 3D°,3d34s,a 3D,4.1270e-06,1.9188e-06,2.2082e-06
3d2,x 3F°,3d24s2,a 3F,1.2154e-07,1.9898e-08,1.0164e-07
3d2,x 3F°,3d34s,b 3F,7.1796e-07,1.1754e-07,6.0042e-07
3d2,x 3F°,3d34s,a 5F,3.7736e-06,6.1780e-07,3.1558e-06
3d2,x 3G°,3d24s2,a 3F,7.9473e-08,1.5026e-08,6.4447e-08
3d2,x 3G°,3d34s,b 3F,1.2363e-06,2.3374e-07,1.0026e-06
3d2,x 3G°,3d24s2,a 3P,2.2727e-06,4.2969e-07,1.8430e-06
