Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
4f12,"(5,9/2)°",4f125d5/26s2,"(6,5/2)",1.4085e-08,1.4085e-08,0.0000e+00
4f12,"(6,3/2)°",4f125d3/26s2,"(6,3/2)",1.0498e-05,6.6225e-07,9.8357e-06
4f12,"(6,5/2)°",4f125d3/26s2,"(6,3/2)",3.0699e-06,8.1635e-07,2.2535e-06
4f12,"(6,5/2)°",4f125d5/26s2,"(6,5/2)",4.5099e-06,1.1993e-06,3.3106e-06
4f12,"(6,5/2)°",4f13,"(7/2,2)",1.2658e-05,3.3660e-06,9.2920e-06
4f12,"(6,5/2)°",4f13,"(7/2,1)",4.0000e-05,1.0637e-05,2.9363e-05
4f12,"(6,7/2)°",4f125d3/26s2,"(6,3/2)",3.3085e-06,6.0258e-07,2.7059e-06
4f12,"(6,7/2)°",4f125d5/26s2,"(6,5/2)",5.3543e-06,9.7518e-07,4.3791e-06
4f12,°,4f125d3/26s2,"(6,3/2)",7.5459e-07,1.8983e-07,5.6476e-07
4f12,°,4f125d5/26s2,"(6,5/2)",4.7000e-06,1.1824e-06,3.5176e-06
4f125d3/26s2,"(4,3/2)",4f136s2,2F°,2.3071e-05,1.0102e-06,2.2061e-05
4f125d3/26s2,"(5,3/2)",4f136s2,2F°,1.4258e-07,1.4258e-07,0.0000e+00
4f125d5/26s2,"(3,5/2)",4f136s2,2F°,2.2101e-07,5.3166e-08,1.6784e-07
4f125d5/26s2,"(4,5/2)",4f136s2,2F°,9.2187e-08,9.2187e-08,0.0000e+00
4f125d5/26s2,"(5,5/2)",4f136s2,2F°,3.8165e-07,1.6596e-08,3.6505e-07
4f125d5/26s2,"(5/2,2)",4f136s2,2F°,3.8023e-08,3.8023e-08,0.0000e+00
4f125d5/26s2,"(6,5/2)",4f136s2,2F°,9.9965e-07,9.9965e-07,0.0000e+00
4f125d6s6p,°,4f13,"(7/2,0)",5.2652e-08,1.1886e-08,4.0766e-08
4f125d6s6p,°,4f125d3/26s2,"(6,3/2)",1.1400e-07,2.5735e-08,8.8265e-08
4f125d6s6p,°,4f13,"(7/2,1)",2.2237e-07,5.0200e-08,1.7217e-07
4f125d6s6p,°,4f13,"(7/2,2)",4.2605e-07,9.6181e-08,3.2987e-07
4f125d6s6p,°,4f125d5/26s2,"(6,5/2)",6.3777e-07,1.4398e-07,4.9379e-07
4f126s26p3/2,"(3,3/2)°",4f125d5/26s2,"(4,5/2)",1.2346e-06,9.8420e-07,2.5040e-07
4f126s26p3/2,"(3,3/2)°",4f125d5/26s2,"(6,5/2)",1.6667e-06,1.3287e-06,3.3804e-07
4f126s26p3/2,"(3,3/2)°",4f125d3/26s2,"(6,3/2)",1.7308e-06,1.3798e-06,3.5104e-07
4f126s26p3/2,"(3,3/2)°",4f125d3/26s2,"(4,3/2)",5.2632e-06,4.1957e-06,1.0675e-06
4f126s26p3/2,"(3,3/2)°",4f13,"(7/2,2)",6.6667e-06,5.3145e-06,1.3522e-06
