Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
3d3,2D°,3d34s2,a 4F,2.7027e-08,2.7027e-08,0.0000e+00
3d3,2H°,3d34s2,a 2G,7.0183e-09,7.0023e-09,1.5956e-11
3d3,2H°,3d34s2,a 2H,1.1275e-08,1.1249e-08,2.5634e-11
3d3,2H°,3d44s,2I,2.1981e-08,2.1931e-08,4.9974e-11
3d3,2H°,3d44s,b 2H,4.1739e-08,4.1644e-08,9.4894e-11
3d3,2S°,3d34s2,a 2P,1.2987e-07,1.2987e-07,0.0000e+00
3d3,4F°,3d44s,a 4D,3.7993e-07,1.0718e-07,2.7275e-07
3d3,4F°,3d34s2,a 4F,5.6054e-07,1.5813e-07,4.0241e-07
3d3,4F°,3d44s,a 2F,7.5000e-07,2.1158e-07,5.3842e-07
3d3,4F°,3d34s2,a 2P,9.1355e-07,2.5772e-07,6.5583e-07
3d3,4F°,3d44s,b 4D,1.5208e-06,4.2902e-07,1.0918e-06
3d3,p 4F°,3d34s5s,f 4F,4.2673e-07,2.8914e-07,1.3759e-07
3d3,r 4D°,3d34s2,a 4P,3.9693e-08,2.9764e-08,9.9290e-09
3d3,r 4D°,3d44s,b 4P,4.5671e-08,3.4247e-08,1.1424e-08
3d3,r 4D°,3d44s,b 4F,1.0521e-07,7.8892e-08,2.6318e-08
3d3,r 4D°,3d44s,b 4D,1.6667e-07,1.2498e-07,4.1691e-08
3d3,r 4D°,3d34s2,a 4F,2.0408e-07,1.5303e-07,5.1049e-08
3d3,r 4G°,3d34s5s,f 4F,2.8833e-07,2.8833e-07,0.0000e+00
3d3,u 2G°,3d34s2,a 2G,1.2821e-08,1.2821e-08,4.2857e-13
3d3,u 2G°,3d44s,a 4H,7.6923e-08,7.6920e-08,2.5713e-12
3d3,u 4D°,3d34s2,a 4F,3.7064e-07,4.1689e-08,3.2895e-07
3d3,u 4D°,3d44s,a 4D,5.7228e-07,6.4369e-08,5.0791e-07
3d3,u 4D°,3d44s,b 4P,1.2048e-06,1.3551e-07,1.0693e-06
3d3,v 4D°,3d44s,a 4D,1.2786e-07,1.8164e-08,1.0970e-07
3d3,v 4D°,3d44s,b 4P,1.0975e-06,1.5591e-07,9.4159e-07
3d3,v 4D°,3d34s2,a 4F,1.1123e-06,1.5801e-07,9.5429e-07
3d3,v 4D°,3d34s2,a 2P,2.2727e-06,3.2285e-07,1.9498e-06
3d3,v 4D°,3d34s2,a 4P,3.5837e-06,5.0909e-07,3.0746e-06
3d3,v 4P°,3d44s,b 4P,2.8209e-08,2.4818e-08,3.3905e-09
3d3,v 4P°,3d44s,a 4D,7.1563e-08,6.2962e-08,8.6014e-09
3d3,v 4P°,3d34s2,a 4P,8.4926e-08,7.4719e-08,1.0207e-08
3d3,v 4P°,3d45s,e 4D,1.3390e-06,1.1781e-06,1.6094e-07
3d3,w 2F°,3d34s2,a 2G,8.1871e-08,1.2751e-07,-4.5636e-08
3d3,w 2F°,3d34s2,a 2H,1.1111e-07,1.7304e-07,-6.1934e-08
3d3,w 4D°,3d44s,a 4D,1.5572e-07,3.4170e-08,1.2155e-07
3d3,w 4D°,3d34s2,a 4P,1.7633e-07,3.8692e-08,1.3764e-07
3d3,w 4D°,3d34s2,a 4F,3.3709e-07,7.3968e-08,2.6312e-07
3d3,w 4D°,3d34s2,a 2P,1.3514e-06,2.9654e-07,1.0549e-06
3d3,w 4D°,3d44s,b 4P,2.0833e-06,4.5714e-07,1.6262e-06
3d3,w 4F°,3d34s2,a 4F,3.0510e-08,5.1192e-09,2.5391e-08
3d3,w 4F°,3d44s,a 4D,2.4773e-07,4.1566e-08,2.0616e-07
3d3,w 4F°,3d44s,a 4G,7.5002e-07,1.2584e-07,6.2418e-07
3d3,w 4F°,3d44s,b 4F,1.3296e-06,2.2309e-07,1.1065e-06
3d3,w 4F°,3d34s2,2D2,2.1277e-06,3.5700e-07,1.7707e-06
3d3,w 4G°,3d34s2,a 2G,7.6923e-08,7.6923e-08,0.0000e+00
3d3,x 2I°,3d34s2,a 2H,2.3268e-09,2.3268e-09,0.0000e+00
3d3,x 4D°,3d44s,b 4P,2.2763e-07,2.1806e-07,9.5732e-09
3d3,x 4D°,3d34s2,a 4F,2.2962e-07,2.1996e-07,9.6569e-09
3d3,x 4D°,3d34s2,a 4P,6.2112e-07,5.9500e-07,2.6122e-08
3d3,x 4D°,3d44s,a 4D,2.1739e-06,2.0825e-06,9.1426e-08
3d3,x 4F°,3d44s,a 4D,2.9911e-07,2.9911e-07,0.0000e+00
3d3,x 4G°,3d34s2,a 4F,2.6836e-07,4.2072e-09,2.6415e-07
3d3,x 4G°,3d44s,a 4H,1.7537e-06,2.7494e-08,1.7262e-06
3d3,x 4G°,3d44s,a 6D,3.0303e-06,4.7508e-08,2.9828e-06
3d3,x 4P°,3d44s,b 4P,8.0556e-08,8.4653e-08,-4.0966e-09
3d3,x 4P°,3d44s,a 4D,2.1739e-07,2.2845e-07,-1.1055e-08
3d3,x 6D°,3d44s,a 6D,1.1434e-07,3.7329e-08,7.7011e-08
3d3,y 2G°,3d34s2,a 2G,2.2222e-07,2.2222e-07,-1.6954e-12
3d3,y 2G°,3d44s,b 2G,8.8496e-07,8.8497e-07,-6.7519e-12
3d3,y 2H°,3d44s,a 4H,1.3119e-07,8.9781e-08,4.1409e-08
3d3,y 2H°,3d44s,b 2H,5.8140e-07,3.9789e-07,1.8351e-07
3d3,y 2H°,3d34s2,a 2G,7.5304e-07,5.1535e-07,2.3769e-07
3d3,y 2I°,3d44s,b 2H,3.3333e-08,3.3333e-08,0.0000e+00
3d3,y 4G°,3d34s2,a 4F,1.4241e-06,1.8646e-07,1.2376e-06
3d3,y 4G°,3d44s,a 4G,4.8127e-06,6.3015e-07,4.1826e-06
3d3,y 4G°,3d44s,a 4H,5.2226e-06,6.8382e-07,4.5388e-06
3d3,y 4G°,3d44s,b 4F,5.4918e-06,7.1907e-07,4.7727e-06
3d3,y 4P°,3d34s2,a 4P,4.0819e-07,7.6126e-08,3.3206e-07
3d3,y 4P°,3d44s,a 4D,1.0651e-06,1.9864e-07,8.6646e-07
3d3,y 4P°,3d44s,b 4P,4.1945e-06,7.8226e-07,3.4122e-06
3d3,y 4P°,3d44s,a 6D,2.1739e-05,4.0542e-06,1.7685e-05
