Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
5d46s6p,5D°,5d56s,7S,7.2797e-07,5.2661e-07,2.0136e-07
5d46s6p,5D°,5d46s2,3H,6.9930e-06,5.0587e-06,1.9343e-06
5d46s6p,5D°,5d56s,5S,8.3333e-06,6.0282e-06,2.3051e-06
5d46s6p,5D°,5d46s2,5D,1.1258e-05,8.1439e-06,3.1141e-06
5d46s6p,5D°,5d56s,5G,1.2040e-05,8.7096e-06,3.3304e-06
5d46s6p,5F°,5d56s,7S,8.6429e-07,6.9731e-07,1.6698e-07
5d46s6p,5F°,5d46s2,5D,1.4788e-05,1.1931e-05,2.8570e-06
5d46s6p,5F°,5d56s,5G,2.6485e-05,2.1368e-05,5.1169e-06
5d46s6p,5F°,5d56s,5P,3.8462e-05,3.1031e-05,7.4308e-06
5d46s6p,5F°,5d46s2,3P2,3.8596e-05,3.1139e-05,7.4567e-06
5d46s6p,5P°,5d56s,7S,1.6450e-07,9.9397e-08,6.5103e-08
5d46s6p,5P°,5d46s2,5D,1.5652e-06,9.4575e-07,6.1945e-07
5d46s6p,5P°,5d46s2,3F2,4.1667e-06,2.5177e-06,1.6490e-06
5d46s6p,5P°,5d56s,5G,7.9007e-06,4.7739e-06,3.1268e-06
5d46s6p,5P°,5d56s,5S,1.0000e-05,6.0424e-06,3.9576e-06
5d46s6p,7D°,5d56s,7S,1.3905e-06,6.1726e-07,7.7324e-07
5d46s6p,7D°,5d46s2,5D,1.6782e-06,7.4497e-07,9.3323e-07
5d46s6p,7D°,5d46s2,3F2,3.0303e-05,1.3452e-05,1.6851e-05
5d46s6p,7D°,5d56s,5G,4.2982e-05,1.9080e-05,2.3902e-05
5d46s6p,7D°,5d46s2,3P2,1.0000e-04,4.4391e-05,5.5609e-05
5d46s6p,7F°,5d46s2,5D,2.4807e-05,2.0905e-06,2.2716e-05
5d46s6p,7F°,5d46s2,3H,5.0000e-04,4.2136e-05,4.5786e-04
5d56p,7P°,5d56s,7S,8.0665e-08,7.6497e-08,4.1675e-09
5d56p,7P°,5d46s2,5D,1.6990e-05,1.6112e-05,8.7778e-07
