Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
5p54f,2[3/2],5p56s,2[3/2]°,9.0909e-06,9.0909e-06,0.0000e+00
5p54f,2[5/2],5p56s,2[3/2]°,4.5455e-06,4.5455e-06,0.0000e+00
5p55d,2[1/2]°,5p6,1S,6.7114e-08,6.7114e-08,-3.4981e-13
5p55d,2[1/2]°,5p56p,2[1/2],2.8571e-06,2.8571e-06,-1.4892e-11
5p55d,2[3/2]°,5p6,1S,2.1873e-09,1.5692e-06,-1.5670e-06
5p55d,2[3/2]°,5p56p,2[5/2],2.0833e-06,1.4946e-03,-1.4925e-03
5p55d,2[3/2]°,5p56p,2[1/2],3.4329e-06,2.4628e-03,-2.4594e-03
5p55d,2[3/2]°,5p56p,2[3/2],2.4018e-05,1.7231e-02,-1.7207e-02
5p55d,2[5/2]°,5p56p,2[3/2],1.6458e-06,2.5450e-06,-8.9915e-07
5p55d,2[5/2]°,5p56p,2[5/2],1.6539e-06,2.5575e-06,-9.0358e-07
5p55d,2[7/2]°,5p56p,2[5/2],3.5974e-06,3.5974e-06,0.0000e+00
5p55f,2[5/2],5p56s,2[3/2]°,6.2500e-06,6.2500e-06,0.0000e+00
5p56d,2[1/2]°,5p6,1S,2.2727e-07,2.2727e-07,0.0000e+00
5p56d,2[3/2]°,5p6,1S,6.6667e-09,6.6667e-09,0.0000e+00
5p56p,2[1/2],5p56s,2[1/2]°,4.5973e-08,3.0809e-08,1.5164e-08
5p56p,2[1/2],5p56s,2[3/2]°,4.1379e-07,2.7730e-07,1.3649e-07
5p56p,2[3/2],5p56s,2[1/2]°,3.9755e-08,2.8596e-08,1.1159e-08
5p56p,2[3/2],5p56s,2[3/2]°,9.5273e-07,6.8532e-07,2.6741e-07
5p56p,2[5/2],5p56s,2[3/2]°,6.3634e-08,3.6352e-08,2.7282e-08
5p56s,2[1/2]°,5p6,1S,3.9526e-09,3.9526e-09,0.0000e+00
5p56s,2[3/2]°,5p6,1S,3.6630e-09,3.6630e-09,0.0000e+00
5p57d,2[1/2]°,5p6,1S,2.3364e-08,2.3364e-08,0.0000e+00
5p57d,2[3/2]°,5p6,1S,1.3158e-07,1.3158e-07,0.0000e+00
5p57d,2[5/2]°,5p56p,2[3/2],5.3726e-07,3.1921e-07,2.1805e-07
5p57d,2[5/2]°,5p56p,2[5/2],8.0526e-07,4.7844e-07,3.2682e-07
5p57d,2[5/2]°,5p56p,2[1/2],1.0638e-06,6.3205e-07,4.3175e-07
5p57d,2[7/2]°,5p56p,2[5/2],1.0493e-06,2.0125e-07,8.4805e-07
5p57d,2[7/2]°,5p56p,2[3/2],2.1277e-06,4.0808e-07,1.7196e-06
5p57p,2[1/2],5p55d,2[1/2]°,8.9799e-07,1.9015e-07,7.0784e-07
5p57p,2[1/2],5p56s,2[1/2]°,1.1526e-06,2.4406e-07,9.0854e-07
5p57p,2[1/2],5p56s,2[3/2]°,4.9388e-06,1.0458e-06,3.8930e-06
5p57p,2[1/2],5p57s,2[3/2]°,6.0235e-06,1.2755e-06,4.7480e-06
5p57p,2[1/2],5p55d,2[5/2]°,3.5714e-05,7.5624e-06,2.8152e-05
5p57p,2[3/2],5p56s,2[1/2]°,5.4557e-07,2.0759e-07,3.3798e-07
5p57p,2[3/2],5p57s,2[3/2]°,1.0344e-06,3.9360e-07,6.4080e-07
5p57p,2[3/2],5p55d,2[1/2]°,1.6737e-06,6.3686e-07,1.0368e-06
5p57p,2[3/2],5p55d,2[5/2]°,6.0098e-06,2.2868e-06,3.7230e-06
5p57p,2[3/2],5p56s,2[3/2]°,9.2094e-06,3.5042e-06,5.7052e-06
5p57p,2[5/2],5p57s,2[3/2]°,6.1410e-07,3.4170e-07,2.7240e-07
5p57p,2[5/2],5p56s,2[3/2]°,9.2900e-07,5.1691e-07,4.1209e-07
5p57p,2[5/2],5p56s,2[1/2]°,1.4286e-06,7.9490e-07,6.3370e-07
5p57p,2[5/2],5p55d,2[1/2]°,1.6667e-06,9.2738e-07,7.3932e-07
5p57p,2[5/2],5p55d,2[7/2]°,2.5241e-06,1.4044e-06,1.1197e-06
5p57s,2[1/2]°,5p6,1S,1.6949e-08,1.6949e-08,0.0000e+00
5p57s,2[3/2]°,5p6,1S,7.1942e-09,3.2301e-08,-2.5107e-08
5p57s,2[3/2]°,5p56p,2[5/2],2.7265e-07,1.2242e-06,-9.5150e-07
5p57s,2[3/2]°,5p56p,2[3/2],4.1191e-07,1.8494e-06,-1.4375e-06
5p57s,2[3/2]°,5p56p,2[1/2],6.6194e-07,2.9720e-06,-2.3101e-06
