Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
4d25p,w 2D°,4d25s,a 2F,4.3860e-08,2.5530e-08,1.8330e-08
4d25p,w 2D°,4d25s,b 2D,8.0100e-08,4.6625e-08,3.3475e-08
4d25p,w 2D°,4d25s,a 4F,2.2727e-07,1.3229e-07,9.4979e-08
4d25p,w 2D°,4d25s,a 4P,4.0919e-07,2.3819e-07,1.7100e-07
4d25p,w 2D°,4d5s2,a 2D,1.5152e-06,8.8198e-07,6.3322e-07
4d25p,w 2F°,4d25s,b 2D,1.9231e-08,1.8142e-08,1.0886e-09
4d25p,w 2F°,4d25s,a 2F,2.1739e-07,2.0508e-07,1.2306e-08
4d25p,w 2F°,4d25s,a 2G,5.0366e-07,4.7515e-07,2.8511e-08
4d25p,x 2D°,4d25s,a 2F,3.1250e-08,1.2872e-08,1.8378e-08
4d25p,x 2D°,4d5s2,a 2D,1.1208e-07,4.6165e-08,6.5915e-08
4d25p,x 2D°,4d25s,b 2D,1.1261e-07,4.6383e-08,6.6227e-08
4d25p,x 2D°,4d25s,a 2P,1.4085e-07,5.8015e-08,8.2835e-08
4d25p,x 2D°,4d25s,a 4P,5.2979e-07,2.1822e-07,3.1157e-07
4d25p,x 2F°,4d5s2,a 2D,6.6948e-08,8.7985e-09,5.8149e-08
4d25p,x 2F°,4d25s,a 4F,8.6669e-07,1.1390e-07,7.5279e-07
4d25p,x 2F°,4d25s,a 2G,1.2132e-06,1.5944e-07,1.0538e-06
4d25p,x 2F°,4d25s,a 4P,1.2376e-06,1.6265e-07,1.0750e-06
4d25p,x 2F°,4d25s,a 2F,1.5292e-06,2.0097e-07,1.3282e-06
4d25p,x 4D°,4d25s,a 4P,3.0747e-08,1.2723e-08,1.8024e-08
4d25p,x 4D°,4d25s,b 2D,1.2185e-06,5.0422e-07,7.1428e-07
4d25p,x 4D°,4d25s,a 2F,1.4467e-06,5.9865e-07,8.4805e-07
4d25p,y 4D°,4d25s,a 4F,1.1242e-07,1.2004e-08,1.0042e-07
4d25p,y 4D°,4d25s,a 4P,3.5714e-07,3.8136e-08,3.1900e-07
4d25p,y 4D°,4d25s,a 2F,3.9374e-07,4.2044e-08,3.5170e-07
4d25p,y 4D°,4d5s2,a 2D,1.4504e-06,1.5488e-07,1.2955e-06
4d25p,y 4D°,4d25s,b 2D,1.6712e-06,1.7845e-07,1.4927e-06
4d25p,y 4F°,4d25s,a 4F,4.6078e-08,1.1857e-08,3.4221e-08
4d25p,y 4F°,4d25s,b 2D,3.1250e-07,8.0417e-08,2.3208e-07
4d25p,y 4F°,4d5s2,a 2D,4.4820e-06,1.1534e-06,3.3286e-06
4d25p,y 4P°,4d25s,a 4P,4.6540e-08,2.1789e-08,2.4751e-08
4d25p,y 4P°,4d25s,a 2F,6.3904e-08,2.9918e-08,3.3986e-08
