Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
3p2,1D,3s3p,1P°,2.0833e-06,2.0833e-06,-5.7427e-12
3p2,1D,2p63s2,1S,1.1947e-04,1.1947e-04,-3.2932e-10
3p2,1S,3s3p,1P°,9.6154e-10,9.6154e-10,0.0000e+00
3p2,3P,3s3p,3P°,2.1266e-09,8.1235e-10,1.3143e-09
3p3d,3D°,3p2,3P,4.6376e-09,7.2604e-10,3.9116e-09
3p3d,3D°,3s3d,3D,6.9946e-09,1.0950e-09,5.8996e-09
3p3d,3F°,3s3d,3D,1.6700e-07,4.0439e-09,1.6296e-07
3p3d,3F°,3s6d,3D,1.3848e-05,3.3533e-07,1.3513e-05
3p3d,3F°,3s5d,3D,8.1210e-05,1.9665e-06,7.9243e-05
3p3d,3F°,3s6g,3G,4.3250e-04,1.0473e-05,4.2203e-04
3p3d,3F°,3s5g,3G,1.0725e-03,2.5971e-05,1.0465e-03
3p4s,3P°,3s4s,3S,2.1307e-09,1.4722e-09,6.5854e-10
3p4s,3P°,3p2,3P,5.7324e-09,3.9607e-09,1.7717e-09
3p4s,3P°,3s3d,3D,3.9492e-06,2.7286e-06,1.2206e-06
3p4s,3P°,3s6s,3S,6.8201e-06,4.7122e-06,2.1079e-06
3p4s,3P°,3s8s,3S,2.1828e-05,1.5082e-05,6.7464e-06
3s3d,1D,3s3p,1P°,7.2464e-10,7.2464e-10,3.8071e-15
3s3d,1D,3s4p,1P°,1.5432e-06,1.5432e-06,8.1076e-12
3s3d,1D,2p63s2,1S,8.6207e-05,8.6207e-05,4.5291e-10
3s3d,3D,3s3p,3P°,6.5040e-09,8.4741e-10,5.6566e-09
3s3p,1P°,2p63s2,1S,7.0922e-10,7.0922e-10,0.0000e+00
3s3p,3P°,2p63s2,1S,1.4925e+02,1.4869e+02,5.6406e-01
3s3p,3P°,3s3p,3P°,3.9062e+04,3.8914e+04,1.4763e+02
3s4d,1D,3s3p,1P°,1.4925e-09,1.4925e-09,-3.9936e-14
3s4d,1D,3s4p,1P°,1.0799e-08,1.0799e-08,-2.8896e-13
3s4d,1D,3s4f,1F°,5.5866e-06,5.5867e-06,-1.4949e-10
3s4d,3D,3s3p,3P°,5.2262e-08,6.7351e-09,4.5527e-08
