Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
1s22p2,1D,1s22s2p,1P°,1.8450e-08,1.8447e-08,3.3772e-12
1s22p2,1D,1s22s2,1S,5.4645e-04,5.4635e-04,1.0003e-07
1s22p2,1D,1s22s2p,3P°,3.1447e+01,3.1441e+01,5.7562e-03
1s22p2,1D,1s22p2,3P,6.0178e+08,6.0167e+08,1.1015e+05
1s22p2,1S,1s22s2p,1P°,7.5188e-10,7.5188e-10,-1.4630e-17
1s22p2,1S,1s22p2,1D,3.8760e-02,3.8760e-02,-7.5416e-10
1s22p2,1S,1s22s2p,3P°,1.2823e+01,1.2823e+01,-2.4950e-07
1s22p2,1S,1s22p2,3P,2.6957e+03,2.6957e+03,-5.2451e-05
1s22p2,3P,1s22s2p,1P°,2.0510e-01,1.1610e-09,2.0510e-01
1s22p2,3P,1s22s2p,3P°,5.3098e+01,3.0057e-07,5.3098e+01
1s22p2,3P,1s22s2,1S,5.9227e+03,3.3527e-05,5.9227e+03
1s22p2,3P,1s22p2,3P,5.0352e+14,2.8503e+06,5.0352e+14
1s22p3d,1D°,1s22p2,1D,7.1429e-10,7.1429e-10,3.0257e-15
1s22p3d,1D°,1s22s3d,1D,1.0977e-08,1.0977e-08,4.6497e-14
1s22p3d,1D°,1s22p3p,1P,1.2500e-07,1.2500e-07,5.2949e-13
1s22p3d,1D°,1s22s5d,1D,5.5556e-05,5.5556e-05,2.3533e-10
1s22p3d,3D°,1s22p2,3P,2.9599e-09,4.0899e-10,2.5509e-09
1s22p3d,3D°,1s22s3d,3D,1.7062e-08,2.3576e-09,1.4704e-08
1s22p3d,3D°,1s22p3p,3D,1.1635e-06,1.6077e-07,1.0027e-06
1s22p3d,3D°,1s22p3p,3P,4.6617e-06,6.4415e-07,4.0176e-06
1s22p3p,1D,1s22s2p,1P°,4.6948e-09,4.6894e-09,5.4315e-12
1s22p3p,1D,1s22s3p,1P°,3.6496e-08,3.6454e-08,4.2223e-11
1s22p3p,1D,1s22s4p,1P°,5.8824e-08,5.8756e-08,6.8055e-11
1s22p3p,1D,1s22s5p,1P°,9.0909e-08,9.0804e-08,1.0517e-10
1s22p3p,1D,1s22p3s,1P°,1.5873e-07,1.5855e-07,1.8364e-10
1s22p3p,1P,1s22s2p,1P°,2.5316e-09,2.5316e-09,-1.8953e-14
1s22p3p,1P,1s22s3p,1P°,2.8653e-09,2.8653e-09,-2.1451e-14
1s22p3p,1P,1s22s4p,1P°,1.6474e-07,1.6474e-07,-1.2333e-12
1s22p3p,1P,1s22s5p,1P°,8.3333e-07,8.3334e-07,-6.2388e-12
