Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
1s22p,2P°,1s22s,2S,8.8586e-09,8.8586e-09,0.0000e+00
1s23d,2D,1s22p,2P°,2.4717e-09,9.0415e-10,1.5675e-09
1s23d,2D,1s23p,2P°,3.4728e-05,1.2704e-05,2.2024e-05
1s23p,2P°,1s22s,2S,5.8140e-09,5.8140e-09,1.4622e-14
1s23p,2P°,1s23s,2S,7.9334e-08,7.9334e-08,1.9952e-13
1s23s,2S,1s22p,2P°,5.5107e-09,2.4492e-09,3.0615e-09
1s24d,2D,1s22p,2P°,7.2668e-09,2.6608e-09,4.6060e-09
1s24d,2D,1s23p,2P°,2.5040e-08,9.1686e-09,1.5871e-08
1s24d,2D,1s24p,2P°,1.0784e-04,3.9487e-05,6.8353e-05
1s24f,2F°,1s23d,2D,2.5794e-08,4.5177e-09,2.1276e-08
1s24p,2P°,1s22s,2S,1.0230e-08,9.6844e-09,5.4564e-10
1s24p,2P°,1s23s,2S,7.0922e-08,6.7139e-08,3.7828e-09
1s24p,2P°,1s24s,2S,3.6298e-07,3.4362e-07,1.9360e-08
1s24p,2P°,1s23d,2D,4.6049e-07,4.3593e-07,2.4561e-08
1s24s,2S,1s22p,2P°,1.5507e-08,6.8928e-09,8.6142e-09
1s24s,2S,1s23p,2P°,2.3193e-08,1.0309e-08,1.2884e-08
