Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
2p3,2D°,2s2p2,2D,1.3826e-08,2.3581e-09,1.1468e-08
2p3,2D°,2s2p2,2P,4.8977e-08,8.3534e-09,4.0624e-08
2p3,2P°,2s2p2,2D,2.8011e-09,8.1346e-10,1.9876e-09
2p3,2P°,2s2p2,2P,5.6436e-09,1.6389e-09,4.0047e-09
2p3,2P°,2s2p2,2S,2.5172e-08,7.3102e-09,1.7862e-08
2p3,2P°,2s23s,2S,1.0605e-07,3.0798e-08,7.5252e-08
2p3,2P°,2s24s,2S,2.4155e-07,7.0148e-08,1.7140e-07
2p3,4S°,2s2p2,4P,1.0822e-09,2.9542e-10,7.8678e-10
2p3,4S°,2s2p2,2P,2.7014e-02,7.3743e-03,1.9640e-02
2p3,4S°,2s23s,2S,6.9444e-02,1.8957e-02,5.0487e-02
2p3,4S°,2s2p2,2D,7.0968e-02,1.9373e-02,5.1595e-02
2p3,4S°,2s2p2,2S,1.0309e-01,2.8142e-02,7.4948e-02
2s22p,2P°,2s22p,2P°,4.3668e+05,4.3668e+05,0.0000e+00
2s23d,2D,2s22p,2P°,9.6927e-10,3.5461e-10,6.1466e-10
2s23d,2D,2s23p,2P°,6.5418e-08,2.3933e-08,4.1485e-08
2s23p,2P°,2s23s,2S,2.7285e-08,1.9676e-08,7.6086e-09
2s23p,2P°,2s2p2,2S,3.0349e-08,2.1886e-08,8.4630e-09
2s23p,2P°,2s2p2,2D,9.8907e-08,7.1326e-08,2.7581e-08
2s23p,2P°,2s2p2,2P,4.7105e-05,3.3969e-05,1.3136e-05
2s23p,2P°,2s2p2,4P,3.9254e-02,2.8308e-02,1.0946e-02
2s23s,2S,2s22p,2P°,5.0622e-09,2.2624e-09,2.7998e-09
2s24d,2D,2s22p,2P°,2.0524e-09,7.5127e-10,1.3011e-09
2s24d,2D,2s23p,2P°,5.2289e-08,1.9140e-08,3.3149e-08
2s24d,2D,2s24p,2P°,2.3721e-07,8.6830e-08,1.5038e-07
2s24f,2F°,2s23d,2D,2.3860e-08,4.1943e-09,1.9666e-08
2s24f,2F°,2s2p2,2D,3.6842e-07,6.4763e-08,3.0366e-07
2s24f,2F°,2s24d,2D,1.6281e-04,2.8620e-05,1.3419e-04
2s24p,2P°,2s2p2,2D,2.5231e-08,8.7771e-09,1.6454e-08
2s24p,2P°,2s23s,2S,4.3290e-08,1.5059e-08,2.8231e-08
2s24p,2P°,2s23d,2D,1.1537e-07,4.0134e-08,7.5236e-08
2s24p,2P°,2s24s,2S,1.4420e-07,5.0163e-08,9.4037e-08
2s24p,2P°,2s2p2,2P,2.5251e-07,8.7840e-08,1.6467e-07
2s24s,2S,2s22p,2P°,7.4257e-09,3.3009e-09,4.1248e-09
2s24s,2S,2s23p,2P°,1.1799e-08,5.2449e-09,6.5541e-09
2s2p2,2D,2s22p,2P°,9.5433e-09,3.4686e-09,6.0747e-09
2s2p2,2P,2s22p,2P°,7.1889e-10,2.4606e-10,4.7283e-10
2s2p2,2S,2s22p,2P°,1.0200e-09,4.5496e-10,5.6504e-10
2s2p2,4P,2s22p,2P°,1.7722e-01,4.3839e-02,1.3338e-01
2s2p3d,2D°,2s2p2,2D,4.7097e-09,9.7711e-10,3.7326e-09
2s2p3d,2D°,2s2p2,2P,5.4233e-09,1.1252e-09,4.2981e-09
2s2p3d,2D°,2s2p3p,2P,5.4388e-08,1.1284e-08,4.3104e-08
2s2p3d,2D°,2s2p3p,2D,2.2806e-06,4.7315e-07,1.8074e-06
