Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
3p63d,2D,3p64s,2S,7.6923e-01,7.6923e-01,-1.4260e-06
3p63d,2D,3p63d,2D,4.1494e+05,4.1494e+05,-7.6923e-01
3p64d,2D,3p64p,2P°,7.7483e-09,2.7476e-09,5.0007e-09
3p64f,2F°,3p63d,2D,2.1916e-08,3.8366e-09,1.8079e-08
3p64p,2P°,3p64s,2S,6.9728e-09,6.6081e-09,3.6467e-10
3p64p,2P°,3p63d,2D,3.6542e-07,3.4631e-07,1.9111e-08
3p65d,2D,3p64p,2P°,2.8335e-08,1.0253e-08,1.8082e-08
3p65d,2D,3p65p,2P°,4.5334e-08,1.6403e-08,2.8931e-08
3p65f,2F°,3p63d,2D,3.3567e-08,5.8946e-09,2.7672e-08
3p65p,2P°,3p65s,2S,4.3478e-08,4.0862e-08,2.6164e-09
3p65p,2P°,3p63d,2D,2.0185e-06,1.8970e-06,1.2147e-07
3p65s,2S,3p64p,2P°,8.6230e-09,3.8760e-09,4.7470e-09
3p66d,2D,3p64p,2P°,6.2568e-08,2.1385e-08,4.1183e-08
3p66d,2D,3p65p,2P°,1.1663e-07,3.9862e-08,7.6768e-08
3p66f,2F°,3p63d,2D,5.2712e-08,9.2940e-09,4.3418e-08
3p66p,2P°,3p63d,2D,2.8755e-06,7.0437e-07,2.1711e-06
3p66s,2S,3p64p,2P°,2.4194e-08,1.0753e-08,1.3441e-08
3p66s,2S,3p65p,2P°,3.9474e-08,1.7544e-08,2.1930e-08
