Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
4d104f,2F°,4d105d,2D,3.1318e-08,5.5670e-09,2.5751e-08
4d104f,2F°,4d95s2,2D,1.3028e-06,2.3158e-07,1.0712e-06
4d105d,2D,4d105p,2P°,4.3282e-09,1.6015e-09,2.7267e-09
4d105f,2F°,4d105d,2D,2.0619e-08,2.0619e-08,-6.4198e-14
4d105f,2F°,4d106d,2D,2.7778e-08,2.7778e-08,-8.6488e-14
4d105f,2F°,4d95s2,2D,1.2500e-07,1.2500e-07,-3.8919e-13
4d105g,2G,4d104f,2F°,1.4078e-07,1.4061e-08,1.2672e-07
4d105p,2P°,4d105s,2S,2.8973e-09,2.8973e-09,0.0000e+00
4d106d,2D,4d105p,2P°,1.6415e-08,5.6468e-09,1.0768e-08
4d106p,2P°,4d106s,2S,2.3736e-08,2.3754e-08,-1.8158e-11
4d106p,2P°,4d95s2,2D,2.0000e-05,2.0015e-05,-1.5300e-08
4d106s,2S,4d105p,2P°,4.7237e-09,2.1277e-09,2.5960e-09
4d107d,2D,4d105p,2P°,1.3722e-08,1.3722e-08,0.0000e+00
4d107p,2P°,4d105s,2S,5.8824e-08,5.3682e-08,5.1421e-09
4d107p,2P°,4d107s,2S,9.1743e-08,8.3723e-08,8.0198e-09
4d107p,2P°,4d106s,2S,5.8824e-07,5.3682e-07,5.1421e-08
4d107p,2P°,4d106d,2D,2.2381e-06,2.0425e-06,1.9564e-07
4d107p,2P°,4d105d,2D,4.3007e-06,3.9248e-06,3.7595e-07
4d95s2,2D,4d105p,2P°,8.0287e-07,5.3160e-07,2.7127e-07
4d95s5p,2D°,4d95s2,2D,4.5713e-09,5.3185e-10,4.0395e-09
4d95s5p,2D°,4d105s,2S,3.5714e-08,4.1551e-09,3.1559e-08
4d95s5p,2D°,4d105d,2D,2.2040e-06,2.5642e-07,1.9476e-06
4d95s5p,2F°,4d95s2,2D,1.2974e-08,1.2021e-08,9.5254e-10
4d95s5p,2F°,4d105d,2D,1.4388e-06,1.3332e-06,1.0564e-07
4d95s5p,2F°,4d106d,2D,3.7212e-06,3.4480e-06,2.7321e-07
4d95s5p,2P°,4d105s,2S,8.1037e-10,3.3359e-10,4.7678e-10
4d95s5p,2P°,4d95s2,2D,1.6222e-08,6.6778e-09,9.5442e-09
4d95s5p,2P°,4d106s,2S,2.3180e-07,9.5421e-08,1.3638e-07
4d95s5p,2P°,4d107s,2S,6.3895e-07,2.6303e-07,3.7592e-07
4d95s5p,2P°,4d106d,2D,3.2581e-06,1.3412e-06,1.9169e-06
4d95s5p,4D°,4d95s2,2D,2.5236e-06,8.9647e-07,1.6271e-06
4d95s5p,4D°,4d105d,2D,3.3333e-06,1.1841e-06,2.1492e-06
4d95s5p,4F°,4d105d,2D,4.1382e-07,8.6974e-08,3.2685e-07
4d95s5p,4F°,4d95s2,2D,7.6007e-07,1.5975e-07,6.0032e-07
4d95s5p,4P°,4d95s2,2D,4.3478e-06,4.3478e-06,0.0000e+00
