Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
4f25d,2F,4f,4I°,1.2048e-07,1.2048e-07,1.0165e-13
4f25d,2F,4f,°,1.2195e-07,1.2195e-07,1.0289e-13
4f25d,2F,4f,4F°,1.5152e-07,1.5152e-07,1.2784e-13
4f26p1/2,"(4,1/2)°",4f26s,4H,2.1144e-08,1.5048e-08,6.0962e-09
4f26p1/2,"(4,1/2)°",4f25d,4K,3.4722e-08,2.4711e-08,1.0011e-08
4f26p1/2,"(4,1/2)°",4f25d,4I,8.8496e-08,6.2981e-08,2.5515e-08
4f26p1/2,"(4,1/2)°",4f25d,2H,1.1787e-07,8.3886e-08,3.3984e-08
4f26p1/2,"(4,1/2)°",4f25d,4H,3.6603e-07,2.6050e-07,1.0553e-07
4f26p1/2,"(5,1/2)°",4f26s,2H,2.5006e-08,1.9087e-08,5.9186e-09
4f26p1/2,"(5,1/2)°",4f25d,4K,3.7313e-08,2.8481e-08,8.8315e-09
4f26p1/2,"(5,1/2)°",4f26s,4H,4.3821e-08,3.3449e-08,1.0372e-08
4f26p1/2,"(5,1/2)°",4f25d,4I,1.2245e-07,9.3468e-08,2.8982e-08
4f26p1/2,"(5,1/2)°",4f25d,2H,1.4986e-07,1.1439e-07,3.5470e-08
4f26p1/2,"(6,1/2)°",4f25d,4K,3.8168e-08,2.3027e-08,1.5141e-08
4f26p1/2,"(6,1/2)°",4f26s,2H,3.8617e-08,2.3298e-08,1.5319e-08
4f26p1/2,"(6,1/2)°",4f26s,4H,6.3231e-08,3.8147e-08,2.5084e-08
4f26p1/2,"(6,1/2)°",4f25d,4I,1.0000e-07,6.0330e-08,3.9670e-08
4f26p3/2,"(4,3/2)°",4f26s,4H,2.4838e-08,1.8496e-08,6.3415e-09
4f26p3/2,"(4,3/2)°",4f26s,4F,5.0000e-08,3.7234e-08,1.2766e-08
4f26p3/2,"(4,3/2)°",4f25d,4I,5.0251e-08,3.7421e-08,1.2830e-08
4f26p3/2,"(4,3/2)°",4f25d,4G,6.9930e-08,5.2076e-08,1.7854e-08
4f26p3/2,"(4,3/2)°",4f26s,2H,7.0922e-08,5.2815e-08,1.8107e-08
4f26p3/2,"(5,3/2)°",4f26s,2H,2.4306e-08,2.2681e-08,1.6252e-09
4f26p3/2,"(5,3/2)°",4f26s,4H,3.4364e-08,3.2066e-08,2.2977e-09
4f26p3/2,"(5,3/2)°",4f26s,2F,3.4483e-08,3.2177e-08,2.3057e-09
4f26p3/2,"(5,3/2)°",4f25d,4K,7.4074e-08,6.9121e-08,4.9529e-09
4f26p3/2,"(5,3/2)°",4f25d,4I,7.4627e-08,6.9637e-08,4.9898e-09
4f26p3/2,"(6,3/2)°",4f26s,2H,1.1728e-08,1.5652e-08,-3.9243e-09
4f26p3/2,"(6,3/2)°",4f26s,4F,2.3981e-08,3.2005e-08,-8.0243e-09
4f26p3/2,"(6,3/2)°",4f26s,4H,3.1847e-08,4.2503e-08,-1.0656e-08
4f26p3/2,"(6,3/2)°",4f25d,2K,7.9365e-08,1.0592e-07,-2.6556e-08
4f5d6p,2I,4f,2K°,2.7933e-08,1.6979e-08,1.0954e-08
4f5d6p,2I,4f,°,3.9409e-08,2.3955e-08,1.5454e-08
4f5d6p,2I,4f5d6s,°,1.0642e-07,6.4688e-08,4.1732e-08
4f5d6p,4F,4f5d6s,4G°,4.4643e-08,6.6689e-08,-2.2046e-08
4f5d6p,4F,4f,4D°,5.7471e-08,8.5852e-08,-2.8381e-08
4f5d6p,4F,4f5d6s,4F°,6.5832e-08,9.8342e-08,-3.2510e-08
4f5d6p,4F,4f,4I°,7.5758e-08,1.1317e-07,-3.7411e-08
4f5d6p,4F,4f5d6s,°,9.0090e-08,1.3458e-07,-4.4489e-08
4f5d6p,4G,4f,4I°,4.0161e-08,2.8574e-08,1.1587e-08
4f5d6p,4G,4f,4H°,6.0803e-08,4.3261e-08,1.7542e-08
4f5d6p,4G,4f5d6s,°,6.0941e-08,4.3359e-08,1.7582e-08
4f5d6p,4G,4f5d6s,4H°,6.0976e-08,4.3384e-08,1.7592e-08
4f5d6p,4G,4f5d6s,4F°,6.4049e-08,4.5570e-08,1.8479e-08
4f5d6p,4H,4f5d6s,4G°,2.6324e-08,2.2830e-08,3.4942e-09
4f5d6p,4H,4f,4H°,4.0252e-08,3.4909e-08,5.3429e-09
4f5d6p,4H,4f,4G°,4.1733e-08,3.6194e-08,5.5395e-09
4f5d6p,4H,4f,4I°,4.7838e-08,4.1488e-08,6.3499e-09
4f5d6p,4H,4f5d6s,4H°,5.4799e-08,4.7525e-08,7.2738e-09
4f5d6p,4I,4f5d6s,4H°,2.3554e-08,1.9067e-08,4.4873e-09
4f5d6p,4I,4f5d6s,°,2.5126e-08,2.0339e-08,4.7868e-09
4f5d6p,4I,4f,4H°,3.6496e-08,2.9543e-08,6.9529e-09
4f5d6p,4I,4f,4I°,4.1904e-08,3.3921e-08,7.9832e-09
