Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
3s23p34d,1D°,3s23p34p,1D,9.0909e-09,9.0908e-09,6.1138e-14
3s23p34d,1D°,3s23p34p,1P,1.6667e-08,1.6667e-08,1.1209e-13
3s23p34d,1D°,3s23p34p,1F,8.3333e-08,8.3332e-08,5.6043e-13
3s23p34d,1P°,3s23p34p,1P,1.1628e-08,1.1628e-08,0.0000e+00
3s23p34d,3D°,3s23p34p,3D,2.7481e-08,7.3953e-09,2.0086e-08
3s23p34d,3D°,3s23p34p,3P,7.4229e-08,1.9976e-08,5.4253e-08
3s23p34d,3D°,3s23p34p,3F,4.3991e-06,1.1838e-06,3.2153e-06
3s23p34d,3F°,3s23p34p,3F,6.8655e-08,4.9440e-09,6.3711e-08
3s23p34d,3F°,3s23p34p,3D,1.8814e-07,1.3548e-08,1.7459e-07
3s23p34d,3P°,3s23p34p,3P,1.6708e-08,5.1776e-09,1.1530e-08
3s23p34d,3P°,3s23p34p,3D,3.7780e-07,1.1707e-07,2.6073e-07
3s23p34d,3S°,3s23p34p,3P,2.1296e-08,4.6296e-09,1.6666e-08
3s23p34d,5D°,3s23p34p,5P,1.2952e-08,3.7093e-09,9.2427e-09
3s23p34p,1D,3s23p34s,1D°,6.2500e-09,1.2635e-08,-6.3853e-09
3s23p34p,1D,3s23p33d,1D°,7.6923e-09,1.5551e-08,-7.8588e-09
3s23p34p,1F,3s23p34s,1D°,1.0000e-08,1.0000e-08,0.0000e+00
3s23p34p,1P,3s23p33d,1D°,1.0000e-08,2.2084e-08,-1.2084e-08
3s23p34p,1P,3s23p34s,1D°,1.8868e-08,4.1668e-08,-2.2800e-08
3s23p34p,3D,3s23p34s,3D°,5.0017e-08,1.5496e-08,3.4521e-08
3s23p34p,3D,3s23p34s,3P°,7.6565e-08,2.3720e-08,5.2845e-08
3s23p34p,3D,3s23p33d,3F°,5.5044e-06,1.7053e-06,3.7991e-06
3s23p34p,3F,3s23p34s,3D°,4.4125e-07,1.3922e-08,4.2733e-07
3s23p34p,3F,3s23p33d,3F°,1.3677e-06,4.3152e-08,1.3245e-06
3s23p34p,3P,3s23p34s,3S°,1.2987e-08,1.1356e-08,1.6311e-09
3s23p34p,3P,3s23p34s,3D°,1.9029e-07,1.6639e-07,2.3900e-08
3s23p34p,3P,3s23p33d,3D°,1.4672e-06,1.2829e-06,1.8428e-07
3s23p34p,3S,3s23p34s,3P°,4.7130e-08,1.0526e-08,3.6604e-08
3s23p34p,5P,3s23p34s,5S°,9.9055e-09,8.1994e-09,1.7061e-09
3s23p34p,5P,3s23p33d,5D°,3.4649e-07,2.8681e-07,5.9679e-08
3s23p35d,3D°,3s23p34p,3P,9.8523e-08,1.2978e-08,8.5545e-08
3s23p35d,5D°,3s23p34p,5P,2.8040e-08,1.4234e-08,1.3806e-08
3s23p35p,3P,3s23p34s,3P°,1.7657e-08,7.1378e-09,1.0519e-08
3s23p35p,3P,3s23p33d,3P°,2.5000e-07,1.0106e-07,1.4894e-07
3s23p35s,1D°,3s23p34p,1F,1.2500e-08,1.2500e-08,-6.5031e-14
3s23p35s,1D°,3s23p34p,1D,2.0000e-08,2.0000e-08,-1.0405e-13
3s23p35s,1D°,3s23p34p,1P,3.0303e-08,3.0303e-08,-1.5765e-13
3s23p35s,3D°,3s23p34p,3D,7.2102e-08,7.9091e-09,6.4193e-08
3s23p35s,3D°,3s23p34p,3P,2.2729e-07,2.4932e-08,2.0236e-07
3s23p35s,3D°,3s23p34p,3F,9.2701e-07,1.0169e-07,8.2532e-07
3s23p35s,3P°,3s23p34p,3D,1.9381e-07,1.0136e-08,1.8367e-07
3s23p35s,3S°,3s23p34p,3P,2.8202e-08,6.0606e-09,2.2141e-08
3s23p35s,5S°,3s23p34p,5P,1.8783e-08,5.5556e-09,1.3227e-08
3s23p4,1D,3s23p4,3P,2.7792e+04,7.5233e+00,2.7784e+04
3s23p4,1S,3s23p4,1D,4.3668e-01,2.7837e-01,1.5831e-01
3s23p4,1S,3s23p4,3P,2.8151e+01,1.7946e+01,1.0205e+01
3s23p4,3P,3s23p4,3P,6.9763e+05,4.1272e+02,6.9722e+05
3s3p5,3P°,3s23p4,3P,2.3505e-08,8.9024e-09,1.4603e-08
